Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5845.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5846.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5847.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5848.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5849.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5850.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5851.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5852.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5853.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5854.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5855.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5856.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5857.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5858.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5859.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5865.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5866.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5867.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5868.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5869.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5870.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5871.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5872.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5873.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5874.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5875.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5876.d
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase					2067.07			1421.55	7197.18				1693.4			1439.01	1116.71	1042.27		1336.48		1885.71	1750.6	2257.91	1605.01	1108.23	1119.15	1443.92	1013.98	1257.8												
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2442.78	1709.55	1349.7		592.946	1512.52	1529.95	1400.89	1311.88	1386.88	1393.74	1568.58	1531.54	1531.33	1339.88	1657.79	1437.98	1690.64	1507.71	886.865		1629.68	1712.38	1559.5	1588.5	1632.88	1087.71	1547.41	1284.62	1052.85												
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		825.185					594.709		1808.76	923.49	1943	693.032	1802.99	1706.79	272.56	1087.88	999.988	781.276	813.908	1541.12		1059.85	1313.79	727.683	1468.07	641.193	903.392	896.9	895.119	696.147												
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3																										330.581																
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1						599.783	644.612		552.442	445.753	504.576	464.735	302.887					1036.64	786.269	1716.44				2464.89		1252.05	1908.82	1986.04	1156.71	1365.16												
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial												455.498			514.52																											
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3029.13		2437.2	1769.02	5366.01	1841		1761.99	2148.8	2516.35	2069.83	2367.22	2740.57	2319.55	2594.22	2150.72	2063.59	1985.05	1958.34	2213.97		2017.85	2629.14	1543.16	1865.99	1767.1	1581.07	2125.36	1707.46	1825.65												
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1517.55	2340.45	1526.34	1988.57	1577.49	2029.81	2030.62	1582.13	2267.32	1793.5	2069.4	2251.77	1907.44	2138.46	1935.06	738.777	1153.96	2622.94	1681.24	3160.24		1103.56	1030.07	2060.4	1375.57	815.929	1906.92	1224.44	1499	1075.55												
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	886.179		902.327	967.559		1107.77		963.39	1229.47	842.091	1398.53	1135.89	1105.46	1442.76	739.353		1062.31	1513.36	953.38	1591.46		741.111	1264.22	1015.9	1045.85	1579.03	1064.45	959.525	2075.48	1440.46												
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1234.97	1171.87	1172.62				769.877	1264.53	1452.17	1410.81	1038.48	874.953	627.342		1248.82	1555.79	1742.64	938.465		1425.48		894.701	738.832	2021.67	769.555	1967.84	1117.95	954.041														
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1201.41						2260.47	2525.03	1945.67	1283.91	1517.14	1946.31	946.222	2171.4	1583.79	2192.91	1595.41	2390.02	2282.77	2207.29		1445.39	3029.88	2741.32	1935.98	1526.06	1948.84	1958.65	1442.67	1854.13												
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha			777.298	1445.64	878.191		997.257	773.005		749.456	1008.39	961.397	1044.95	764.934	970.646	515.936	1349.18	602.6	618.363			2270.58	1273.27	1022.04	860.336	1144.53	1267.36	1072.41	1158.49	1048.39												
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	5614.83	6471.28	5894.75	5277.17	4904.22	6610.92	5748.6	5686.32	6248.38	6181.44	6265.12	5473.83	5602.29	5635.52	5489.34	5859.5	5698.95	5856.27	5722.68	5702.94		5957.96	5556.74	6610.53	7390.27	5697.11	5414	5939.97	6593.11	5794.77												
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	979.674	2397.91	2269.06	2182.39	2148.9	2351.48	2718.74	2215.02	2620	2268.02	2865.26	1530.19	2128.91	3738.12	1829.88	1475.87	1596.14	1532.92	1234.77	1567.65		1207.98	1793.46	1675.88	2176.28	1858.52	1915.22	1701.07	1683.12	1960.3												
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial												846.091																														
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	1515.68	1755.04	2544.65	1572.9	1682.13	1351.24	1956.18	2046.42	1310.32	1760.43	1656.84	1778.39	1739.26	1000.44	1864.14	1395.45	1459.7	1467.86	1445.01	1436.07		1595.89	1522.52	1602.82	1470.92	1293.35	1195.95	1314.41	1304.06	1184.59												
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1800.01		1169.64	2041.1	1414.68	2682.79	1304.19	1873.15		1480.86	1627.52	2335.53	2154.71		1875.15	1491.4		1560.95	1474.25	899.401			2673.58	1333.62	1326.49	2719.73	740.419	775.555	838.334	896.591												
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	775.881	1990.94	1389.33	1917.36	2208.19	1542.53	1703.45	1915.21	1653.22	1713.53	1419.34	1473.27	1384.71	1108.52	1226.57	1795.08	1507.78	2228.8	2039.54	1336.1		2038.36	1814.82	2215.57	2008.83	1637.71	1348.27	1710.49	1670.54	1560.91												
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein			635.973			1100.27	843.736	1239.26		841.621	727.073	1177.24	470.817		1042.6		1533.19	1438.49	1234.77	1915.3		2093.73	2463.64		1624.53	1475.61	939.626	1461.55	1060.49	1281.07												
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4				430.871				449.006				234.07		1030.46	406.803										1990.32																	
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1251.5	1124.94	1419.1		1202.21	1312.53	1594.14	983.876	1495.03	1128.89	967.995	1151.67	1157.74	1261.23	1214.11	1470.47	2129.81	1616.5	1884.29	965.036		2289.76	2180.43	2178.47	1617.14	1195.6	1885.86	2043.74	1171.53	1605.07												
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4									485.156				777.742		470.382																											
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4		1593.83	1649.51	2121.21	1341.14	1445.12	1597.31	1392.85	1088	1099.5	2591.51	2269.79	1714.31	1888.79	2760.47	1890.02	1309.7	1819.13	1856.32	1340.92		1731.58	2161.71	2399.82	2165.44	1902.59	1672.95	1333.94	1712.84	1234.89												
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14										1737.76	3181.81	1953.55	2159.38	3323.18	2980.19	1277.98	1447.11	1337.59	1643.4	1747.79		1697.97	3380.84	1406.46	2579.68	2015.79	1382.28	859.757	2399.86	3056.21												
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1												710.407							606.998	408.831		622.673		739.357	851.827		491.98			759.531												
O00505	O00629;O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	726.447		889.686						1514.49	989.932			755.301	1817.48				1319.4	1305.91	1082.56		879.577		1227.67	740.086	1195.47	1223.08	920.148	819.955	864.681												
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	997.466	2003.18	752.114	1251.25	1072.2	747.939	1085.95	1070.41	983.37	1003.18	828.984	1308.34	1036.54	936.981	783.552		399.767	688.087		845.491		1330.33	1035.39	832.992	1259.29	843.69	656.055	651.024	782.702	1303.63												
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	1564.53	894.775	578.508	782.437	1401.8	557.761	540.24	1148.56	845.074	1254.37	993.669	820.898	816.043	1079.64	1371.95	1200.59	708.298	825.17	916.314	835.355		960.59	1443.99	973.445		1006.76	969.77	1471.09	1133.33	899.274												
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	3563.42	3226.88	3076.95	3126.54	3084.11	2696.09	2540.32	3132.26	2726.19	2268.85	2787.03	2901.65	2780.89	2620.81	2554.16	3065.44	2967.63	3085.15	3171.25	2485.84		3136.58	2854.74	2616.29	3027.69	2590.28	2904.08	2438.16	2822.34	2788.25												
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	3924.32	4649.32	3083.24	3365.25	3644.7	4732.89	5204.5	4540.57	5159.59	5882.52	3849.08	4023.62	3390.62	3988.79	5075.53	3544.7	4013.12	2867.15	3841.75	3265.13		3795.93	3520.64	3503.05	4266.64	3883.63	4320.12	3463.45	3347.01	5141.13												
