Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5628.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5629.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5630.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5631.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5632.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5633.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5634.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5635.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5636.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5637.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5639.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5640.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5641.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5642.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5643.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5659.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5660.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5661.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5662.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5663.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-21-2024_Slot2-91_5664.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5665.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5666.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5667.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5668.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5644.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5645.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5646.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5647.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5648.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5649.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5650.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5651.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5652.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5653.d
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15							11833.3				8094.77	6106.74	7393.67		8853.88	9126.95	8171.29	11388.9	8279.96	6877.32	10043.9	9385.16	10415.7	9947.72	11307.4	9713.27	8154.16	11112.2	10648.5	10695.2	8881.79	9032.36	9879.16	10761.3	9987.02
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19											154.197					251.192																			
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein						3769.57	4182.27	4210.86	4116.22	5242.39	3899.26	4084.19	4075.46	3340.16	3425.92	4788.74	3655.77	5271.35	4053.95	3542.07	3809.4	4406.2	4775	3542.12	3839.88	3667.56	3968.52	4468.04	3299.57	3327.87	2895.92	3246.42	3870.16	4987.99	3527.96
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3																										172.762		363.577							
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin							86630.7	74093.1	80429.3	96194.4	91074.6	93376.5	88806.5	91198.5	76665.6	78025.6	90995.9	85411	80737.9	87735.5	90127.6	87003.8	74249.6	87229.5	75252.4	89762.9	92060.7	82789.1	82982.9	79050.3	69452.5	66748.8	76135.3	73302	45478.2	84287.1
CONT|P02769|ALBU_BOVIN	P02768;CONT|P02769|ALBU_BOVIN	Albumin	Albumin							826.487	979.533		983.256	1433.28	888.413	918.749	929.376	708.325	763.885	811.169		748.994	786.961	1160.12	1326.87	936.199	1432.34	1058.67	582.207	1313.39	1183.35	904.502		1414.1	618.181	843.778		959.253	1300.81
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein							858.565	672.39	672.846	837.805	301.394	772.088	992.453	479.301	783.161	721.544	1158.91	944.321	792.269	1191.88	1449.43	813.393	854.459	886.73	710.301	1044.66	787.987	904.445	968.821	774.715	1077.9	1115.14	971.374	1350.95	1285.15	859.279
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase																								464.561					513.497					718.554	470.058	
CONT|Q29443|TRFE_BOVIN	P02788;CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin					98737.5		732.345	949.684		981.804	941.815	311.728	954.991	1286.24	926.694	853.413	1103.26	874.914	1126.03	1006.86	1266.33	951.097	948.68	1226.55	667.05	719.709	941.493	965.292	868.064	738.092	1052.82	1412.77	401.486	624.195	732.217	604.905
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein												573.24												1062.63			1016.59						500.83	723.978		1368.02
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	259328	133185	318591	150740	133478	5731.46	4671.1	5153.9	5016.66	4950.21	7354.04	6599.52	7076.91	6890.06	5523.54	4817.25	5780.64	5561.19	5393.63	4905.64	6015.05	5591.5	5288.83	6198.23	5252.05	5234.83	5943.99	5540.01	5193.58	5667.35	5675.65	5190.37	5988.89	5709.38	5073.23
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98						1181.7		948.204	1122.52	1409.71	677.208	1006.75		902.433		520.405	1226.92	268.731	503.017	405.954	1535.69	765.552	979.135	843.898	605.867	826.142	981.629	1319.37	890.762		263.279	604.652			1214.19
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein						823.115					881.342	446.996	1004.18	868.44	1510.18				2510.22	727.928	367.878	1059.88	990.284	1373.71	1016.66	977.508	567.475	828.755				746.418	1377.92	722.987	2020.25
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein										1393.21						476.27						1069.72	801.914	724.715		801.555	808.812								821.821
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha							2961.74	2387.42	2525.39	2401.91	2013.49	2924.92	2778.47	2050.44	1837.81	2016.37	2430.56	2208.93	2284.8	2804.58	1488.24	1896.87	2415.79	3500.46	2127.93	2139.23	2364.62	2553.74	2588.94	1989.18	2855.9	1237.82	2856.05		3483.05
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal						1955.18	963.695	1655.27	1564.47	2010.37	1585.78	1108.41	2022.15	1645.28	1058.82	1341.6	1551.42	1936.1	1273.87	1350.16	1168.99	1160.93	1360.44	1253.92	1368.2	1341.85	1065.14	1345.95	1464.69	1597.89	2663.09	1429.22	863.189	1262.4	1299.34
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A											497.324	850.913	845.48	837.457	1240.99	1990.85	1361.79	835.28	2304.53	560.364	1346.2	760.46	636.339	2228.5	1467.38	1298.57	904.123	948.894	888.823	564.732		3438.7		922.556	1515.77
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A														933.229		1615.73	1175.9	2191.56	2675.41					768.9		881.39		744.628	1056.72		975.99	652.809		722.849	840.591
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1						2249	1738.2	2144.72	1553.53	945.965	1580.11	1903.97	1702.72	1853.88	1404.72	1307.73	2430.85	2454.89	2145.01	1648.94	1732.34	2015.1	1253.84	2320.88	1890.93	1860.84	2065.71	1368.73	1434.24	2287.39	1651.86	1513.76	2468.98	1804.08	1264.23
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase											1599.71	1274.08	2469.22	2168.8		2738.35	2384.16	2056.48	2130.84	2373.01		1810.39	1011.69	1387.73	1424.65	2078.77	1723.29	665.458	1462	1546.33		1945.61	1561.03	1991.01	
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic						2614.47	2565.57	2216.84	2586.97	2417.74	2634.73	2420.38	2528.41	2305.83	2685.14	2741.59	2847.68	2759.03	3271.15	3041.37	2580.5	2524.03	2801.71	2657.74	2849.59	3403.3	3523.28	2772.45	2714.52	2749.85	3855.62	3005.68	3162.98	3000.59	2398.23
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1																										497.52	649.722	805.934		624.951					
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein						1777.88	2072.5	1709.58	1436.79	1769.39	2035.08	1489.29	1699.97	2113.05	1807.37	1943.85	1583.73	1705.15	2178.58	1668.91	1963.66	1924	1558.74	1989	2458.97	1231.33	2417.85	1772.63	1658.95	1796.08	2394.2	2148.28	2154	2019.43	1166.34
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3											533.017					508.224	268.872				281.161		405.651							565.866		266.043	216.834		183.197
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1										1725.78	959.94	1013.11	994.687	1273.81	947.102	758.028	829.995	1121.59	1622.03	876.212	998.345	831.951	982.49	1140.97	1155.24	903.039	853.398	815.513	1266.91	902.915	890.009	962.58	1037.59		1457.82
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial										1517.8	991.626	1412.87		999.272	1334.13		1802.4	727.473	1034.84		976.582	1203.29		1169.97		937.636		1114.28	1570.66	1106.14	1567.26	1127.61	551.287	898.574	851.53
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11						4652.21	4000.66	3467.08	4269.45	3995.37	4570.62	4319.88	3947.66	3485.31	3083.87	3845.8	4122.79	4069.47	4875.79	3982.17	3202.59	3913.02	3650.56	4271.42	3728.97	4391.02	3277	3970.16	3642.12	3904.57	3771.75	2911.85	3783.62	4247.44	3823.53
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	225708	254978				2611.34	2664.01	2934.57	2797.89		1991.5	2193.28	2378.94	1725.22	2677.72	2433.9	2077.04	1798.63	2905.73	846.926	1775.39	2020.26	2006.52	1789.8	2015.64	2701.05	2879.08	2108.72	2177.84	2058.77	2618.74	2504.98	2208.27	2914.99	1952.15
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9						2996.64	2605.42	1878.21	2696.08	1664.82	2947.58	2915.39	2683.21	2151.9	2433.34	3338.34	2187.09	2534.7	2050.81	6378.05	1485.37	2139.09	1695.2	1793.67	1965.52	1762.13	1855.77	2066.01	1912.32	2096.24	2214.7	2208.17	1558.16	1892.45	1309.05
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1						1390.89	650.059	1113.7	1755.29	1091.58	951.317	759.475	1132.01	1283.35	1679.85	1301.06	1042.14	1327.48	1383.28	1703.58	878.532	764.973	1274.28	1102.4	1903.82	940.033	609.435	1496.39	1055.74	1021.91	3668.95	1271.77	869.634	1330.97	1299.03
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1						3302.57	3949.83	5384.03	3358.69	2270.63	3194.62	4070.31	3623.62	3758.42	4421.11	3981.49	3820.08	5122.13	3536.47	3609.28	4080.23	3706.12	4910.67	3581.01	3781.5	2900.22	3976.13	4208.56	4941.78	4039.94	5319.92	3482.4	3464.06	3590.79	3761.25
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5							694.636		1008.35			571.908		598.34	376.772	534.741	1299.34			1064.67	363.485	528.506			728.287					676.176					
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha						2099.74	1843.94	1935.31	1808.42	1990.47	1330.81	1737.16	1680.33	1561.71	1687.01	2014.58	2048.84	1806.1	1884.86	1922.46	1463.18	2101.23	1771.24	1561.15	1419.45	1614.38	1599.51	2162.56	1446.03	1892.43	1573.32	1697.73	1469.22	1913.43	2084.06
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	248150			285057	165427	5022.9	8965.09	9405.62	6947.37	7268.58	8819.77	9337.27	9149.51	9252.98	9866.88	8654.15	11767	9389.68	7490.17	8822.81	10179.8	10009.2	9670.29	9738	7819.67	10444.6	8936.63	8665.59	9153.57	9181.06	9770.02	10171.1	9882.08	9260.58	9414.57
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F						1868.32	4877.33	2817.19	3571.21	4390.9	2845.25	3153.52	4302.54	3416.56	2037.69	3184.52	4830.85	3455.9	3444.57	3565.67	2578	4464.24	3284.66	3598.8	3066.27	3332.56	2194.02	3868.4	1962.56	1871.11	1723.37	2902.4	2846.45	1874.71	3185.44
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial								1120.33				1004.85	534.928	955.576	827.472	1444.62		1197.15	1067.51					873.841	878.211	902.891		574.095	472.446	468.604	1071.75	491.138			1306.44
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein											743.984	593.172	1038.72	721.973		841.05			1031.83	882.24				782.179		890.902					938.391	1018.73	760.943	1059.9	
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5						4171.31	3601.22	2090.51	3791.15	2031.33	3628.97	3408.23	2451.7	3302.43	2598.58	3246.8	3612.73	2750.39	3578.15	3595.85	2581.05	3121.68	2862.73	3018.52	3001.81	3375.54	3225.84	3277.68	2588.07	2594.36	2198.93	2865.95	2720.35	1995.71	3282.19
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18								3256.98			3238.4	4311.96	3208.73	3187.99	3597.83	2707.3		2839.8	2750.27		3178.09	2705.97	3499.85	3301.63	2987.22	3207.16	2887.19	2979.33	4656.28	3868.46		2931.44	3304.2	3670.5	2961.03
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3						3845.19	2799.83	6652.61	2622.97	3821.99	2493.97	2712.29	2561.52	2287.23	2213.32	2511.12	2821.12	1772.38	2864.88	2137.02	2592.35	2314.12	2759	2721.74	2083.08	2013.38	2663.65	1939.1	2649.03	3043.75	2649.23	2343.36	2284.93	2528.02	2084.23
