Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5680.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5681.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5682.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5683.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5684.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5675.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5676.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5677.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5678.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5679.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5670.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5671.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5672.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5673.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5674.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5685.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5686.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5687.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5688.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5689.d
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1425.32	1979.69	1949.93	1291.25	1925.65	1842.67	1652.4		2088.77		2154.49	1585.33	1761.14	1432.27	1922.05	1483.27	1560.15	1839.96	1707.52	1506.32
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	13976.8	13229.1	14239	12578	14677.7	15228	12979.3	13818.4	13456.7	14060.9	14628.1	15042.8	13886.3	13530.2	13152.3	13672.9	14408.5	15427.3	14356.1	14122.1
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2247.22	2827.7	3016.81	2770.37	2619.86	2160.34	3309.21	3034.29	2420.84	2292.08	1955.47	2995.39	2714.71	3362.29	2511.32	3093.69	2731.79	2191.47	2387.2	2804.33
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	3079.6	2297.58	2805.07	2373.26	1727.51	2194.76	2690.31	2386.56	1893.09	3952.61	1183.27	3216.05	2196.3	2866.21	3949.29	3011.98	2671.97	2971.35	2586.89	2653.9
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	4014.81	4423.88	3670.56	4022.46	4285.97	3575.3	4130.42	3514.33	4172.2	3371.82	4069.82	3753.28	4170.31	3813.25	3872.31	3628.44	3824.65	4153.15	3654.97	3736
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1						808.843						871.215			785.945		1046.22	1236.28		911.435
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2692.2	2503.45	3158.17	2380.27	2991.38	3185.12	2905.9	2627.49	2643.1	3032.93	2476.11	2549.78	2681.42	3083.87	2253.01	2903.65	2479.18	2858.13	2553.3	3091.71
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	775.983						421.858		1124.92			777.393		492.196		593.835	530.815			770.862
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1365.53	1026.65	413.019	1001.68	780.195	1172.13	931.615	841.277		967.867	1276.75	796.166		1345.39	408.484	972.802	1167.28	583.027	703.335	962.473
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	3480	3116.73	4175.71	3718.66	5382.99	2177.62	2692.69		3482.33	2617.62		3731.61	3756.44	3789.61	2997.39	3587.49		5802.81	3875.32	3984.27
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1763.67	1586.61	1720.65	1538.98	1653.15	1484.5	1895.86	2674.44	1819.86	1564.43	2274.74	1985.65	1827.2	2085.35	2630.69	2114.15	1948.02	2014.48	1833.17	1865.56
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial		2956.95	2200.9	2988.5	2815.1	2390.66	2217.34	2509.25	2599.98		1465.27	2004.24	2582.06	2123.66		2431.06	2183.75	2186.31	2053.97	1684.73
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	5433.74	4220.62	5099.24	5315.71	4998.96	4752.91	4670.43	5462.99	4271.19	5123.44	4366.52	5320.09	4838.48	5394.93	4720.07	4826.04	4555.48	5616.16	4745.51	5221.97
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	5890.85	7369.64	6331.58	6674.49	5747.53	6664.12	7589	6810.94	5928.87	7174.93	6172.04	8040.76	5008.98	5486.64	6951.44	4923.51	5970.25	5798.65	6597.95	5966.25
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2873.12	2673.43	3773.78	3460.38	2695.79	3104.41	3769.09	3968.93	3687.42	2439.79	2867.75	2809.37	3091.75	3881.99	2737.76	3344.42	3290.14	2831.59	4108.07	2760.75
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1743.82	2131.3	1672.03	2710.6	1645.24	2046.97	1493.58	1696.28	1643.48	1512.76	2501.65	1888.19	1478.39	1427.28	1576.62	2087.35	2119.45	1665.26	1882.75	2217.17
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	4593.41	5427.04	5758.83	5023.4	4444.17	5859.81	4980.53	5004.52	5295.02	4491.12	5528.33	6010.11	6106.47	5119.3	5731.02	7233.26	6290.47	7138.1	6664.56	5836.11
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5			1651.48		1125.73				1139.52		370.492	1421.65	862.199	1387.91	907.309		1130.44	1076.65	789.424	1167.14
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	3030.22	2300.18	2164.03	2632.79	2887.16	2514.84	3157.57	3291.38	3044.36	2355.03	3047.79	2907.43	2295.12	3239.11	2600.27	2930.83	3247.41	2486.93	2708.68	1977.93
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	14307.3	14248.5	15506.8	14713.5	15446.9	15102.7	14695	14580.8	15508.7	15627.6	15307	15423.8	14693.1	15742.2	15741.6	16047.9	16192	14730.5	15352	15618.6
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5203.49	4618.74	5178.34	4351.71	4588.46	3887.83	4982.92	5688.98	4528.08	4530.7	3631.07	5581.08	5527.7	5183.99	4721.96	4749.88	4819.82	5530.59	5726.8	4918.76
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	865.572	1033.55	1261.3	1596.97	899.381		1095.5	1222.93	1082.74	1482.33		1000.56	1335.62	554.798	1943.46	1163.83	1516.3	1054.02	1511.13	1332.44
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein		1084.6			1400.19			1128.62	2105.54	1401.31	1242.4	1571.85			1653.61	2050.52	1191.79	1804.14		1260.52
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	4485.97	3919.23	4186.69	4050.42	4382.06	3125.77	4298.78	3657.47	4370.59	4093.39	3909.43	4114.45	4443.6	4153.32	4222.3	4560.3	4254.55	3887.43	4073.6	3871.72
O00411	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial			802.535		490.002	723.225				624.023		1223.01					412.669	422.937		
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	4092.31	5307.32	3802.69	4415.9	3789.13	5032.92	3856.81	4054.2	4258.53	4133.52	4964.65	4014.62	4018.34	3575.92	3359.17	4094.37	3765.39	4128.29	3884.52	3605.03
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3529.83	3552.24	3500.83	3527.97	3626.6	3306.8	3272.04	3898.33	3915.75	3481.18	3872.32	3379.07	3654.41	3737.7	3681.68	3648.04	3687.45	3475.51	4272.96	3296.46
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2532.73	3664.03	3565.45	3103.68	3478.03	3538.36	3564.65	3388.53	3037.84	3345.96	3426.97	3397.74	3429.96	3389.31	3484.29	2956.47	3459.23	3110.64	3211.25	3783.71
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase		1314.81	1219.8	1207.52	919.161	728.902	904.916	1480.86	869.313	1096.85		1249.27	1266.46	1055.21	1168.19		976.198	1054.55	993.761	455.111
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1268.37	695.031	1342.58	805.447	1355.94	1070.39	2252.9	1130.28	1329.11	1183.92	1631.26	1470.26	1053.23	991.426	1025.47	829.184	1045.4	1227.74	1667.99	877.173
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	780.253	1452.65		697.799		638.377	937.624					771.232		836.921			710.294		537.543	855.506
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	4645.58	4662.16	4311.94	5273.97	3916.31	4354.63	4059.75	3930.42	4287.65	4186.91	4646.57	5024.31	3668.68	4892.44	4587.33	4430	4535.2	4423.15	4450.91	4350.34
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5				447.475									663.011	462.656				431.391	426.163	
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1134.66	1308.82	1338.56	1851.19	1139.82	1511.93	1895.01	1265.78	1778.14		1075.62	1717.78	1633.47	1128.7	1556.39	2136.21	1568.82	1157.7	1761.99	1224.38
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4480.13	5817.26	4532.81	4071.1	5308.6	4951.95	4973.01	5260.83	5238.43	4760.01	5413.12	5682.35	5169.72	5305.69	5084.78	4990.36	4871.27	5731.36	5357.4	5337.1
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1927.16	2692.69	3192.39	2677.74	2723.82	3687.54	2964.82	3509.15	2805.44	2917.13	2656.3	3461.31	2449.76	2888.78	2672.41	2575.97	2854.28	2989.17	3371.58	3244.6
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1		1658.39	1072.85	1798.56	1645.71	1361.08	1470.34	985.089	1311.46		1535.24	1212.99	1368.79	1475.07	1447.26	1444.25	1645.21	1416.65	1429.73	1724.47
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1109.63		1482.57	1076.36	986.456			1039.05	740.39	1829.12	1781.25	1891.34	1596.68	2042.93	1542.72	1206.23	1392.06	1842.8	1460.5	1420.52
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	3190.44	3183	3305.84	3657.76	3621.39	3109.33	2919.71	2455.32	2652.91	3004.54	3494.34	3777.47	3115.62	3570.54	3688.3	3467.31	3276.26	3530.04	3265.61	3234.67
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1										236.603		506.11		322.996		344.714	455.832	274.039		340.686
O00566	O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10		687.053			260.009		1331.19		168.581					329.382		1080.83	770.397	790.723	486.271	547.96
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2776.24	4270.3	2814.58	2953.16	3128.56	3263.73	2400.72	2733.39	2920.79	3195.26	3087.66	2607.89	3307.65	3416.29	2763.61	3219.36	3182.1	3620.34	3033.06	3279.44
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7821.27	7049.73	7936.83	7554.84	7211.67	8015.7	7900.21	7518.25	7308.38	7484.47	7308.17	7804.07	7840.77	7353.29	7050.97	7873.67	7670.56	8030.01	7226.82	7792.64
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1150.46		383.042		315.619			686.303				1652.21		868.52		233.198	369.828	636.659	497.858	362.875
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	9943.41	9579.08	8527.61	10262.3	9199.75	8899.94	9724.86	7936.73	9858.85	8514.42	9435.36	9289.15	9249.43	9663.68	8664.1	9565.76	10438.4	8928.66	9404.79	9331.54
O00622	O00622	CCN1_HUMAN	CCN1	CCN family member 1		666.574		459.699	1269.51	743.556								301.701	1196.55			927.701	592.335	1360.76
O00625	O00625	PIR_HUMAN	PIR	Pirin	6649.86	6896.11	7403.32	7331.05	8745.34	6979.63	6437.52	7661.5	6271.24	6928.19	6343.29	6782.11	6166.42	6411.73	5923.79	6279.41	7483.49	7464.05	7083.34	8652
O00629	O00629;O00505	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	4044.82	2850.8	3132.71	2153.48	2901.46	3200.85	2186.87	3560.47	3482.12	3425.21	2912.74	2468.44	3580.24	3301.51	3326.53	3032.42	4101.06	3157.91	2732.8	2628.58
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit		687.712			754.243						677.675							476.279	714.22	
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase		1050.91						368.979									778.102	816.414	450.074	
O00762	O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	2013.89	913.232		848.43		1599.82	1132.67	739.019			1139.79	1366.71	1441.02	1135.85		735.28	918.107	740.396	863.338	
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1978.01	3797.41	3920.49	4593.83	3999.13	2056.65	4624.27	4777.4	4275.85	3277.51	4848.39	4187.21	4071.69	4252.89	3842.04	4244.59	4620.54	4148.3	3952.98	4392.02
