Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Unique Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Unique Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Unique Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Unique Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Total Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Total Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Total Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Intensity	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Intensity	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 MaxLFQ Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 MaxLFQ Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 MaxLFQ Intensity	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retrotransposon Gag-like protein 8C	0.9842	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	18333.389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MQ03|CRTP1_HUMAN	A8MQ03	CRTP1_HUMAN	CYSRT1	144	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich tail protein 1	0.9713	0.9981	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	15966.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.9989	3	5	0	5	5	0	0	0	0	0	0	0	5	0	0	0	202436.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0.9843	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	18105.441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0	0.999	20	29	0	29	27	2	0	0	0	0	0	0	27	2	0	0	891119.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	28	0	28	20	3	3	2	0	0	0	0	20	3	3	2	1816441.4	526512.25	260569.86	391058.5	795121.9	193189.94	158279.3	139474.7	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1.0	0.999	3	7	7	7	7	0	0	0	7	0	0	0	7	0	0	0	124481.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	0.9846	0.999	1	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	106750.34	0.0	0.0	69783.22	0.0	0.0	0.0	0.0	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	0.9476	0.9964	1	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	18870.762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	37714.824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	9	16	16	16	16	0	0	0	16	0	0	0	16	0	0	0	446754.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00124|UBXN8_HUMAN	O00124	UBXN8_HUMAN	UBXN8	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	UBX domain-containing protein 8	0.9847	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	7614.421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.999	6	8	5	8	8	0	0	0	5	0	0	0	8	0	0	0	101932.414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	13	3	3	34	3	0	0	0	3	0	0	0	23	5	4	2	86276.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0	0.999	2	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	162322.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	6	7	7	7	7	0	0	0	7	0	0	0	7	0	0	0	182588.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	19	26	26	26	26	0	0	0	26	0	0	0	26	0	0	0	727800.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0	0.9988	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	26481.752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0	0.999	9	12	12	12	12	0	0	0	12	0	0	0	12	0	0	0	288726.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	23760.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00180|KCNK1_HUMAN	O00180	KCNK1_HUMAN	KCNK1	336	Homo sapiens OX=9606	1:Experimental evidence at protein level	Potassium channel subfamily K member 1	0.984	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	2808.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1.0	0.999	4	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	110854.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein	1.0	0.999	3	7	7	7	6	1	0	0	6	1	0	0	6	1	0	0	178430.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.999	7	7	6	7	7	0	0	0	6	0	0	0	7	0	0	0	107199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-8	0.9575	0.9958	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0	0.999	3	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	73564.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.999	18	37	37	37	31	2	1	3	31	2	1	3	31	2	1	3	799922.3	271447.6	504452.66	450663.66	0.0	0.0	430032.7	352684.7	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.999	10	17	17	17	17	0	0	0	17	0	0	0	17	0	0	0	487830.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0	0.999	6	7	7	7	7	0	0	0	7	0	0	0	7	0	0	0	201962.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1	1.0	0.999	2	5	5	5	5	0	0	0	5	0	0	0	5	0	0	0	146408.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00257|CBX4_HUMAN	O00257	CBX4_HUMAN	CBX4	560	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 SUMO-protein ligase CBX4	1.0	0.999	3	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	18685.898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.999	6	14	8	14	5	3	3	3	5	0	1	2	5	3	3	3	242963.64	201242.9	193869.56	153120.94	0.0	118848.53	116794.75	94460.51	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0	0.999	6	6	6	6	6	0	0	0	6	0	0	0	6	0	0	0	91960.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00268|TAF4_HUMAN	O00268	TAF4_HUMAN	TAF4	1085	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 4	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	22834.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	1.0	0.999	5	6	6	6	6	0	0	0	6	0	0	0	6	0	0	0	202570.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00287|RFXAP_HUMAN	O00287	RFXAP_HUMAN	RFXAP	272	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulatory factor X-associated protein	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	17228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1	1.0	0.999	4	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	116336.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	11	28	28	28	17	5	2	4	17	5	2	4	17	5	2	4	775057.75	434783.4	480862.06	554314.0	347911.1	232495.27	267628.53	288630.78	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0	0.999	10	18	18	18	14	1	2	1	14	1	2	1	14	1	2	1	373430.84	81024.63	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial	0.9995	0.9984	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	44794.562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
