Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5897.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5899.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5900.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5901.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5902.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5903.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5904.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5905.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5906.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5907.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5913.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5914.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5915.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5916.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5917.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5860.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5861.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5862.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5863.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5864.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5908.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5909.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5910.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5911.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5912.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5918.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5919.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5920.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5921.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5922.d
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3										589.561	181.001		208.024			407.627	795.332	582.712		187.868				474.017		579.061			290.37							502.326				841.256		352.436	283.632		
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		32050.1	39252.2	34144.9	40847.4	33069.3	34274.9	42449.6	31664.4	39752.8	38513.7	36671.4	40507.9	35020	39117.6	36264.1	37382.4	36879	37067	38006.6	38110.2	37174.3	39865	39043.1	29617.1	34985.1	34362.4	34406.2	49766.7	43802.2	39285.8	29809.1					40608.5	42642.7	42595.5	38019.3	41765.8	42927.8	38466.8	45119.7	44733.8	39464.3
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin							717.778	1256.82	553.741	3060.54		1012.65	777.35	758.922	974.858	1321.69	1114.66	794.855	915.834	1066.49	635.101							704.912		1159.76	1170.24						1218.2	862.59	793.799	1124.39	1062.24	529.254	1009.76	1338.23	882.466	654.316
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein				1673.33	1819.7		823.715	503.909	869.169	955.143	759.462	837.831	721.183	905.44	697.431	1053.16	705.38	575.944	730.826	570.378	896.093		501.461	977.937	708.967		1320.63	614.585	974.223	1368.65	710.19						818.493		663.122	1051.84	382.96	899.984	1029.21	513.121	676.638	530.534
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase																												626.138		567.962												843.438		1191.06		759.348
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin			1870.99			773.306	892.69	683.477		1189.33		544.295	922.414	985.804	846.172	841.189	435.534	960.618	1109.59	883.43	761.628			2103.91	1341.95		1102.2	687.297	1534.14	1600.45							738.89	744.318	849.527	1082.97	1727.37	1211.87	1333.78	1002.82	1137.65	945.655
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4913.6	3744.83	4819.15	4219.46	5445.69	3912.68	3567.75	4682.04	4614.67	3952.41	3758.34	3679.47	3994.08	3689.91	3715.65	3687.49	3830.41	4005.21	4339.72	4338.23	4192.55	5816.82	3737.63	4076.32	4201.32	4588.14	4387.81	4786.67	3777.45	4493.26	4573.25					3949.79	3647.15	3457.52	3790.89	3636.53	3347.63	3635.4	3947.88	4234.39	4095.95
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1225.91	490.718			822.457	944.082	1472.5	572.108	903.828	1398.82	350.381	948.769	786.492	681.921	167.904	992.515	702.547	1069.7	1023	1013.19	1106.65		2298.47	918.615	1456.17	1232.21	1260.72	868.163	1236.06	975.94						729.372	839.889	1138.9	769.513	962.991	1249.64	1087.18	823.865	1422.83	1288.74
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein						1134.68	545.932	1423.2	1260.6		1463.68	1361.52	1361.97	1210.26	1298.89	969.928	1426.7		1157.95	987.697							1731.72		1592.59	1160.25							1118.52	1609.32	1295.55	1319.44	934.969	1594.27	1562.43	1135.44	897.547
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein								797.942	792.166			422.051	633.411																	504.177							451.405		642.337		730.719				
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2313.84	1981.55	1753.39			1718.33	1225.85	1743.97		1376.41	1662.16	1406.49	1396.37	1221.99	1295	1563.78	1517.17	1242.3	1333.71	1594.81	543.547	793.162			1535.15		1839.85	1370.15	2040.72	2243.84						994.541	1092.26	1887.53	1508.89	2000.34	1244.31	1142.81	1198.18	1096.3	1485.28
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal		1541.83	1339.27	2056.26	1218.91	1359.76	1285.66	1574.89	1109.64	1275.08	1085.63	1306.9	1154.61	1295.94	1131.36	1344.33	1236.13	1339.18	1281.62	1343.96	1749.58			2155.75	1426.44	1721.6	1443.12	1685.12	1429.55	1384.92						1231.04	1174.51	1204.74	1306.03	1253.15	1244.85	1321.53	1015.61	842.919	1017.24
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A		1169.41						1363.13		1564.36	1195.94		1353.07	876.875	559.293	695.635	760.368	1078.23	693.797				530.575	990.542					673.017							630.415	354.351	903.278	1010.96	819.574	1109.11			851.657	665.492
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A		957.411	880.614	822.648		1281.86	1067.32	1231.47	1170.95	759.693	1429.91	1087.1	1226.53	1060.01	1250.31	1486.78	1475.63	1080.42	921.189	1583.91	1374.8	1066.43	764.018	1152.97	1563.54	1267.56	993.455	1614.31	1132.46	1102.91						956.949	1260.03	1516.08	793.708	2209.06	1095.61	1188.5	862.059	1120.87	1045.25
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2465.45	2861.41	2507.81	2806.16		1325.68	1319.1	1359.05	1420.5	1807.49	1250.22	1596	1447.48	1566.69	1794.35	1784.32	1597.48	1369.77	1454.45	1255.06		1248.24	678.488	3620.88	2738.37	1978.06	1875.69	1679.1	1783.56	1709.72						1389.69	1252.38	1429.46	1391.34	1272.62	1782.95	1433.13	1383.07	1289.31	1506.02
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2105.32	2083.67	1676.86		2547.39	1106.23	2080.69	2301.86	2225.29	1827.99	1937.72	2083.36	2187.13	1475.18	2570.29	2063.04	2187.65	2122.9	1789.52	2274.74	2425.42	2519.44	2547.77	2659.29	1857.04	2023.7	2013	2949.76	2372.72	2022.89						1931.31	1698.58	2245.14	2402.34	1929.94	1986.1	1682.33	2258.52	2035.42	2307.66
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2496.69	1967.71	2426.14	1954.09	1584.59	2032.89	1635.12	1765.58	2080.19	1860.9	1684.35	1619.65	1849.88	1828.71	1515.8	1702.54	2104.88	1731.41	1981.59	1735.02	1911.22	2482.13	2005.13	1640.58	1871.17	2349.48	1747.18	2178.13	1921.28	1783.49	2303.51					1657.96	1701.25	1701.81	2003.27	1720.9	1944.72	1894.42	1760.01	1807.76	1763.79
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1359.75	1389.89	990.589	1452.29	1986.29	1628.39	1916.91	864.265	1798.21	1113.39	1920.84	1152.7	1377.51	1363.82	1260.09	1199.59	1248.45	1422.83	1625.51	1142.54	1406.5	1591.78	957.311	1216.27	2547.59	1377.16	1515.6	1547.65	1424.63	1409.34						1688.62	1618.29	1557.54	1236.87	1587.34	1446.43	1967.38	1670.02	1659.91	1599.81
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1															421.391					451.682						261.511																			
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3													209.25	488.643	511.008	386.36	374.861	337.951		834.349					585.407	658.456			411.656							625.718	496.524	314.919	554.457		216.158	279.594	644.821		421.857
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	1093.57			1457.48		1091.2	2107.96		1070.31	1392.88	549.756		1324.56		897.592	1236.66	1157.08	973.265	819.403	1622.81			1640.88					1533.38	1824.72	1075.12						1834.95		2240.8	2053.49		1501.8	2349.38		2176.01	1280.28
