Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4337.39	4664.48	5203.16	4121.93	4521.58	4667.24
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2593.01	2714.51	2646.74	3176.32	2929.55	3136.24
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2769.5	2431.16	3039.63	2971.77	2171.27	2327.16
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1249.07	1612.04	1664.96		469.821	1018.94
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	4202.15	4600.92	4775.28	5087.11	4236.68	5300.9
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	707.696	209.32	611.062		765.609	
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1822.62	1314.76	1733.44	1739.82	1784.07	1920.38
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	13119	12262.3	11941.3	13276.3	12137.9	10957.7
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3977.34	4052.54	3950.55	3294.8	3910.59	4085.31
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial		790.543	802.072			820.46
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2080.75	2604.91	944.795			
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	3007.43	2995.81	3103.82	2740.89	2845.22	3231.46
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3249.44	4399.33	3852.74	4248.31	4466.99	3892.03
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3677.5	3517.13	4187.66	3504.66	4354.1	3501.04
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2422.5	2810.88	2820.53	2753.04	2426.89	2923.68
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase		716.305	526.116		846.328	
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4		831.315	1011.01	644.678	1098.93	942.342
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	2444.15	2172.76	2843.62	2480.91	2863.41	2885.27
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	957.931	569.064			1310.05	545.216
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3557.45	2863.12	3588.36	2972.84	3289.64	3774.19
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4462.88	3971.23	3139.15	2897.38	3600.24	5713.3
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	836.161	1411.5	1162.55	794.274	930.112	1562.44
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	1266.76	1374.09	846.415	839.444	615.701	785.417
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	1518	1627.59	1370.13	1826.32	1879.49	2118.76
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2160.71	1799.13	2041.89	1973.29	1957.44	2071.82
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	5416.15	5591.12	5402.66	5714.35	5403.89	5966.83
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	6294.77	8717.96	6777.87	6204.15	6522.81	6173.74
O00622	O00622	CCN1_HUMAN	CCN1	CCN family member 1			540.676			
O00625	O00625	PIR_HUMAN	PIR	Pirin	4533.24	4403.83	4636.45	3944.19	3460.05	4334.82
O00629	O00629;O00505	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2120.39	2022.13	2357.86	3845.72	1582.36	1902.3
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit			694.581	647.239	281.658	301.258
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	670.466		304.15	397.379		
O00762	O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	1195.84	875.907	836.105	1308.83	1149.96	826.607
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3324.69	3046.34	3302.52	3062.07	3077.61	3141.22
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	1636.51	1807.42	878.016	1613.78	1946.55	1609.69
O14519;O75956	O75956;O14519	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	2071.04					
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	763.594		819.834	452.47		661.349
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	740.708	790.288		508.68	1269.81	
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	4886.15	4112.49	4485.99	4237.39	4574.1	4575.95
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	2060.21	1308.38	1355.08	1520.57	1565.59	1740.64
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1269.07	1527.62	1371.39	1101.44	1418.23	1219.32
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	498.417		685.217	1192.59	727.566	1161.05
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B		488.292				
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10		447.139		1767.31	930.673	
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1536.03		1314.17	1166.83	1153.1	1047.96
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1398.15	957.033	913.289	675.568	1336.49	1456.42
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1248.28	1125.54	1697.07	942.957	2022.97	1258.78
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	4896.98	3681.28	4758.63	3861.29	3409.31	2511.72
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	3016.69	2999.13	2709.49	2668.68	2140.73	2477.57
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	4018.13	3573.74	3155.45	3150.73	3677.52	3828.71
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	827.112	944.948	1229.41	1077.19	1553.89	1475.65
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2230.9	1691.36	1883.75	2309.67	1224.54	2180.71
O14777	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	288.444				524.761	163.533
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6433.51	7494.87	7162.3	6928.87	7498.56	7095.17
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1851.12	1738.12	1737.88	2224.38	1161.16	1322.7
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	1152.15	989.137	1043.67	1485.08	1247.01	1046.15
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	474.942	812.286	401.61			840.202
O14908	Q8TF64;O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	789.299	1073.27	1336.02	785.204	1918.54	1018.14
O14925	Q5SRD1;O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23			542.289	573.736	836.495	459.795
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	3360.26	4283.12	3149.89	3107.67	3767.56	2746.05
O14936	O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK		304.464	623.3	262.265		
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3938.52	5224.41	4026.68	6027.45	4926.12	4802.69
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	11799.7	12335.7	11716.5	11784.3	9433.51	10508.9
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1476.1	1344.57	1506.49	1176.05	1087.33	1081.68
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1962.76	1909.6	2087.49	2173.9	2519.44	1930.68
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase		727.187		670.24		537.9
O14976	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase				11839.6		
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	5352.46	5338.38	5342.11	5797.19	5868.63	5406.86
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	3055.74	2993.61	2845.47	2495.92	2910.72	3031.88
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172		273.711				
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	2427.74	1708.84	2428.13	2218.79	2204.96	2502.38
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1154.09	790.971	1133.02	705.974	1188.99	925.791
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1747.64	1962.41	1442.01	1925.85	1705.8	1690.04
O15061	O15061	SYNEM_HUMAN	SYNM	Synemin	928.325	1758.43	924.178	768.257	548.551	
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3050.67	3203.86	3122.42	2890.43	2805.88	2907.56
O15116	O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1		984.672				
O15121	O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1		536.042				
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	2905.13	2960.74	2894.36	2657.31	2589.22	2662.66
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	5347.97	4275.25	5121.58	4606.25	5041.45	4983.39
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	7921.08	7081.54	6820.56	6121.54	7470.13	8662.51
O15155	O15155	BET1_HUMAN	BET1	BET1 homolog		341.68		926.843	809.395	316.099
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1480.2	1178.6	919.263	1012.13	1097.63	1546.09
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	3235.5	3370.3	3546.7	3536.22	3453.61	3137.49
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	2987.73	2672.67	3164.69	2483.95	3157.58	2792.6
O15235	O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial			646.084	768.344		
O15254	O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	253.533	502.729	532.899	499.615		
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	1389.66	1110.43	1126.47	1463.35	1221.94	1145.96
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	4799.94	4820.61	4076.02	3882.44	4288.46	4801.4
O15269	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	301.936	635.16			267.458	539.954
O15294	O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	666.341			1160.6	779.961	1180.71
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2022.15	2099.66	1869.7	1192.16	2481.47	2161.49
O15321	O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	777.663			817.94		
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	4762.55	2853.43	3448.42	3015.72	3226.66	3148.92
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2740.2	2508.56	2412.12	2545.61	2088.98	2511.86
O15357	O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1112.01	1013.97			524.258	
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2536.53	1934.18	1768.79	2599.02	2734.51	2205.23
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3258.05	3454.41	2758.05	3075.38	3298.45	3200.64
O15382	O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	844.613	911.851		1131.97	625.159	
O15391;P25490	P25490;O15391	TYY1_HUMAN;TYY2_HUMAN	YY1;YY2	Transcription factor YY2			557.34			
O15397	O15397	IPO8_HUMAN	IPO8	Importin-8	864.552	1069.92	986.805	1435.78	1915.93	1307.86
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7		390.875		230.053	735.24	350.431
O15405;O94842;O94900	O94900;O15405;O94842	TOX3_HUMAN;TOX4_HUMAN;TOX_HUMAN	TOX;TOX3;TOX4	TOX high mobility group box family member 3	871.611					399.276
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	4695.47	5759.66	5234.3	4789.78	5485.85	4503.05
O15446	O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34					289.96	405.436
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	2418.16	2032.57	2009.23	1835.42	2519.36	1902.79
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1275.45	1596.69	1350.35		1248.92	1739.68
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	4624.42	3731.34	5689.53	4131.74	5162.03	5696.45
O15525;O60675	O15525;O60675	MAFG_HUMAN;MAFK_HUMAN	MAFG;MAFK	Transcription factor MafG				1039.64	636.927	978.715
O15533	O15533	TPSN_HUMAN	TAPBP	Tapasin	1803.67	1934.54	1938.76	1076.15	1090.25	1839.04
O43143	O43143;Q14562;O60231	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3681.53	3866.37	3615.97	4146.08	4087.92	3810.14
O43156	O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog		732.533	476.249	757.878	651.595	
O43159	O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	787.353		678.389	473.33		700.936
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1587.35	1561.13	1906.52	2113.61	2306.68	1867.37
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	889.455	1252.9	1796.97	1334.37	1410.61	1336.42
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	12412.4	13283.8	13166.1	12813.7	13423.4	13205.1
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	972.003	807.719	1343.98	1661.72	1136.68	1160.27
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	4631.42	4396.87	4164.27	5349.99	3658.34	4025.44
O43251;Q9NWB1	Q9NWB1;O43251	RFOX1_HUMAN;RFOX2_HUMAN	RBFOX1;RBFOX2	RNA binding protein fox-1 homolog 2	398.006	400.117	237.294		310.604	644.351
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1972.26	2430.15	2634.99	1863.85	2223.82	2070.91
O43264	O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog			316.789			
O43286	O43286	B4GT5_HUMAN	B4GALT5	Beta-1,4-galactosyltransferase 5	3114.89	2590.98	2864.89	3760	2687.18	2830.94
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	953.011	1297.34	1537.91	1696.02	1441.52	998.078
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein						417.246
O43294	O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1285.74		952.377	1034.74	982.39	821.488
O43314	O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2		1128.12	1324.72			
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1558.15	1670.06	2645.61	1628.13	1348.34	1342.72
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	12331.5	11249.1	11513.1	11477.8	11909.7	11195.2
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1141.35		1148.5	1743.49	1580.36	723.677
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	2914.28	2476.29	2498.5	2715.16	2140.53	2100.98
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	5291.99	4873.79	5362.62	5009.4	5135.38	5150.02
O43402	O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8		1252.68	614.392		1638.46	
O43414	O43414	ERI3_HUMAN	ERI3	ERI1 exoribonuclease 3	634.512	1250.31	697.819			1062.37
O43432	O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3		1205.67			595.309	1427.09
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2678.3	2593.11	2297.18	2454.21	2185.77	2292.26
O43464	P83110;O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	741.805	1292.43	642.041	691.774	433.712	891.628
O43488	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	2813.2	2655.44	2466.9	2072.51	2302	1969.28
O43491	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	1227.86	1513.48	1690.51	1440.31	940.922	1567.32
O43516	O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1		1643.01		1473.15	1796.38	
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein		321.723	893.33		2162.51	
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T	1246.11	1387.13	1058.88	920.479	1151.18	1313.21
O43598	O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1512.74	1295.7	1531.29	1765.98	1379.32	1697.58
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1691.13	1290.49	1634.18	1814.81	1452.07	1842.32
