Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_0_25ng_1 Spectral Count	Hela_0_25ng_2 Spectral Count	Hela_0_25ng_3 Spectral Count	Hela_0_25ng_4 Spectral Count	Hela_0_5ng_1 Spectral Count	Hela_0_5ng_2 Spectral Count	Hela_0_5ng_3 Spectral Count	Hela_0_5ng_4 Spectral Count	Hela_10ng_1 Spectral Count	Hela_10ng_2 Spectral Count	Hela_10ng_3 Spectral Count	Hela_10ng_4 Spectral Count	Hela_1ng_1 Spectral Count	Hela_1ng_2 Spectral Count	Hela_1ng_3 Spectral Count	Hela_1ng_4 Spectral Count	Hela_5ng_1 Spectral Count	Hela_5ng_2 Spectral Count	Hela_5ng_3 Spectral Count	Hela_5ng_4 Spectral Count	Hela_0_25ng_1 Unique Spectral Count	Hela_0_25ng_2 Unique Spectral Count	Hela_0_25ng_3 Unique Spectral Count	Hela_0_25ng_4 Unique Spectral Count	Hela_0_5ng_1 Unique Spectral Count	Hela_0_5ng_2 Unique Spectral Count	Hela_0_5ng_3 Unique Spectral Count	Hela_0_5ng_4 Unique Spectral Count	Hela_10ng_1 Unique Spectral Count	Hela_10ng_2 Unique Spectral Count	Hela_10ng_3 Unique Spectral Count	Hela_10ng_4 Unique Spectral Count	Hela_1ng_1 Unique Spectral Count	Hela_1ng_2 Unique Spectral Count	Hela_1ng_3 Unique Spectral Count	Hela_1ng_4 Unique Spectral Count	Hela_5ng_1 Unique Spectral Count	Hela_5ng_2 Unique Spectral Count	Hela_5ng_3 Unique Spectral Count	Hela_5ng_4 Unique Spectral Count	Hela_0_25ng_1 Total Spectral Count	Hela_0_25ng_2 Total Spectral Count	Hela_0_25ng_3 Total Spectral Count	Hela_0_25ng_4 Total Spectral Count	Hela_0_5ng_1 Total Spectral Count	Hela_0_5ng_2 Total Spectral Count	Hela_0_5ng_3 Total Spectral Count	Hela_0_5ng_4 Total Spectral Count	Hela_10ng_1 Total Spectral Count	Hela_10ng_2 Total Spectral Count	Hela_10ng_3 Total Spectral Count	Hela_10ng_4 Total Spectral Count	Hela_1ng_1 Total Spectral Count	Hela_1ng_2 Total Spectral Count	Hela_1ng_3 Total Spectral Count	Hela_1ng_4 Total Spectral Count	Hela_5ng_1 Total Spectral Count	Hela_5ng_2 Total Spectral Count	Hela_5ng_3 Total Spectral Count	Hela_5ng_4 Total Spectral Count	Hela_0_25ng_1 Intensity	Hela_0_25ng_2 Intensity	Hela_0_25ng_3 Intensity	Hela_0_25ng_4 Intensity	Hela_0_5ng_1 Intensity	Hela_0_5ng_2 Intensity	Hela_0_5ng_3 Intensity	Hela_0_5ng_4 Intensity	Hela_10ng_1 Intensity	Hela_10ng_2 Intensity	Hela_10ng_3 Intensity	Hela_10ng_4 Intensity	Hela_1ng_1 Intensity	Hela_1ng_2 Intensity	Hela_1ng_3 Intensity	Hela_1ng_4 Intensity	Hela_5ng_1 Intensity	Hela_5ng_2 Intensity	Hela_5ng_3 Intensity	Hela_5ng_4 Intensity	Hela_0_25ng_1 MaxLFQ Intensity	Hela_0_25ng_2 MaxLFQ Intensity	Hela_0_25ng_3 MaxLFQ Intensity	Hela_0_25ng_4 MaxLFQ Intensity	Hela_0_5ng_1 MaxLFQ Intensity	Hela_0_5ng_2 MaxLFQ Intensity	Hela_0_5ng_3 MaxLFQ Intensity	Hela_0_5ng_4 MaxLFQ Intensity	Hela_10ng_1 MaxLFQ Intensity	Hela_10ng_2 MaxLFQ Intensity	Hela_10ng_3 MaxLFQ Intensity	Hela_10ng_4 MaxLFQ Intensity	Hela_1ng_1 MaxLFQ Intensity	Hela_1ng_2 MaxLFQ Intensity	Hela_1ng_3 MaxLFQ Intensity	Hela_1ng_4 MaxLFQ Intensity	Hela_5ng_1 MaxLFQ Intensity	Hela_5ng_2 MaxLFQ Intensity	Hela_5ng_3 MaxLFQ Intensity	Hela_5ng_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	3	12	12	12	0	0	0	0	0	0	0	0	2	2	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16698.277	16584.887	22016.752	12714.314	0.0	0.0	0.0	0.0	54243.367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18861.1	0.0	0.0	14520.835	0.0	0.0	0.0	0.0	22588.459	0.0	0.0	0.0	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0.9588	0.9988	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13053.01	0.0	11074.923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17077.773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	0.9652	0.999	1	4	4	4	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7781.2866	9394.369	10755.7295	10332.889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	11	32	19	32	0	0	0	0	0	0	0	0	3	6	2	3	4	0	0	0	4	3	2	5	0	0	0	0	0	0	0	0	1	3	0	2	4	0	0	0	3	2	1	3	0	0	0	0	0	0	0	0	3	6	2	3	4	0	0	0	4	3	2	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21772.025	133699.1	20149.027	56697.758	47440.574	0.0	0.0	0.0	158675.34	75210.19	37019.46	107797.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34747.305	0.0	30153.736	34557.527	0.0	0.0	0.0	37139.523	40779.773	34570.41	34816.938	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	0.9654	0.999	1	3	3	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2764.091	2532.8787	2292.8054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0.9945	0.999	2	5	5	5	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16277.036	8430.908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12434.402	43742.918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3	1.0	0.999	2	4	4	4	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24908.354	11266.851	0.0	13074.986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	6	6	6	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62706.637	112287.14	0.0	0.0	0.0	0.0	0.0	10117.723	0.0	0.0	30606.938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57594.9	45829.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12803.129	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	4	33	18	33	0	0	0	0	0	0	0	0	5	5	3	5	1	0	0	0	3	5	2	4	0	0	0	0	0	0	0	0	2	3	2	3	0	0	0	0	2	2	1	3	0	0	0	0	0	0	0	0	5	5	3	5	1	0	0	0	3	5	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47271.996	44063.492	25373.562	36801.547	15464.314	0.0	0.0	0.0	40144.89	41776.473	17131.688	43537.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14519.189	14165.316	11548.574	11388.073	0.0	0.0	0.0	0.0	11367.914	12179.0625	11969.51	13310.36	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.9989	4	7	7	7	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21425.666	25871.912	11074.903	3441.8936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17802.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	3	6	6	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19493.668	9741.308	0.0	0.0	0.0	0.0	0.0	9453.242	7180.5483	8667.143	10306.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0.9998	0.999	2	3	3	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11380.853	0.0	8942.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	25	134	134	134	0	0	0	0	0	0	0	0	23	24	19	20	6	2	0	0	10	10	8	12	0	0	0	0	0	0	0	0	23	24	19	20	6	2	0	0	10	10	8	12	0	0	0	0	0	0	0	0	23	24	19	20	6	2	0	0	10	10	8	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328064.62	547602.3	383000.6	305859.53	80632.39	51033.47	0.0	0.0	292375.34	231525.5	149951.6	326853.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50649.074	52268.12	51751.55	49471.395	49613.637	39509.67	0.0	0.0	49282.48	48237.418	47118.266	45546.0	
sp|A6ND36|FA83G_HUMAN	A6ND36	FA83G_HUMAN	FAM83G	823	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM83G	0.954	0.9986	1	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
