Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Unique Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Unique Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Unique Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Total Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Total Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Intensity	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Intensity	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Intensity	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 MaxLFQ Intensity	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 MaxLFQ Intensity	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	8	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	254441.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8723.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1.0	0.999	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	27440.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	58467.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens OX=9606	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	0.9954	0.999	3	2	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	50330.793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0.9824	0.999	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18724.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3	0.9732	0.9985	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14076.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	140730.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	4	4	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	47204.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.9989	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	50960.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	47640.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	15	18	18	18	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	356140.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NCW0|U17L3_HUMAN	A6NCW0	U17L3_HUMAN	USP17L3	530	Homo sapiens OX=9606	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	0.9656	0.998	1	8	0	8	0	0	1	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	1	0	1	0	0.0	0.0	984664.1	239169.44	919335.4	750138.2	0.0	0.0	119685.75	2328756.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A8MUK1|U17L5_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|Q7RTZ2|U17L1_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	3	5	5	5	4	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	36250.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9822	0.999	1	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	37775.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	1.0	0.999	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	49586.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
