Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5563.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5564.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5565.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5566.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5567.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5569.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5570.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5571.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5572.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5573.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5575.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5576.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5577.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5578.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5579.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5581.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5582.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5583.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5584.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5585.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5587.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5588.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5589.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5590.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5591.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5592.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5593.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5594.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5595.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5596.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5597.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5598.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5599.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5600.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5601.d
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein						1954.12	3177.51	2894.43	3214.64	3248.04	2466.75	2297.06	2140.02	2214.5	2459.07	2420.75	2064.61	2585.79	2339.02	1740.34	2003.75	1571.53	2329.61	1922.9	2190.22	2121.52	2019.4	2196.33	2246.47	2173.41	1867.06	2344.69	2064.86	1922.39	2217.27
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3											743.468			511.279		814.231	958.651	485.234	585.171	858.009	650.622	1037.03		971.901		417.199	852.71	794.478							
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3											217.528			282.161	261.313			628.887							213.516				284.508						561.926
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin							66224.1	58695.3	70269.2	69037.5	57749.9	61289.3	64483.8	61017.4	61548.4	59120.6	57150.5	60456.8	58733	61050.9	64383.5	54337	60922.8	52807.2	53521.2	55935	57752.1	55466.6	55142	59447.1	56024.5	50823.2	55717	52066.7	41422.5	57112.3
CONT|P02769|ALBU_BOVIN	P02768;CONT|P02769|ALBU_BOVIN	Albumin	Albumin							995.905		381.515		1271.56	348.588	779.328	754.197	1049.86	797.848	1287.95	563	619.358	712.4	1062.43		655.091	809.515	646.292		836.915	654.586	906.91	1042.76	646.158	477.65	743.013	878.681	718.998	724.531
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein							1318.77	1373.38	906.935	403.317	406.732	487.053	1006.71	766.45	918.35	820.728	400.316	476.741	793.62	691.852	614.177	819.832	372.619	326.828	378.944	508.668	463.978	676.844	455.368	106.673	609.622	480.25	570.862	443.575	536.769	575.623
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin							978.521	943.729	647.05	1332.08	1569.09	421.773	1119.08	301.377	889.315	761.091	661.734	516.76	725.102	329.795	399.349	337.13	475.409	777.984	657.29	413.142	703.342	771.409	681.366	913.394		293.313	522.766	647.45	1066.47	420.389
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein																		713.692				598.078								830.752			767.803		737.234	918.374
CONT|Q3ZBD7|G6PI_BOVIN	CONT|Q3ZBD7|G6PI_BOVIN	Glucose-6-phosphate	Glucose-6-phosphate												312.98					562.673			539.167	81.9134		672.997	354.948	507.011	285.255							508.918			
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	2.59E+06		1.05E+06	227937		3047.35	3131.8	2812.76	3556.34	2862.56	3146.04	3957.95	4016.88	2710.35	4390.94	3530.05	3933.36	2799.44	2946.11	3223.94	2604.19	3515.7	3781.14	3678.71	3594.19	3133.04	3524.42	3554.12	3292.31	4181.02	3233.66	3034.41	4275.33	3330.37	3150.86
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98						1087	878.028		1101.12	796.929	726.898	620.788	719.32	687.006	1024.84	567.277	681.41	1072.58	426.293	596.473	732.449	722.979	541.921	782.379	715.311	984.162	761.67	817.627	444.202	884.487	610.335	595.547	715.223		446.66
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein								1021.49	1662.38		932.742	951.128			997.064		1180.33	858.531	401.891	1652.61	1049.58			630.163	1190.23	955.937	567.841	1158.64	972.37	547.519	1014.65	647.41	1259.33	760.828	
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein								587.428			1031.65	749.172		681.006	897.339	792.681		529.085		451.363	347.758	759.683				489.383			468.841			638.218			
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha						1349.03	938.411	1502.26	918.709	1419.76	2084.72	1449.77	1291.77	1208.23	1405.37	1145.22	1958.31	1245.06		993.524	1213.92	1553.97	1836.39	2357.1	1997.85	1999.27	1269.75	1356.31	2023.65	1226.61	1588.43	1266.44	1054.78	1629.01	1703.8
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"						756.5	1404.14	1237.93	729.686	739.341	1013.24	943.718	1130.48	1177.26	844.035	1024.91	892.198	736.308	811.465	808.746	1229.18	1110.61	1095.69	819.866	980.934	1089.5	1029.26	780.387	965.311	654.06	798.526	1038.77	785.695	988.279	1068.88
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A							731.99		2570.16		635.641	622.535		782.623		405.701	833.152		967.782		938.878	529.023	487.963	460.075	472.511	719.277	622.611	1041.25	645.491		418.819	560.349	474.383	750.086	372.624
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A							834.224				170.888			440.111	875.604	1579.38		603.236			807.41	521.206	658.355	638.293	635.817		292.494		268.872			638.624	270.036	675.554	423.644
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1							2006.47	1551.47	1503.15	1466.32	2250.78	1114.53	1716.43	951.021	1186.11	1498.48	1230.29	1339.66	1191.77	1482.15	972.509	1011.1	1604.21	1298.26	1499.29	1397.13	1303.78	1286.37	1686.63	1346.54	1644.21	998.201	1144.02	1348.12	1456.73
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase											1548.61	1951.24	1228.78	2597.91	2461.74	2600.52	2046.23	2217.28	2111.02	1997.44	1281.26	1456.3	1453.46	2148.4	1974.46	1684.13	1270.57		910.051	1481.27	1666.41	1808.89	1316.17	1670.6	1323.17
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic						2481.28	2030.54	2010.9	2488.23	2759.07	2165.54	1823.92	1615.02	2194.37	1888.51	1559	1949.24	1880.87	2010.06	1966.15	1904.98	2287.99	1874.76	1885.67	1970.89	1918.96	1874.69	2174.79	2300.41	1941.47	2110.66	2306.12	2536.54	2281.44	1864.83
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein						1348.34		1807.6	2194.73	1800.46	1465.71	1093.79	1041.1	1218.73	1013.23	1720.86	840.144	1270.24	1383.91	1610.36	1307.31	1138.47	1001.17	1299.91	1132.03	1507.45	940.387	1025.59	1129.8	1137.14	571.368	1077.45	1036.19	1252.87	1486.88
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3										304.758		198.378			183.389						167.532		474.43	473.407	230.692	232.772			354.889		517.117			409.842	391.73
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1							1283.65	752.153	1156.93	830.281	808.322	1256.39	880.857	897.412	881.463	1061.57	885.847	818.785	758.617	708.345	676.749	1012.82	889.168	748.549	1150.54	913.492	578.399	757.447	636.012	737.086	686.269	763.778	861.885	840.157	780.681
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"							1238.45		1445.84	1713.61	596.497	882.181	1311.92	573.06		883.304	694.559	832.41		854.025	789.589	782.232	1079.76	843.967	616.943	689.822	521.765		962.096	1012.38	382.403	711.651	1557.4	1050.18	503.592
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11				622833		2327.9	2277.38	2375.12	2173.51	2532.9	1864.53	2062.97	1679.29	2349.42	2833.28	2766.75	2015.73	2657.25	1932.24	2565.27	2142.54	2071.76	2307.57	1650.72	1861.75	2738.43	1702.27	1979.32	2021.72	2201.13	2102.01	1942.01	2471.36	2079.73	2555.13
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12				842828			2214.5	1915.65	1714.46	1818.5	1549	2140.64	1810.94	1646.97	2185.85	2011.41	1610.54	1511.57	1333.21	1788.24	1871.79	2455.41	1007.92	1352.38	1737.79	1816.74	2220.28	2047.4	1863.54	1946.32	1865.43	1858.35	1780.2	1178.81	2658.85
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9						2397.21			1539.36	2614.74	1688.51	2815.06	1735.79	1926.1	2447.68	2439.8	2221.08	3128.8	1136.96	2041.31	1681.59	1830.95	1839.94	1269.06	997.823	1068.62	1474.11	1402.2	1758.91	1526.41	920.944	1946.61	961.711	1457.13	1100.02
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1						611.237	872.543	696.667		776.334	615.891	798.85	596.902	726.614	307.039	572.98	469.962	884.68	724.036	589.768	766.776	821.102	196.046		566.594					378.514	642.521		766.596	305.416	194.615
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1						3640.59	2685.7	2896.78	3860.95	2808.9	1941.97	2612.57	2822.21	2693.73	1984.22	2521.97	2656.49	2938.09	2453.6	2493.25	2881.62	2120.82	2531.19	3008.3	3276.73	2669.14	2525.89	3093.6	2119.62	2272.21	1975.34	2034.68	2453.45	2717.64	2073.72
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5													198.285					443.128		781.043	467.389	649.685	409.263		488.256			837.047	483.873	635.164			425.835		
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha				489296		1002.85	672.465	942.918	1294.98	1381.75	1468.36	2184.77	1183.63	1600.52	1925.5	1459.62	1522.7	847.359	1393.23	936.245	1532.5	1397.79	1230	1571.62	1447.08	1069.97	1009.81	991.285	862.04	1373.28	1600.96	1156.78	1150.55	1236.85	1138.61
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1						6354.9	6711.58	9641.12	6530.16	6420.05	6112.55	7588.02	7200.93	7278.53	7298.46	6812.14	6960.81	6547.26	7503.61	6504.36	7185.6	6887.28	7147.99	7424.89	8311.42	7487.77	8338.13	7706.05	7137.15	7054.42	7402.32	7888.83	8359.16	7525.17	7703.89
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F						3471.83	2078.49	1997.29	1802.85	2975.72	2534.57	2741.25	2972.44	3474.11	1885.83	2410.37	2208.4	1727.78	2606.94	2457.89	2885.53	2219.13	1819.27	2500.29	2134.11	2376.52	2394.98	2504.41	2157.51	2942.24	2652.33	2347.03	1998.13	1907.89	2295.18
O00330	O00330	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"						485.404						685.171	787.999	713.395	713.348			655.016	659.596	442.181	591.961	1126.12	574.561	370.857	211.824	794.358	481.852			404.178	698.594	776.81	743.208	607.667	
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein						383.179		189.933					867.907	1045.58	582.496	1006.73	888.934	414.378		798.126		465.067		514.953	635.847				556.992		460.218		663.847	883.382	
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5						3115.35	2714.48	2414.33	2096.65	2396.45	2193.13	2157.62	1740.67	2398.76	2371.66	2211.2	2213.19	1980	2201.21	2848.62	2170.26	2465.62	2103.03	1981.59	1967.22	1955.49	2221.88	2332.81	2220.68	2304.91	2279.57	2397.49	3210.08	1899.45	1666.76
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18								2529.27			2494.71			2316.2	1604.17	1714.91	2986.01	2831.61	1989.24	2116.18	2178.71	2887.21	2035.19	1958.55	2199.89		2773.83	1750.71	2150.7	2777.32	2383.84	2536.3	1728.01	2413.77	2287.16
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3						2163.52	2981.07	3337.63	2820.48	3522.48	1991.74	1127.1	1742.65	2031.92	1502.13	2296.07	1769.91	1969.43	1790.72	1614.4	2235.45	2103.43	1576.84	1494.37	1646.8	2013.08	1776.39	1718.46	1376.1	2174.41	1526.9	1895.98	1923.02	2110.03	1738.13
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein						1486.7	3024.47	1994.1	1299.02	1814.4	1711.26	1810.76	1732.58	2217.55	885.492	1660.91	1477.51	1783.03	1870.13	1469.16	1830.49	1818.28	1477.98	1650.62	1865.71	1769.74	2152.27	1998.03	1232.96	2073.5	1651.07	1322.6	1398.28	1299.66	1409.12
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase																											845.439						572.874		493.719
