Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5765.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5766.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5767.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5768.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5769.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5770.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5771.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5772.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5773.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5774.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5775.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5776.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5777.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5778.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5779.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5780.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5782.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5783.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5788.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5789.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5840.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5841.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5842.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5843.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5844.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5796.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5797.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5798.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5799.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5800.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5801.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5802.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5803.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5804.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5805.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5806.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5807.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5808.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5809.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5810.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5811.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5812.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5813.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5814.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5815.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5834.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5835.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5836.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5837.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5838.d
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1				1493.3			666.747		834.263	732.939	551.811	913.733		591.696	951.723	728.19	633.186	674.87	902.44	1040.56	1260.38	1520.86			1291.93						1373.32				1080.16		1222.66			1061.46	736.793	708.039	966.704	1169.3		769.871	574.948	895.546	770.579	1094.54
O94875	O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2	688.406		1041.9		1372.09	979.871	675.077	1566.81	1192.33	1558.92	1297.91	1038.99	1100.69	1286.76	1157.87	1182.7	917.209	873.299	853.744	1226.79	1157	929.287	1240.23	805.292	1690.59	1101.57	1986.39		1672.82	1767.1	1490.17	1291.1	1008.05	996.993	1387.66	1322.25	1267.97	873.122	1197.06	1313.42	1251.82	1214.56	1056.09	1177.55	1275.52	1092.58	1021.4	1268	1152.51	1166.89
O94888	O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7						315.067	641.728	581.931	677.979		454.835	648.791		464.217	374.234		509.468	519.913		476.934				403.784		861.219						838.39	431.385	439.182	635.917	891.379	759.429		622.086			953.488		565.076		653.761	374.783			498.318
O94901	O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	1104.95	554.206				1268.93			308.997	1168.36		391.047	586.745	721.448	635.13	711.783	408.9	537.693	449.644	962.55	692.695	256.063	157.589	729.415	689.936			357.434	443.394				518.012	1056.37	386.695	189.468	657.773	461.137		570.461				659.523	1240.31	462.777	1025.4	614.582	599.444	1251.94
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein		1321.3	745.425			814.712	1030.8	924.624	998.945	819.541	1222.7	985.664	1227.47	836.996	975.328	1086.6	1088.36	856.611	760.212	946.186	970.103	620.557	994.66	875.046	783.627	1088.56	1165.23	1350.16		506.99	818.553	1332.41	902.197		828.484	807.254	945.796	1120.52	1065.25	1139.55	906.806	720.401	1085.6	871.834	752.767	827.991	641.592	639.972	1058.44	766.711
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	2306.23	1309.47	1765.31	1237.24	1417.7	1488.57	1707.61	1783.32	870.054	984.368	1174.64	963.745	1096.56	1304.64	1004.28	834.905	1216.31	1521.77	1444.96	1435.8	1251.16	1197.85	1770.19	1661.88	933.548		2466.53	1246.74	3083.55	1457.2		1049.13		959.524	697.519	1504.88	1529.03	1030.07	1429.44	805.197	1756.85	1180.03	979.806	1445.51	1171.6	2222.08	1513.53	1820.03	961.209	964.701
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	1829.12	1821.74	1400.61	1643.26	836.773	1760.71	1704.95	1754.89	1625.73	1312.16	1671.23	1670.81	1651.43	1681.73	1748.31	1674.41	1485.51	1455.87	1612.22	1917.85	1356.85	1951.05	1711.44	1587.82	1582.7	1666.8	1743.5	1587.21	1517.02	1178.88	1211.66	2579.49	1241.85	1742.96	1757.07	1711.99	1471.5	1787.8	1351.29	1408.32	1630.3	1422.91	1698.36	1827.59	1459.75	1572.31	1518.55	1780.34	1529.93	1630.23
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	3417.59	4354.73	3896.02	3828.58	3922.16	3627.95	4114.1	3529.41	3125.4	3735.39	4027.03	3482.82	3213.31	3226.62	3461.2	3774.06	3554.44	3609.25	3850.08	3007.09	3298.81	3154.23	3015.96	3070.39	3586.04	4241.7	3307.18	3122.34	4489.12	3926.52	3921.65	3559.48	4344.76	4132.9	3292.07	2892.99	3748.91	3534.73	4745.02	3474.61	3377.58	3835.94	3655.91	3603.39	3589.16	3318.01	3907.61	3447.73	3619.35	3652.38
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2						868.182						701.08	447.161	658.31	840.654	592.786		748.13		1088.79		748.919	1096.2												933.221	547.332		503.776				1374.18			652.145		646.36			
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	2603.6	2400.97	2502.98	2632.37	2238.23	2526.91	2349.67	2686.87	2482.68	2296.68	2460.86	2393.94	2235.36	2320.69	2638.51	2680.07	2571.46	2761.03	2726.84	2804.09	2712.53	2409.39	2940.94	2536.06	2497.95	2552.95	2474.79	2656.81	2323.15	2075.11	2690.17	2778.47	2965.06	2930.25	2256.58	2902.29	2683.56	2665.15	2594.33	3115.14	3178.37	2725.41	2980.21	2838.7	2471.68	2875.52	2357.29	2575.77	3427.01	2693.09
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1							608.285					321.668		430.831	610.415			379.714					341.972	404.783						391.958				609.172		666.648						677.824								
O95070	O95070	YIF1A_HUMAN	YIF1A	Protein YIF1A												454.339			655.632		333.044					85.2423																						516.77					365.953	
O95104	Q9UPN6;O95104	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4					619.77				677.82	935.42	844.862			357.482	540.374	1003.64		835.772	403.654	658.792		803.097		436.783		328.138		410.507	696.933	867.302	1088.68	952.139	688.597	827.489	563.128	580.804		696.013				623.431				527.128			1071.46	
O95139	O95139	NDUB6_HUMAN	NDUFB6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6							1009.05		492.937								635.934			814.726				521.887	817.618	895.674	1237.57														1250.35				1155.47	1222.3				
O95155	O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B		1365.7	2265.04				681.335			849.545	984.577	1189.13	586.029	870.227	1421.27	575.251	831.038	757.835		786.945	576.839	1006.51	1100.36	814.554	1647.54	1884.83			1130.52		1131.84			1175.71	672.339	652.55	1017.52	309.126			831.696	965.127	882.841	505.863		1237.42	833.118	1030.65		
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1	1171.94	795.81	1276.39	1359.84	1681.33	826.254	458.588	969.874	776.681	871.63	466.959	527.501	614.356	747.143	898.478	739.959	971.736	806.285	803.191	961.309	563.021	949.847	864.94	1103.34	1000.51		901.856	643.954	1279.71	373.154	743.942	1593.33	1107.88	468.341	861.81	655.333	376.633	946.299	827.092	1173.51	1092.97	803.796	531.275		782.11	1152.25	894.233	1657.05	830.026	635.672
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	1254.07	1750.43	1179.84	1137.03	1478.61	1133.37	777.529	1507.33	1220.76	1163.32	1507.59	832.658	720.796	721.832	1225.84	1264.58	1420.01	1041.88	719.149	925.553	735.568	1100.44	1532.33	658.328	1508.45	506.38	1668.33	1045.13	1561.05	750.251	1139.15	907.551	837.551	1126.71	1479.97	1087.64	648.641	1344.27	753.763	995.324	903.41	494.362	1323.38	1430.87	1583.98	1653.76	1094.86	1052.6	1160.93	
O95169	O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial										534.333					2383.87		941.792		2972.53			1365.45			806.991	1376.61							548.157		865.547		3053.98			1170.14									789.218	1189.83
O95182	O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	1641.42												219.338	334.852								655.314			410.931																	558.901				295.301				
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	3405.37	3527.1	3043.77	3436.77	3018.27	3228.72	3833.25	3288.23	3457.13	3807.61	2785.87	3744.1	3657.79	3707.82	2715.62	5059.5	3973.47	4535.15	5013.5	3806.85	4084.51	3915.7	4089.28	5042.82	4291.93	3127.02	2743.23	2347.76	1836.62	1750.61	2988.4	2819.97	2610.16	2929.48	4433.24	4090.97	3595.62	3201.73	3750.91	2689.89	4846.43	4016.61	3950.22	4019.57	4061.17	2966.15	3442.86	2374.74	3383.68	3620.7
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	1494.57	1352.94	1505.55	1469.09	1733.79	1711.65	1256.83	1314.16	1318.26	1180.38	1308.84	1336.32	1439.44	1142.24	1150.25	1498.23	1099.77	1715.48	1435.12	1298.44	1355.07	1365.11	1627.99	1414.73	1525.25	1592.9	1683.29	1330.94	1506.46	1633.56	1262.39	1413.22	1328.49	1531.13	1125.35	1082.03	1536.39	1148.8	1779.09	1541.97	1714.02	1335.56	1396.73	1726.21	1272.37	1671.86	1370.35	1588.64	1318	1621.42
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	1576.68		1863.98	1452.46	1747.57	2008.76	1571.99	1620.99	1388.26	1453.41	1443.33	1142.26	1274.96	1318.21	1520.13	1244.92	1436.65	1202.15	1227.31	2018.6	1334.54	1400.09	1445.92	1468.43	1418.75	1659.62	2825.15	1294.68	1973.48	1567.24	1284.76	2074.32	1891.22	1110.05	1375.94	1290.52	1369.5	1542.13	1565.57	1887.89	820.398	1118.06	1483.5	1559.99	1178.98	940.134	1189.87	1429.79	1494.27	1047.53
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	1399.12	1337.24	1428.95	1300.28	1543.14	1537.22	1118.1	1576.13	1622.58	1894.38	1635.04	1052.41	1527.47	1513.4	1359.17	1345.44	1562.37	1190.51	1651.63	2157.09	2086.36	1513.4	1344.29	1477.59	1239.97	1372.92	1569.18	1413.71	1251.95	1478.09	1211.65	1594.76	2837.44	1483.89	1209.46	1995.29	1346.13	1360.98	1358.8	1822.44	1696.85	1332.85	1646.26	1669.22	1257.88	1233.46	1374.57	1296.53	779.809	1115.29
O95239	Q2VIQ3;O95239	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A						1226.59		530.664				368.206	1439.06		602.208		755.506	908.932	953.133						853.591		1259.12					2132.3	991.72		689.632	1047.93	786.787												872.468	
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	2500.73	1927.46	2814.26	1738.79	2196.22	2298.48	2219.04	2171	2123.07	1828.61	2151.47	1824.4	1902.77	2062.71	2134.33	1884.39	2037.67	2053.66	1865.9	2024.33	2530.07	2170.64	1930.89	2636.67	1845.39	2474.81	2689.39	1931.6	2465.44	2674.14	2452.66	1785.56	2167.13	2059.2	2568.91	1983.91	2316.28	1784.88	2260.87	1997.66	2897.58	2713.5	2484.46	2607.74	2509.3	2289.79	2471.01	2413.8	2717.05	2587
O95295	O95295	SNAPN_HUMAN	SNAPIN	SNARE-associated protein Snapin								337.639		834.922	437.626	358.914			440.656	433.065	308.092	268.358	304.282	266.608	605.632		260.048	642.899	427.167					681.121								534.833	483.615	459.572	389.454			383.724	406.517			279.41	344.083	565.035
O95297	O95297	MPZL1_HUMAN	MPZL1	Myelin protein zero-like protein 1	1699.29						406.377		639.33		1263.25		291.419	1107.73	428		929.987		1696.76			473.278	477.017		675.445		434.508		1759.68			1643.12		1358.54		526.774	565.909		883.952				982.374	536.631		550.074	524.461			
O95299	O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	458.722			695.14		789.071	844.664	1648.85			964.454	575.634	660.928	860.29	1181.88	716.941	560.906	668.299	821.338		554.059	382.582	371.107	881.114	548.215			1005.52	838.947	378.094	435.397	694.699	859.619		693.982	515.477	843.088	946.528	925.026	1002.87		485.132	903.26			606.128	705.051	863.226	686.476	518.6
O95302	O95302	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	1578.43	1652.53	2138.52	2323.72	2081.71	1804.67	1319.58	2041.98	1818.89	1816.2	1909.2	1474.64	1549.13	1629.83	1303.08	1569.61	1963.05	1963.79	1799.91	1700.03	1732.4	2131.13	1548.89	1991.93	1545.59	1919.3	2017.87	2604.53	2148.28	1139.81	1322.16	2135.4	1678.12	2111.81	2519.55	1826.65	1943.81	1531.59	2175.84	1409.8	1869.8	2111.62	1471.75	1907.88	1736.24	1590.26	1705.83	1706.78	2117.86	1317.83
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	2107.27	1822.52	2621.45	1569.1	2197.9	1844.24	1583.31	1726.22	1776.01	2127.62	1601.32	2186.56	1540.08	1589.32	2214.13	1803.52	1434.61	1650.32	1935.81	1907.1	1725.13	2076.42	1895.18	1757.7	1736.83	2282.11	1689.28	1933.22	898.861	2004.36	1587.02	2021.34	1968.44	1325.52	2379.46	1524.33	2291.03	1749.65	1947.69	2328.58	1426.32	1769.05	2128.83	2121.08	2513.58	1700.3	2073.94	1521.21	1610.12	2071.32
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	1138.84	1467.46	1360.29	1783.94	1359.56	1416.55	1080.96	1439.07	1590.44	1420.13	1383.91	1585.21	1315.67	1179.01	994.234	1615.05	1245	1205.97	1664.23	1092.36	1142.85	1378.49	1215.25	1199.56	1119.99		716.599	1252.65	2151.38	1389.93	1441.55	1268.16	1002.69		854.61	1096.85	1148.9	1290.69	841.546	1202.19	1069.38	1189.93	1107.36	1407.06	1357.15	916.953	1056.49	1131.68	1430.39	1232.93
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	1443.43	888.874	1594.98	1604.8	1851.82	1292.25	1224.95	1405.93	1021.62	1016.69	1083.99	1070.88	1107.46	1127.16	1173.43	1351.51	1322.84	1243.37	1038.31	1184.33	1337.17	1064.61	1134.02	1150.05	1140.27	1295.91	1692.04	1325.73	1253.15	1127.17	1557.62	1051.78	1349.04	1808.23	1716.46	1284.87	1123.15	814.85	1338.4	1132.42	1189.36	1148.9	1114.84	1672.86	1435.79	1083.35	1114.34	1075.45	1272.62	1290.96
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7			462.115	1058.46	856.405	1376.26	891.943	653.211	877.738	1251.64	686.989	687.685	540.08	451.692	677.419	345.56	511.907	732.55		932.43	902.835		1103.46	1196.73	257.43			977.242	710.752					839.563	500.846		807.518		871.277		1148.51	650.686	573.282		656.735	750.333	832.378			227.834
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16		736.376	735.306	508.274		592.027	896.484	943.998	641.487	380.104	800.733	552.458	781.471	769.861			564.364	805.587	507.903	792.797	779.865	619.395		1020.7	741.843	666.984	701.301	1416.93	1743.56	601.271			1020.03		737.365		738.158	1115.95		1064.5		868.572	464.119	831.741		680.294	309.268	874.567		955.639
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2			2319.69		1386.01		1369.09	627.618	1937.93	1422.21	1310.9	1988.69	1239.13	1685.92	1122.52	1705.44	1479.17	1547.24	1027.83	1774.21	1331.99	1049.09	1401.64	888.1	1430.46	1650.25			1216.02	1806.14	1318.55		2277.72		1165.31	952.581	1544.39	1082.53	1334.41	1373.61	1344.72	1250.95	2351.71	1507.35	1331.31	917.974	1481.52	1250.53	795.868	881.347
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	4654.81	4968.92	5555.42	5106.9	5240.96	5013.96	4528.88	4876.05	4605.04	4789.49	4458.63	4285.49	4809.4	4267.06	4336.2	4703.37	4558.17	4704.03	4485.11	4209.81	4845.57	4955.34	4737.69	4720.47	5389.4	5187.78	5592.52	4879.8	4881.11	5389.09	4520.96	6158.95	5360.58	5478.88	5059.25	4776.06	4189.35	3858.21	5029.55	4572.1	4408.75	5116.74	5111.57	4775.69	5147.77	4679.3	5202.55	4860.36	5133.79	4944.06
O95379	O95379	TFIP8_HUMAN	TNFAIP8	Tumor necrosis factor alpha-induced protein 8							783.764	1699.96			934.637	272.202				1208.31	2306.14		635.373			1368.91		477.905		911.312	1101.47	732.99							1278.15	584.116						1192.79	781.446	798.799	389.253	1213.2		347	919.187	679.573
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	941.557	1393.86	1027.87	1516.46		1007.05	858.067	1344.86	1709.13		1131.64	1206.38	836.992	1332.53	1407.47	2032.54	1198.26	1017.79	743.311	1143.15	1511.44	900.477	774.009	415.421	1204.38			1308.46				1435.55			725.141	1075.4		359.073		1073.93	906.072			1007.84		1179.42	1469.22	1016.63		1650.16
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2		905.312			924.602	576.874	792.772	808.791	742.188	910.803	834.765		882.291		872.129		993.044	1104.41	1233.42		931.893	750.668	1173	889.462		752.494		1546.2	1438.27		733.734	1764.19	795.494	1425.18	1043.49	501.478	661.631	1017.01		1033.61		1243.73	754.778		858.375	1053.22	838.667	965.423		692.928
O95425	O95425	SVIL_HUMAN	SVIL	Supervillin	690.002			459.392	700.405	813.095	476.418	407.248		534.455	743.167	550.501	595.436	485.149	434.326	314.434				329.772	593.484	884.119		593.7		862.483		883.232		529.96			541.65	745.793	480.218	678.59			314.476	426.695	514.657	526.947	1520.53	799.36		954.85		652.271	362.328	
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	2397.8	2288.17	2346.54	2572.92	2323.4	2962.79	2616.47	2839.7	2371.68	2961.22	2504.2	2167.04	2868.98	2619.51	2327.61	1938	2664.81	2184.13	2283.84	2404.85	2338.61	2329.34	2323.78	2398.27	2308.29	2371.12	2833.31	2928.03	2843.53	3081.77	2998.77	2491.7	2327.72	2561.69	2015.92	2168.25	2603.94	2807.39	2274.11	2952.62	1728.7	2788.39	2226.56	3042.88	2982.79	2750.33	2544.84	2276.6	2452.12	2421.54
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1	987.1	1173.65	763.252	1253.42	1229.82			1008.31		484.341	682.132	1390.64	1227.27	1146.78	1256.24	864.285	1036.97	1187.12	913.433	1155.37	1273.44	773.451	675.244	869.641						1427.58			983.324	1426.13					803.985		1443.76	918.726	588.653	898.728	703.835	1250.67	781.198			514.383
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1	1215.15			648.229		824.975						463.906			926.966	332.114			908.63	430.277				536.976				824.115	150.492		642.343					756.73			516.43			717.935				425.913	774.49	795.534		
O95478	O95478	NSA2_HUMAN	NSA2	Ribosome biogenesis protein NSA2 homolog		1203.36					629.259	915.93			489.915			1114.29				659.229		627.759		316.411		1025.21	494.872	745.783						1352.32			1615.67	755.986		1140.54	1179.16	652.685			1335.55	934.045	1014.44		1126.24			930.754
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A		1491.46						1433.67	1033.22	695.556	625.093	1017.45		684.003		478.19		624.509	733.588	1083.04	845.92	1135.2	1212.45	1773.21	1497.48			680.86						877.961	779.818	1391.49	1156.78	1332.95			551.097	553.177		760.473	1231.23	441.451	621.27	1076.19	885.348	1718.98
O95563	O95563	MPC2_HUMAN	MPC2	Mitochondrial pyruvate carrier 2						741.838				544.851	432.95		694.025			763.309			984.985	374.146			628.819	930.207					422.28						432.237		1096.76	877.633	328.825			883.934		684.16						529.048
O95571	O95571	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	1090.97	1279.48	689.479	1472.45	1191.56	1322.94	1253.34	1327	1313.1	1095.41	1351.2	979.18	1584.6	1049.97	1012.88	1169.91	1034.51	665.714	881.474	1126.8	991.212	993.789	1666.89	1083.41	1068.63	909.56	1557.88	1553.61		1438.24	1079.06	1220.94	968.705	952.714	951.824	1081.41	1385.92	661.747	1000.25	967.453	1095.37	1165.66	1206.9	1648.84	1028.95	1196.33	1286.03	774.801	750.406	1098.26
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	2315.43	2415.19	1916.35	2355.36	2843.47	2369.67	2304.27	2196.47	2023	2484.85	2077.24	2058.15	2162.29	2011.72	1953.3	1967.64	2113.59	1977.77	2439.96	2441.65	1923.84	1989.69	2132.03	2342.36	1945.38	2484.14	2652.18	2347.32	2178.2	2372.77	2356.28	2630.26	2136.75	2498.36	2436.52	2297.41	2168.07	2549.89	2265.98	2623.36	1935.08	2333.62	1981.22	1997.21	2280.54	1972.46	2052.67	2009.48	1996.58	2082.14
O95707	O95707	RPP29_HUMAN	POP4	Ribonuclease P protein subunit p29																199.12		518.857																																
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29		940.946			626.047	886.095	671.104	735.628		1001.18	433.587	489.542	1305.59	414.877		576.268	490.045	700.754	741.442	557.942	447.487		498.671	674.316	844.158	333.972	852.251	889.494			752.139			496.615		132.75	413.947	667.769		808.744	977.756	1053.33	951.808	581.416		730.66	765.574			508.381
