Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score CHIMERYS Identification: CHIMERYS Identification,# Peptides (by Search Engine): CHIMERYS Identification,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Gene Symbol,Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,Abundances (Grouped): Diffrentiated,Abundances (Grouped): Undiffrentiated,Abundances (Grouped) CV [%]: Diffrentiated,Abundances (Grouped) CV [%]: Undiffrentiated,"Abundance: F223: Sample, Diffrentiated","Abundance: F231: Sample, Diffrentiated","Abundance: F233: Sample, Diffrentiated","Abundance: F234: Sample, Diffrentiated","Abundance: F235: Sample, Diffrentiated","Abundance: F201: Sample, Undiffrentiated","Abundance: F215: Sample, Undiffrentiated","Abundance: F216: Sample, Undiffrentiated","Abundance: F217: Sample, Undiffrentiated","Abundance: F218: Sample, Undiffrentiated","Found in Sample: F223: Sample, Diffrentiated","Found in Sample: F231: Sample, Diffrentiated","Found in Sample: F233: Sample, Diffrentiated","Found in Sample: F234: Sample, Diffrentiated","Found in Sample: F235: Sample, Diffrentiated","Found in Sample: F201: Sample, Undiffrentiated","Found in Sample: F215: Sample, Undiffrentiated","Found in Sample: F216: Sample, Undiffrentiated","Found in Sample: F217: Sample, Undiffrentiated","Found in Sample: F218: Sample, Undiffrentiated",# Protein Groups,Modifications
FALSE,High,Master Protein,A6JT17,RCG45400 OS=Rattus norvegicus OX=10116 GN=rCG_45400 PE=4 SV=1,0,FALSE,169.51,54,19,929,3,445,49.8,4.89,468.63,19,,,,,,,,A6JT17,,,0,27955185.81,77778580.6,69.64,27.05,13136596.55,27955185.81,82216715.91,24258035.41,47164348.21,37971538.44,69515007.53,77778580.6,84471467.33,82570150.82,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8L2QEA3,Heat shock protein 90 alpha family class B member 1 OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=1,0,FALSE,160.221,36,25,790,14,725,83.4,5.03,462.36,25,protein metabolism;other metabolic processes,other cell component,other molecular function,,,ENSRNOG00000019834,Hsp90ab1,A0A8L2QEA3,,Glucocorticoid effect on target gene expression,1,20387070.27,111288937,46.27,22.94,16709398.3,20387070.27,37362878.84,10383577.33,23845253.72,61994370.66,105032401,111288937,117555403.3,119454526.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q3KRE8,Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,0,FALSE,158.904,49,18,755,2,445,49.9,4.89,367.91,18,cell cycle OR cell proliferation;cell organization and biogenesis;developmental processes;other biological processes,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,"Pf00091, Pf03953",291081,,Tubb2b,A3KMR7; P04691; Q3KRE8; rno:291081,COPI-mediated anterograde transport; COPI-dependent Golgi-to-ER retrograde traffic; MHC class II antigen presentation; Hedgehog 'off' state; Intraflagellar transport; Aggrephagy; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; COPI-independent Golgi-to-ER retrograde traffic; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Recruitment of NuMA to mitotic centrosomes; Kinesins; Carboxyterminal post-translational modifications of tubulin; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Sealing of the nuclear envelope (NE) by ESCRT-III; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Recycling pathway of L1; RHO GTPases activate IQGAPs,,22,27978185.88,62964482.94,65.93,23.6,12053903.14,27978185.88,74290466.77,24850011.72,40725789.68,34339834.67,51883885.48,62964482.94,65861964.63,63861425.51,n/a,High,High,High,High,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7",0,TRUE,152.598,51,26,487,9,483,53.7,5.59,257.13,26,cell organization and biogenesis;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,other molecular function,"Pf00038, Pf16208",3856,ENSG00000170421,KRT8,A8K4H3; B0AZN5; F8VXB4; hsa:3856; P05787; Q14099; Q14716; Q14717; Q53GJ0; Q6DHW5; Q6GMY0; Q6P4C7; Q96J60,Formation of the cornified envelope,Primary focal segmental glomerulosclerosis (FSGS); Acute viral myocarditis,4,5640457.848,47455822.53,23.13,70.59,3931897.426,7337112.055,6288807.203,4903077.266,5640457.848,1214318.203,46264404.41,103151033.6,60089749.75,47455822.53,n/a,High,High,High,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,A6K8B6,Eukaryotic translation elongation factor 2 OS=Rattus norvegicus OX=10116 GN=Eef2 PE=4 SV=1,0,FALSE,149.793,33,27,808,26,858,95.2,6.83,409.45,27,,,,,,,Eef2,A6K8B6,,,0,6922834.648,66722095.8,39.88,40.41,6751706.664,6922834.648,12684022.16,4314440.883,7891350.094,16810746.15,66722095.8,73386550.19,72349396.28,64376982,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8L2QDI1,78 kDa glucose-regulated protein OS=Rattus norvegicus OX=10116 GN=Hspa5 PE=1 SV=1,0,FALSE,148.666,39,22,564,20,655,72.4,5.2,297.4,22,protein metabolism;other metabolic processes,ER/Golgi;other cell component,other molecular function,,,ENSRNOG00000018294,Hspa5,A0A8L2QDI1,,,0,10560881.61,127480106.2,28.41,45.19,13260252.73,8350964.336,15194778.59,7909388.332,10560881.61,20954675.01,124544284.9,134703353.9,131713279.4,127480106.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A6J052,"VGF nerve growth factor inducible, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Vgf PE=4 SV=1",0,FALSE,145.412,36,18,432,18,617,68.1,4.73,179.25,18,,,,,,,Vgf,A6J052,,,0,21261777.07,206976.3281,67.08,180.37,5961973.188,12308276.33,35241305.86,21261777.07,44828994.17,7071337.07,,147688.6133,197323.6719,217101.1719,High,High,High,High,High,High,n/a,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,P05065,Fructose-bisphosphate aldolase A OS=Rattus norvegicus OX=10116 GN=Aldoa PE=1 SV=2,0,FALSE,143.043,58,19,448,1,364,39.3,8.09,230.81,19,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component,cytoskeletal activity;other molecular function,Pf00274,24189,,Aldoa,P05065; Q63038; rno:24189,Neutrophil degranulation; Gluconeogenesis; Platelet degranulation ; Glycolysis,Hexoses metabolism in proximal tubules,5,24278898.24,49635429.89,43.01,18.3,33233582.83,18528923.45,24278898.24,10299348.34,35812487.55,49035983.08,47336030.84,66012554.8,68558844.11,49635429.89,High,High,High,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,A6IZY2,"RCG51321, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=rCG_51321 PE=4 SV=1",0,FALSE,142.7,51,19,694,4,450,50.4,4.93,360.94,19,,,,,,,,A6IZY2,,,0,20273370.11,53007874.47,70.79,17.95,8504055.105,20273370.11,61599632.98,19138321.57,36798478.64,34907130.62,42670670.62,53007874.47,54362372.59,53280247.31,Peak Found,Peak Found,High,Peak Found,High,n/a,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,A6I9E3,"Aldolase A, isoform CRA_e OS=Rattus norvegicus OX=10116 GN=Aldoa PE=4 SV=1",0,FALSE,141.552,52,19,416,1,418,45.1,7.91,218.7,19,,,,,,,Aldoa,A6I9E3,,,0,22609229.87,49134728.27,42.53,19.35,31144891.2,17334645.82,22609229.87,9792513.727,33178027.05,45774713.33,47286585.31,65341944.36,67987233.74,49134728.27,n/a,n/a,n/a,n/a,n/a,n/a,High,High,n/a,n/a,1,
FALSE,High,Master Protein,Q10758,"Keratin, type II cytoskeletal 8 OS=Rattus norvegicus OX=10116 GN=Krt8 PE=1 SV=3",0,FALSE,139.681,48,25,363,8,483,54,6,180.41,25,cell organization and biogenesis;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytoskeleton;nucleus;other cell component,other molecular function,"Pf00038, Pf16208",25626,ENSRNOG00000009779,Krt8,Q10758; Q5WPB3; rno:25626,Formation of the cornified envelope,,2,8544898.211,20940994.77,34.74,88,5299810.938,12598326.14,8544898.211,6051740.996,8661515.816,1209490.156,20369758.47,75123870.59,42375399.5,20940994.77,High,High,High,High,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,A6KCD5,"Peripherin 1, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Prph1 PE=4 SV=1",0,FALSE,136.056,53,25,505,22,474,54.1,5.47,247.99,25,,,,,,,Prph1,A6KCD5,,,0,44903671.32,10588282.01,26.13,111.04,26307208.34,44976085.8,53236015.52,33620490.02,44903671.32,11120494.66,10588282.01,1876107.309,1714443.09,33940518.61,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P82995,Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,0,FALSE,133.181,32,25,659,16,733,84.8,5.01,363.2,25,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes,extracellular matrix;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function,"Pf00183, Pf02518",299331,ENSRNOG00000059714,Hsp90aa1,P82995; Q91XW0; rno:299331,"Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Neutrophil degranulation; Regulation of actin dynamics for phagocytic cup formation; The role of GTSE1 in G2/M progression after G2 checkpoint; Estrogen-dependent gene expression; Extra-nuclear estrogen signaling; RHOBTB2 GTPase cycle; Downregulation of ERBB2 signaling; Regulation of necroptotic cell death; Sema3A PAK dependent Axon repulsion; Attenuation phase; VEGFR2 mediated vascular permeability; DDX58/IFIH1-mediated induction of interferon-alpha/beta; HSF1 activation; eNOS activation; Drug-mediated inhibition of ERBB2 signaling; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",EBV LMP1 signaling; TNF-alpha NF-kB signaling pathway; IL-2 signaling pathway,31,15246954.77,102258867.6,46.82,33.74,15246954.77,14933117.89,27989437.38,6676858.922,16528272.38,36647194.15,100069734.3,102258867.6,109824674,107665205.4,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A6J3L7,"Dihydropyrimidinase-like 3, isoform CRA_d OS=Rattus norvegicus OX=10116 GN=Dpysl3 PE=4 SV=1",0,FALSE,132.723,43,20,328,17,683,73.9,6.46,147.41,20,,,,,,,Dpysl3,A6J3L7,,,0,16531547.86,5195292.461,67.89,105.34,4760030.25,16531547.86,38111665.45,13959046.16,38491060.96,24318259.2,1885551.016,3099308.406,5195292.461,8876346.219,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I5Y704,"Similar to Actin, cytoplasmic 2 (Gamma-actin) OS=Rattus norvegicus OX=10116 GN=AABR07021573.2 PE=3 SV=1",0,FALSE,126.779,52,12,648,1,357,39.9,5.36,381.62,12,,,,,,ENSRNOG00000026917,AABR07021573.2,A0A8I5Y704,,,0,38975478.42,201963684.5,48.75,25.96,38975478.42,36205259.27,93861372.55,36407484.98,81173595.69,97158479,184457671.4,206564677.9,203379315.7,201963684.5,n/a,n/a,n/a,n/a,n/a,High,High,High,High,High,1,
FALSE,High,Master Protein,A6KCD2,RCG50796 (Fragment) OS=Rattus norvegicus OX=10116 GN=rCG_50796 PE=4 SV=1,0,FALSE,126.503,45,17,667,5,449,49.9,5.1,334.51,17,,,,,,,,A6KCD2,,,0,26324803.89,92196161.59,63.35,23.82,13498258.67,26324803.89,70039435.24,22520364.28,44825544.95,52286166.45,92196161.59,104652345.9,87584577.94,101027023.8,High,High,High,High,High,High,High,High,High,High,1,
