Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0.9794	0.999	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	0.8855	0.9937	1	2	2	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	6400.5674	0	5624.0854	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	0.9801	0.999	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3504.7732	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1	0.999	8	18	12	18	6	6	6	0	0	0	0	0	4	4	4	0	0	0	0	0	6	6	6	0	0	0	0	0	42791.457	42774.8	85794.414	0	0	0	0	0	14381.547	15399.672	14837.457	0	0	0	0	0	
sp|A2A2Y4|FRMD3_HUMAN	A2A2Y4	FRMD3_HUMAN	FRMD3	597	Homo sapiens OX=9606	1:Experimental evidence at protein level	FERM domain-containing protein 3	0.8622	0.9922	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens OX=9606	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	0.9998	0.9968	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	9868.172	5633.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|Q99755|PI51A_HUMAN
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0.9801	0.999	1	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	5203.938	1884.3605	4167.8833	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3	0.9799	0.999	1	3	3	3	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2977.5103	3838.298	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1	0.999	4	5	5	5	0	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	19889.914	3582.6523	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1	0.999	3	6	1	6	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	12782.781	8187.4995	7525.6074	0	0	0	0	0	7960.4062	5032.4043	5145.079	0	0	0	0	0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1	0.999	2	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	5672.876	0	5946.5923	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	1	0.999	2	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	3334.2153	3869.2761	4844.7573	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1	0.999	22	50	50	50	10	18	18	4	0	0	0	0	10	18	18	4	0	0	0	0	10	18	18	4	0	0	0	0	72297.54	141864.17	100118.54	21228.062	0	0	0	0	17197.594	24891.05	19789.334	13048.273	0	0	0	0	
sp|A6NC98|CC88B_HUMAN	A6NC98	CC88B_HUMAN	CCDC88B	1476	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 88B	0.9199	0.9957	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	0.8602	0.9921	1	7	0	7	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0	0	18506.121	21131.637	19130.857	19462.945	0	0	0	0	0	0	0	0	0	0	0	0	"sp|Q9GZQ8|MLP3B_HUMAN, sp|Q9H492|MLP3A_HUMAN"
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1	0.999	7	23	23	23	7	5	5	6	0	0	0	0	7	5	5	6	0	0	0	0	7	5	5	6	0	0	0	0	102146.16	80438.7	80342.875	55103.5	0	0	0	0	24896.416	23951.176	24998.078	21771.14	0	0	0	0	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9992	0.999	2	5	5	5	3	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	16234.042	7525.088	11495.117	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NFN3|RFOX3_HUMAN	A6NFN3	RFOX3_HUMAN	RBFOX3	312	Homo sapiens OX=9606	2:Experimental evidence at transcript level	RNA binding protein fox-1 homolog 3	1	0.999	2	8	0	8	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	20589.035	4835.836	4220.847	0	0	0	0	0	0	0	0	0	0	0	0	0	"sp|O43251|RFOX2_HUMAN, sp|Q9NWB1|RFOX1_HUMAN"
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	0.999	14	22	22	22	4	12	6	0	0	0	0	0	4	12	6	0	0	0	0	0	4	12	6	0	0	0	0	0	42485.418	120783.336	61631.082	0	0	0	0	0	12063.785	23417.451	21931.873	0	0	0	0	0	
sp|A6NI56|CC154_HUMAN	A6NI56	CC154_HUMAN	CCDC154	667	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 154	0.9513	0.9975	1	2	2	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	35282.71	0	33668.99	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	0.999	3	6	6	6	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	6482.379	14862.01	23065.367	0	0	0	0	0	0	11457.361	14395.792	0	0	0	0	0	
sp|A6NKF1|SAC31_HUMAN	A6NKF1	SAC31_HUMAN	SAC3D1	404	Homo sapiens OX=9606	1:Experimental evidence at protein level	SAC3 domain-containing protein 1	0.9786	0.9989	1	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	7028.0576	12697.585	11116.574	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens OX=9606	3:Protein inferred from homology	V-set and transmembrane domain-containing protein 2B	0.7994	0.9878	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retrotransposon Gag-like protein 8C	1	0.999	3	12	3	12	3	3	5	1	0	0	0	0	0	1	2	0	0	0	0	0	3	3	5	1	0	0	0	0	13274.488	30846.96	35109.938	11547.611	0	0	0	0	7397.029	12981.191	15201.751	0	0	0	0	0	
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	0.9801	0.999	1	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	5854.603	5158.6025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|Q96HA1|P121A_HUMAN
sp|A8MQ03|CRTP1_HUMAN	A8MQ03	CRTP1_HUMAN	CYSRT1	144	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich tail protein 1	1	0.999	2	6	6	6	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	7111.088	21261.344	21396.285	0	0	0	0	0	0	11395.131	11384.787	0	0	0	0	0	
sp|A8MT70|ZBBX_HUMAN	A8MT70	ZBBX_HUMAN	ZBBX	800	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Zinc finger B-box domain-containing protein 1	0.9561	0.9977	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1	0.999	2	9	0	9	1	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	3	2	1	0	0	2	0	16362.92	68479.375	54499.977	79914.74	0	0	74739.55	0	0	63392.36	50347.02	0	0	0	0	0	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0.9801	0.999	1	2	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6262.718	5885.142	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi pH regulator A	0.9797	0.999	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3824.7505	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P0CG08|GPHRB_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	1	0.999	4	44	0	44	7	15	18	4	0	0	0	0	0	0	0	0	0	0	0	0	7	15	18	4	0	0	0	0	44739.258	483645.16	403837	48944.344	0	0	0	0	19381.191	160896.56	145114.02	29768.537	0	0	0	0	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1	0.999	4	14	14	14	4	4	6	0	0	0	0	0	4	4	6	0	0	0	0	0	4	4	6	0	0	0	0	0	14772.01	45371.723	46262.79	0	0	0	0	0	9315.289	17333.549	18902.443	0	0	0	0	0	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	1	0.999	5	19	19	19	4	5	7	3	0	0	0	0	4	5	7	3	0	0	0	0	4	5	7	3	0	0	0	0	55227.695	81167.88	98081.24	73821.1	0	0	0	0	31270.074	29726.523	35901.754	43048.758	0	0	0	0	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	0.9759	0.9988	1	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8328.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIEF1 upstream open reading frame protein	0.9379	0.9967	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3515.3975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1	0.999	4	13	13	13	3	3	4	3	0	0	0	0	3	3	4	3	0	0	0	0	3	3	4	3	0	0	0	0	31289.861	52943.96	49854.062	48303.19	0	0	0	0	16092.634	25566.723	24052.717	22142.406	0	0	0	0	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	1	0.999	12	56	56	56	13	22	16	5	0	0	0	0	13	22	16	5	0	0	0	0	13	22	16	5	0	0	0	0	113688.38	211703.77	201195.25	76656.47	0	0	0	0	25696.496	25829.064	27776.033	29870.926	0	0	0	0	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1	0.999	15	34	25	34	11	11	11	1	0	0	0	0	7	9	9	0	0	0	0	0	11	11	11	1	0	0	0	0	92677.78	62333.395	58520.855	16910.125	0	0	0	0	11836.239	17541.957	17936.943	0	0	0	0	0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1	0.999	16	114	22	114	17	31	35	25	1	2	3	0	4	6	8	4	0	0	0	0	17	31	35	25	1	2	3	0	321478.62	777751.3	791472.1	508085	0	76541.5	107037.88	0	97670.195	108487.18	122468.53	106962.38	0	0	83757.92	0	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1	0.999	8	31	31	31	7	10	10	4	0	0	0	0	7	10	10	4	0	0	0	0	7	10	10	4	0	0	0	0	68614.05	113912.62	109420.95	48303.17	0	0	0	0	17691.783	29210.371	30604.97	14631.489	0	0	0	0	
