Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d		
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase							2900.33									3589.13																					
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C																						1466.96										5514.09					
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11																					4978.6																
A8CG34	Q6PJE2;A8CG34;Q96HA1	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C				2176.83									2741.98		2859.31					4619.59				1441.02		1098.4			4322.13			1871.21		2937.02			
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1																			3648.98									4943.64		3379.05				2439.82			
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	18067.4	16830.3	26385.8	19993	26065.4	28007.5	29636.7	25447.2	39911.3	26765.7	28400.9	23179	15820.3	14432.3	27686.7	13582.2	35936.6	14115.6	30615.2	18448.7	24186.5	25448.2	16042.1	28982.3	16503.3	12379.6	16869.3	28093.8	25594.1	27475.6	20637.8	23399	14088.1	10546.7	17302.9		
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	5192.13	3996.98				2807.22									1503.68		4057.52					3192.25		2324.55			4136.49							1000.14			
B1ANS9	B1ANS9	WDR64_HUMAN	WDR64	WD repeat-containing protein 64	18600.2	18215.7	11837.1	18304.8	33827.3	24616.6	16582.7			15794.5		23557.9	16232.8	12561.8						23823.2							29475.2			19286.2		34567					
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa																			6271.91																		
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3			5827.84		5285.94	4450.82	432.739		6934.24	4798.38	3724.21					2573.63			5575.13					1683.16				2083.41				1820.39					
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3		5614.31		4240.57		4280.14		2372.68	10384		6179.84	7451.88	6422.63		3770.17		5988.95				5391.91			10123	7094.06		5530.52	3326.42									
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1					2113.98				3517.64	4765.69			7307.18		3837.65		4340.86		5124.35	7522.46	3850.69				6629.32			4820.84	2548.39	5393.8	3225.51						
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	13204.6	27427.3	16606.8	13611.3	9751.16	9530.96	9293.05	19974.7	9009.2	21394.9	13094.6	16357.4	20663.2	7900.68	7055.15		11014.8	13414.7	12318.7	12350.7	11287.6	8253.09		10604.4	17559.9	9167.05	10700.5	18745.6	13794.5	12180	9054.39	13401.4	14842.7		13997.1		
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	4849.74			1407.36	4990.06	2566.91			1443.36	2308.67	3686.53				912.065		4283.69			2648.43	1860.7	2546.22		2723.85				2404.21			2598.4	4319.28	2273.6		1414.84		
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein																5531.89																		2465.48			
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein								5331.3	5432.14						2361.02								3597.75														
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha							5938.69	7145.84								10491.3			6814.23										9677.9	11669		8032.98		9543.42			
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"			3631.89	2684.76		3595.13			2549.37	1438.17					2736.39	4279.6	6698.75		4981.85		3184.82			2803.84	3374.53	2202.62	4184.33	3307.73		2285.74	4246.52	1670.85		4114.32	3065.37		
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	6217.74		3571.04	9274.56	11467.2				4744.03		5037.19				7333.26				4566.77	4649.59	11941.8					4357.75	6315.19		5480.12			3766.29					
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A					1820.2						2722.01				1003.62			2400.22				2262.21			4896.41		4682.6			3272.66	2167.01	3858.97	2909.47		3050.04		
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	60992.6	52000.3	59924.9	55027.9	55114	64751.2	43925.4	48818.8	87286.2	42386.6	42454.2	48294.8	62962.2	52188.3	32112.3		46096.4	41975.2	29817.9	57501.8	58648.9	77691.2		39793	43112.1	66542.1	43441.4	58691.9	68835.2	49027.7	41839.5	66355.2	69471.2		59715		
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	15005.7	16986.3	10836	19900.6	13849.4	14372	24525.6	14825.2	9100.49	14355	13728.5	15176.5	4464.95	10616.7	15004.5		3334.54	12470.7	13194.6	12050.7	9789.68	12359.8		22384.3	6611.87	12885.3	15480.8	9322.69	9597.01	14054.6	17992.8	13564.9	17195.2	5553.28	10664.7		
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	12052.2	10028.9	14639.9	13314	6651.1	11549.8	15964.5	11574.4	13786.1	9917.41	12429.1	9801.02	12501.8	11529	8502.25	11938.3	11935.6	11967.4	15108.3	11954.4	11394.3	10312.1	13293.3	12882.1	15132.6	10517.6	13646.7	13300.1	17466.7	12700.8	13621.8	13927.1	8538.43	8720.77	14475.8		
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23													3894.78		4184.08				3543.38				4037.24				2933.99			6417.02		3429.81	3479.52		3020.84		
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1						3992.36										1984.46																					
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4393.08		6008.32	8114.89	8956.32	7815.38	7302.97	5857.2	9434.45	8170.2	11202	6197.32	11078.4	3456.14	7170.54		1867.55	5007.35	7366.53	8523.23	3710.53	5214.74		7096.95	9620.64	5794.12	5008.92	6821.55	8345.25	6754.96	7476.54	3905.52	14989.3		2976.61		
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1					3583.61		9011								4987.05			11045.3								4622.46				5961.22	7274.74	2064.12	5505.47				
O00182	O00182	LEG9_HUMAN	LGALS9	Galectin-9																										3603.18			440.515								
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3		4574.82	4843.58	2489.25	3473.29	8368.79	3238.34	1814.22	3526.28	7626.44	5863.64				2154	4187.06			2284.72	7672.69					1500.34		3321.28	6769.29		5064.21	2199.64	4233.74	11485.5	2745.41	2563.21		
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	9332.46		6783.12	4489.22	10379.4	6171.06	6092.74		8525.96			7517.26	5119.07		5051.06				4640.1	4744.41	4316.53	6132.18		5580.89	8308.52	6292.75	4536.74	7153.02	4196.93	3249.01	5076.48	3393.12	3843.63		3028.36		
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	4393.44		2144.95	2202.31	5048.04	7969.2	1395.65	4720.78	3217.86	6709.5	7154.62	9658.21	5852.51		5101.21		4585.84	1882.71	7616.41	12492.9				9413.73		9063.36	7247.9	6638.28		5281.85		9492.46	3165.53		4340.21		
O00214	O00214	LEG8_HUMAN	LGALS8	Galectin-8	2520.64			4772.71					2187.64						3380.73					735.342	1977.48			4700.19		6143.6					4707.16						
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"				13023.5											14455.2																	2192		17413.8			
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	8227.09	24397.9	4940.19	7088.45	9728.99	13159.7	6441.13	5289.97	3991.61	7853.65	7930.24	11474.2	14003.5	7823.99	6770.89		6350.27	5483.8	9051.25	10460.5	8002.99	4474.1		13329.3	7819.16	9348.45	7088.76	3789.41		8740.13	6940.33	8057.98	6944.62		6172.61		
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	13281.9	5289.51	12946.5	10880	8858.08	12066	7757.63	10924.4	9007.68	8459.38	10466.5	19401.2	18614.2	6319.5	12943.8	3083.68	6533.18	8980.08	9494.77	10205.5	14823.2	11006.5		10380.5	9856.35	7850.77	8035.68	12307.1	8513.08	10343.9	6257.8	10695.6	14721.1		11071		
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	5744.52		4205.66	5982.5	2844.87	5642.56	8055.94	4951.14	5378.3	3643.77	7567.66				4340.15			5341.16	9393.25	8741.9	7359.63	6029.18		3751.55	3558.27		3631.29	7182.91	3945.68	5564.71	8263.76	7533.57	7268.7		6500.52		
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1							737.096																														
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	14933.1	17454	19072.6	9753.22	18252.7	7335.87	16434.1	12137.3	7146.68	7258.5	11822.1	10694.8	27691.6	29331.2	15005	28869.2	15265	23031.3	19132.3		16067.7	10279.8	18968.4	9340.25	14945.1	19107.3	24721.9	21782.6	8702.95	11474.7	6343.27	15180	18300.5	24271.8	19292.5		
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	9860.67	28269.6		4039.22	1999.03				14434.3						4395.66		4101.13	26472.5		22467.2				4873.79	4768.82	5380.25	33229.2		10444								
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	6006.2		3513.66		5854.57	4749.73		7055.87	3456.06	3356.26					2776.28				4628.52		5570.08				2499.86		5666.37	2720.65	2081.86	6926.08		6663.16	7505.48		10664.5		
O00291	O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5073.93		3839.86	3789.68	4351.98	3608.06	3409.94		5522.3		11575.3	5175.14	6437.49	4904.85	3576.29			4788.79	3902.08	5450.64	4802.96	6465.79		6459.83		8162.46	6811.41	9713.19	3776.9	6973.85	3724.52	4510.49			1908.17		
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	83126.5	65932.1	86705.5	79376.1	77143.1	94937.8	82755.7	82145.3	95038.2	88286.6	85776	85723.4	79977.5	74380.1	42492	7113.12	8292.16	99713.6	80354.5	98579	76949.3	68424.1	6723.42	109254	83696	90323.6	89817.4	74072.3	69353.3	95609.7	93485.4	84133.1	74916.7	8979.47	68097.6		
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	10883.9	10570.6	10382.2	11634.6	9626.98	17732.7	9753.7	9864.4	6562.23	11150.5	11984.7	12324.2	8973.17	12049.3	14047.1	4004.92	7871.13	15687.3	6972.67	14829.9	11068.7	14912.3		13160.6	17761.1	11216.3	11963.3	9257.71	7249.12	13720.6	12633.5	12725.3	14221.6		11870.2		
O00330	O00330	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"				3487.05	5175.25	7604.69	10820.5	4590.08	5386.68					4145	3065.78	4221.29		8938.42	1289.05		2269.12		2586.71		27897.6					6383.54		2494.51	3279.91	4275.61			
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	6982.7			4339.84				8724.83	2614.13							3919.57			2961.3				10470.7				2853.01	9771.74				4344.71	10255.5		2229.22		
O00399	O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6													3294.3		2912.19																						
O00400	O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1				3401.94		3748.78																															
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2634	10521.6			1697.93			9276.38				12708.3			4777.33				1635.21	3525.29	1858.99				7208.32	2363.14	1624.66		1806.97	5443		3596.29			6551.58		
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	1144.04			4191.62	11531.8		3835.24	7744.54		12158.4	21507.9				8834.87					91802.4	6053.03					5032.79	69799.1	13243.9		22194.5		5886.91	20926.1		11156.3		
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	6279.65		8478.74	4204.18	13334	6132.78			8080.17	6841.21	5822.75		6125.47		6646.66		13367.4	4418.67	7472.36	4598.23	8388.82		8551.43	5495.62	4653.91			6629.92		8058.98		7097.8	7204.43		8320.07		
O00423	O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	9107.97		6923.69	5990.28	7651.7	3716.46	6412.06	6595.42	3423.96						6853.72			6889.4	8037.2	6834.82	16709.7			5341.04	3330.26	6179.72	8558.32					3979.69	3903.01		4690.27		
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	11524.3	12825.4	8134.41	9421.27	8397.86	12375.5	8797.57	5989.05	3715.09		5190.48	5496.05	8887.87	5955.84	6268.23		6294.31	3860.71	8314.67	10738.1	6829.54	6504.11		7764.01	9152.36	6694.05	7034.75	4570.3		5448.29	5834.08	7104.9	8845.37	3210.33	9020.41		
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	9498.72	4992.49	4220.08	11141.7	9055.88	11952	7939.67	8281.38	7181.48	10896.5	8014.05	12358.7		50260.8	6689.06			9311.74	7320.54	3957.67	6385.14	7015.25		6211.97	9144.39	8505.68	9224.94		9706.27	11713.2		8809	7962.53		9496		
