Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-04_3862.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-05_3863.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-23-2024_Slot2-02_3856.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-23-2024_Slot2-02_3859.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-24-2024_Slot2-03_3860.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	914.453	1476.64	1220.4		1189.82	1323.22		1538.23	1042.84	1132.65	1367.01	1030.38
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	10267.5	9096.08	9651.58		10679.5	9586.16		20760.2	22832	25865.2	22596.5	25876.7
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4300.09	3555.05	4707.07	21341.7	4810.39	4597.77		4629.71	4352.39	4395.01	6046.05	4943.03
A0PJZ3	A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	342.916		508.933			329.844			528.373	199.686		
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10					1669.34			2479.11		1233.65	2770.73	1429.12
A1A519	A1A519	F170A_HUMAN	FAM170A	Protein FAM170A		2614.38			3681.77	2827.83		1791.74	2833.33	3168.6	3003.51	3054.51
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	9862.25	8524.07	8811.35		9980.61	7290.71		8023.79	6904.22	6844.03	6572.74	6296.3
A1KZ92	A1KZ92	PXDNL_HUMAN	PXDNL	Peroxidasin-like protein		2131.47			3093.28	3326.15				3896.38	2648.25	2417.59
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	1808.3	1428.11	2200.38		2087.67	2493.74		1745.05	1446.12	2124.48	2054.18	2461.26
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10468.2	7065.24	9627.81	30025.8	7436.29	7659.18		8303.05	9079.89	8462.31	11071.4	9585.11
A1L170	A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	5799.15	6585.42	4038.15		5121.11			4822.48	5984.15		3296.85	
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8		878.619							1003.14	1098.82	888.134	2014.67
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	25356.4	30428.5	27113.6	42943.9	25754.2	24438		24785.6	25173.2	22936.1	23289.7	22953.4
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1		479.634	846.731		998.423	1142.83			630.524	1018.24	650.826	1389.37
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3	3276.14	2487.32	1459.69		2019.43	2097.99		3442.99		3095.49	2947.06	2323.44
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	9513.49	7409.44	9789.6	62533.5	6839.39	9601.97		8631.9	7312.61	7255.28	9086.79	7776.56
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	1912.6	1436.81	1905.7		1403.29	982.837		2019.2	2059.18	2071	2144.87	1740.87
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1331.28	814.039	1649.28		1459.57	1035.35		466.933	1617.2	816.719	1416.19	1862.74
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	3141.69	4002.92	3413.66		3610.6	2818.63			2776.32	3427.89	2402.15	3162.31
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	3529.49	1373.61	2663.95		2186.62	1773.18		4004.02	2198.45	1939.62	1841.19	2016.38
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	9660.03	7633.16	9526.18	87648.3	8603.84	9887.8		10039.1	8315.89	9335.04	11308.2	9765.24
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2682.58	3359.91	3737.54		4196.31	3329.06		2697.24	3631.52	3147.1	3652.45	3527.7
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6020.23	5860.58	6348.17		4727.38	5284.18		6121.1	5271.35	5668.68	6883.66	6932.41
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	4107.65	3763.98	4314.58		4503.24	4755.42		2894.46	3983.34	3474.17	3125.42	3556.18
A4D250	A4D250	BLACE_HUMAN	BLACE	B-cell acute lymphoblastic leukemia-expressed protein						178.7						
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	2745.66	1716.19	1679.77		3238.59	1798.92		1175.09	2031.63	2206.23	1685.1	2711.05
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	46485.7	42506.6				18567.1		54116.8		17417	38148.8	16974.8
A5A3E0	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	14985	15725.6	16499.8	28666.6	12340.8	21677.3		18312.1	15749.2	10430.9	10162.9	9882.19
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	7358.07	6632.77	6596.3		7435.42	6130.67		4260.93	5873.11	6374.63	6192.4	8142.4
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	5490.55	8658.45	6419.61		7201.14	8867.09		5859.23	9458.36	7711.79	8035.1	7717.21
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	8238.83		5501.77		5620.01	8135.75		6892.25	5132.01	7025.76	7334.59	8149.05
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	17453.7	15177.8	18936.6	55704.7	15742.7	17881.5		16739.9	16278.6	15654.5	16437.3	15523.2
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	28553	33022.5	32329		37710	38942.8		39988.1	44891.3	53934.2	42557.3	48199.7
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	A6NCW0;C9JPN9;Q0WX57;C9JVI0;D6RA61;C9J2P7;C9JJH3;A8MUK1;D6RBQ6;D6RCP7;D6R9N7;D6R901;D6RJB6;C9JLJ4;Q7RTZ2	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	2.04E+06	2.15E+06	2.01E+06						1.76E+06		1.17E+06	1.03E+06
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	774.899	947.259			1182.93	806.22		2676.84	1436.14	1288.95	1014.48	1180.04
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	12737.7	14074.5	13284.8	1.09E+06	11734.6	9626.09		11804.6	12999.4	10708.1	9104.09	9204.78
A6NDR6;Q99687	Q99687;O14770;O00470;A6NDR6	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	3770.67	5979.46	3663.1		5885.18	3897.33		4612.36	5411.75	5647.33	4395.33	5633.21
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1374.75	3718.73						2103.82	2527.32	398.702		558.288
A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB	13565.7	14693.3	13785.5		12673.4	7320.63		14825.3	12785.9	9798.76	11320.6	8287.55
A6NEL3;P0C5J1;Q8N7N1;Q96G04	P0C5J1;A6NEL3;Q8N7N1;Q96G04	EF2KT_HUMAN;F86B1_HUMAN;F86B2_HUMAN;F86C2_HUMAN	EEF2KMT;FAM86B1;FAM86B2;FAM86C2P	Putative protein FAM86C2P					1459.05	1295.06				999.211	1284.29	1197.52
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	925.653	752.878	515.408		669.689	1244.02		941.732	475.088	802.358	758.272	915.752
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	1735.1	2125.71	1328.05		1455.62	1034.84		3224	3957.31	2546.53	2949.82	3209.7
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3					450.546	390.534				376.749	255.047	613.971
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1					2689.75	2534.69				1926.59	1616.15	2222.64
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7071.79	6511.79	7566.66		5944.57	6749.47		8329.73	6514.54	6651.1	7666.33	7221.52
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	2444.33	5206.21	1871.24		4786.69	3145.83		2269.99	3670.62	3549.51	3079.75	3397.42
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42	1757.16		2098.32		1174.3	1710.97		952.66	858.755	1735.65	1339.08	1463.17
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	118998	94054	103124	62251.1	83642.8	51081.9		122253	113124	68792.4	96386.2	47061.8
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	21024.1	18021.8	16200		20016.3	16295.4		14978.1	16851	17515.5	16209.7	13842.7
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2577.81	2675.6	3017.43		2030.79	3004		3035.8	2947.1	3248.04	3539.42	3964.14
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	6176.41	5464.79	4151.13		6611.99	5254.6		5952.39	6173.87	6495.01	6504.35	6852.07
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	3520.42	4428.74	4156.96		3925.15	3578.07		1720.84	2017.31	2306.8	2316.36	2336.34
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	28037.1	36631.6	30363.1	23459.1	34265.5	25278.1		39149	42966.1	40171.1	36838.7	36404.6
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2723.75	3279.35	2706.48		3574.65	3348.76		4448.63	3599.52	3037.7	2997.06	3015.59
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	1602.73	1331.46	1160.56		1419.49	1443.79		1532.98	1008.77	1267.89	1199.29	1346.23
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2	4682.34	3748.13	4162.1		4409.69	4117.62				1310.9	1404.8	1563.18
A8CG34	A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	286.799		1040.91		831.197	1393.32				677.15	1289.68	1020.54
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1								1596.03			2134.1	
A8K8V0	A8K8V0	ZN785_HUMAN	ZNF785	Zinc finger protein 785					924.419	2509.45				1642.43	1157.3	719.594
A8MSI8	A8MSI8	LYRM9_HUMAN	LYRM9	LYR motif-containing protein 9					1773.24			1470.68	1117.75	1600.7	1606.97	1960.45
A8MV81;Q9Y241	Q9Y241;A8MV81	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C	1494.52	4177.86	2401.84		6215.15	3259.51		8954.34	12077	14390	9651.93	17630.5
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	3519.05	3008.64	2731.17		4365.83	3202.44		2039.96	2617.88	3045.43	3508.51	3095.6
A8MW92	A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1			885.241		1214.36						707.28	2135.28
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	183631	148312	163321	2.09E+07	214949	171655		176058	176722	180910	175580	159856
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	7523.22	6490.48	8030.88		6800.73	9027.26		13555	8832.49	10657.8	14149.5	11837.6
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8					1246.48				1473.42	3026.48	979.165	
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein		879.265	882.664		1386.58	1819.19		773.749	533.034	1548.53	1836.47	1428.45
A9Z1Z3	A9Z1Z3	FR1L4_HUMAN	FER1L4	Fer-1-like protein 4	12829.3		11708.9		1106.01			8507.78	5245.71			
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	2581.64	1944.56	1847.2		1928.86	2822.09		3605.17	4078.21	3441.68	3503.78	2838.1
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	3302.29	2609.98	3796.08		3862.6	2400.36		3003.13	3006.28	4860.47	3793.05	3897.36
B3KU38;P0DPB3	P0DPB3;B3KU38	IQIP1_HUMAN;SCHI1_HUMAN	IQCJ-SCHIP1;SCHIP1	IQCJ-SCHIP1 readthrough transcript protein	1200.71	4971.59	2722.72		4952.89	3332.93		4942.06	6194.26	6621.95	3603.41	5473.68
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3814.44	1666.04	2400.08		2751.29	3188.37		1772.7	2456.45	3212.93	3749.3	3708.01
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	14109.3	15094.3	15121.7	28662.2	6374.19	11608.7		14003.6	13498	10700.8	8156.3	10054.8
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	229.312	153.286			304.247							462.568
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	12356.3	16991.4	10821.8		16096.3	11017.7		12012.8	12372	12884	11520.9	11999.2
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	103248	74825.2	74297.7	167789	125050	108145		48886.5	62596	103216	98626	102434
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	8736.29	7506.55	9259.11	19825.3	7818.42	8830.5		8523.91	8759.96	7992.37	8256.83	8357.45
F8WCM5;P01308	F8WCM5;P01308	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	"Insulin, isoform 2"	1441	2512.95		24434	2280.18	1255.25		2841.83	2338.9	2076.58	1434.96	
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	32153.6	30076.3	24877.4	37175.6	26605.3	18588.3		28468.9	27313.8	25216.2	27592.6	22598.2
L0R819	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	4167.84	3528.83	3204.43		4646.21	3492.2		4637.19	4256.19	4022.13	3202.61	3583.09
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	14891.6	12052.5	11994.6		5399.21	6291.53		23086.8	15757.7	5444.59	8934.42	4741.72
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	49376.6	73431.4	54792.2	63467.4	76459.6	39278.5		62214.7	76420.8	84086.3	62448.9	79818.5
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	9902.58	8047.28	11079.6	9375.98	9714.95	13186.1		12777.8	11034.9	13297.9	16118.2	14278.8
O00124	O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	2473.28	1075.06	1434.59		986.17	1547.14		2491.23	1949.97	1453.79	1692.87	2393.14
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	20425.3	16726.6	20260	42213.7	17590	18669		18949.7	17436.8	17594.5	18767.6	16700
O00142	O00142	KITM_HUMAN	TK2	"Thymidine kinase 2, mitochondrial"	6317.52	7680.55	7722.77	18149.3	7384.67	7414.99		8323.28	6905.34	7843.41	9057.94	7903.17
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	652.253					483.6				404.989	677.132	408.727
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	24481.1	38237.2	29154.7	65231.5	55301.7	35453.4		45805.8	71294.2	100222	72699.7	104102
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	95283.2	94356.9	85588.5	576487	94166.9	95359.2		73418.5	85108.9	92812.2	83487.3	93181.1
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	38385.3	32041.1	37716.4	88965.2	32399.3	33387.4		31087.1	29150	25874.6	29638.8	27034.8
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	21905.7	19613.8	20065.6	52638.1	23047.4	19909.8		17791.1	18158.7	24539.1	20708.1	19932.1
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6260.6	5053.46	5507.36		6196.98	4851.04		6039.34	6069.79	6465.32	6723.73	6900.67
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10885.2	13209.3	11180.4	56001.6	14271	10967.6		10119.6	10540.1	12373	10332.8	12503.9
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	13642.7	10643.1	15149.3		9217.46	12646		9310.81	10259.8	9661.43	10631.2	9983.07
O00182	O00182	LEG9_HUMAN	LGALS9	Galectin-9	4493.13	3358.69	3980.05		3548.23	4683.23		1552.41	1629.47	2050.89	2247.79	1987.75
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	16253.6	16268.4	16041	59996.9	17111.8	15319.5		16226.9	13877.9	13986.3	15620.3	15635.1
O00189	O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3005.85	2751.47	2802.97		3383.42	3792.97		2933.09	2296.42	3745.92	2998.47	3245.67
O00192	O00192	ARVC_HUMAN	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	8209.07	7475.93	7100.74		7385.41	8745.32		8360.86	9789.56	12167.9	11344.6	10973.8
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	25395.6	22871.6	19989.2		58995.8	32762.5		12850.8	20685.3	47863.1	30762	47170.8
O00194	O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B		1214.14	664.006		711.447	652.376		620.729	1201.93	1134.09	963.522	691.896
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	21456	21134.4	23046.7	42862.5	20562	21159		21232.2	20840.9	19115.9	19490	18421
O00213	O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1	2666.41	3633.01	3392.94		3841.6	2952.48		3351.89	3550.02	3511.13	2913.98	3017.53
O00214	O00214	LEG8_HUMAN	LGALS8	Galectin-8	2846.34	2582.9	2164.05		3364.85	3248.6		2279.65	3489.22	3779.91	5125.82	3180.35
O00217	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	15634.2	28996.1	15099.2	29088.4	29370.1	11059.3		25383.6	29520.1	31138.4	25408.1	30451.4
O00220	O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	1102.82	943.347	815.27		1178.33	872.133		2644.56	2035.98	2210.62	1869.24	2331.8
O00221	O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	3042.74	2037.53	1104.57		2289.75	2634.2			1737.85	1904.96	2145.76	2504.49
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	61384.8	54492.1	65709.1	405314	62024.8	68437.4		49805.7	52348.6	59893	58764	57361
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	63570.1	57638.2	65031.2	77379.5	62194.2	63699.3		55477.4	56409.2	58852.9	59491.2	59117.8
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	31321.9	39568.5	31858.5	53265.8	37120.7	29267.3		32800.1	38711.5	37796.2	30904.1	33262.5
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	76046.6	106954	77242.6	86045.6	107735	71599.3		81479.5	112248	110280	77928.6	100430
O00255	O00255	MEN1_HUMAN	MEN1	Menin	2844	3308.2	3292.38		3135.66	4344.1		3366.22	2042.58	3976.8	4287.79	3899.49
O00257	O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4		771.954	1277.45		551.629	784.956		1092.18	1151.4	831.502	852.906	512.593
O00258	O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	10901	11795.5	13086.7		10942.1	10786.6		14914	11719.6	10102.6	14835.1	10591.3
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	109533	110380	98773	305509	127296	125626		110102	111995	137089	132799	145466
