Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91									2294.5						940.762					2309.59																				1115.98	1118.06	1532.29	951.564	867.316	972.485
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1																																								365.733	568.705	529.756	577.225	384.803	649.087
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11																																										2517.76	2093.04	4630.95	2445.43
A5A3E0	Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F																											2954.29													1905.78	862.729	2358.19	1185.81	760.805	808.957
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1592.05				7138.26				2343.13				2260					3305.43							3593.88		2851.3													1423.95	1735.71	2068.29	1794.67	1570.48	2211.72
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase								17717.8																																1882.86	1516.92	2541.75	1724.19	1916.82	1632.78
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13													2862.21									3194.64																		942.573	901.498	1995.19	1406.72	1182.84	1780.71
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1		7040.91			3908.94				2695.77	5302.53				7717.79	6218.48	30960.7			6836.58	4723.68		5911.94			14672.1	8330.98		7281.03		1575.62	20885.3	5634.43	4803.85			55477.4	4364.73		6873.05	2912.56	2319.45	3520.39	2851.96	2660.82	2994.96
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	10106.9	5485.04				17865.8			8138.91	47899.3				6670.04	1424.55					5760.55		5149.31				41182.7							4337.25		8609.4					12551.1	16030.4	19264.8	22660.9	21093.6	23461.6
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G																												2422.81												300.581	245.302	235.151	302.712	332.788	304.087
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3523.62			3535.55	4100.12	1791.02		1791.85	4507.2	4510.76		5059.84	4504.23	7247.47	4361.1				5892.84	5301.82	3798.24	6040.64	2244.94			4635.01	4144.91	5391.4		1708.27		3918.31	3969.66		9333.76		3453.59		2510.8	2349.68	2165.06	2248.63	2437.08	1785.71	2108.73
A6NDR6;Q99687	Q99687;O14770;O00470;A6NDR6	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1																																								526.13	857.362	637.149	844.407	626.069	1064.38
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1																																													248.598
A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB					1118.12		4498.33		2167.58																													3226.19		2569.69	2388.61	1839.73	2106.91	2335.86	1974.37
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316																																								121.157	286.611	344.864	156.527	113.598	187.144
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2																																								399.265	455.842	351.542	728.519	879.318	992.537
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4482.77			1822.51	3203.63		5367.12	3881.77	3682.26	7486.9					4015.17			6059.2		4569.91							3104.85			4926.8		3561.93			6118.86		2145.58			1135	944.887	1305.17	1166.55	1250.27	1235.62
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2																																								315.027	932.376	801.135	786.072	616.092	819.418
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42																																								173.111	125.428	322.246	293.286	161.992	209.853
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154		5883.58	7015.65	4624.74	6228.21				8382.07	13421.9	4609.13	8208.92		8161.91	9099.55		10851.9	9713.28		14477.9		9421.83		7001.56	3693.07	8097.52	13577.1	7057.88		6919.63	6322.77	13981.7	14169.2		10695		12357	21437.3		19222.8	16964	13608	16569.4	20871.9	11695.1
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6198.79	6618.73		2149.54	2838.26		6029.8	4921.83			5573.93		5207.65	6432.2	3718.08					13561.1		2498.1			3922.85		5673.55								6278.8		3007.75		14050.7	4511.16	5396.21	5454.65	5067.24	4961.06	4868.41
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase							2900.33										3589.13																							646.649	435.204	638.419	698.984	855.403	858.679
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C																							1466.96												5514.09					1009.36	1488.37	1519.61	1723.51	1629.58	1909.49
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11																						4978.6																		628.557	675.905	913.76	439.806	328.49	659.962
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C																																								6267.25	7525.01	7734.68	10401.6	8604.55	10146.5
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8																																								367.411	495.078	492.873	456.51	404.821	405.108
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32																																								294.339	267.753	370.342	344.051	247.381	371.616
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2																																								599.911	730.327	692.543	280.824	182.809	253.449
A8CG34	Q6PJE2;A8CG34;Q96HA1	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C				2176.83									2741.98		2859.31						4619.59				1441.02		1098.4				4322.13				1871.21			2937.02		1042.61	897.356	1283.56	798.358	1059.27	750.306
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1																				3648.98										4943.64		3379.05		7400.77				2439.82					129.041	270.102	
A8MV81;Q9Y241	Q9Y241;A8MV81	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C																																								401.253	1120.55	824.989	2690.89	2103.75	3380.08
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2																																								431.308	455.788	577.213	333.64	436.777	406.633
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	18067.4	16830.3	26385.8	19993	26065.4	28007.5	29636.7	25447.2	39911.3	26765.7	28400.9	23179	15820.3	14432.3	27686.7		13582.2	35936.6	14115.6	30615.2	18448.7	24186.5	25448.2	16042.1	28982.3	16503.3	12379.6	16869.3		28093.8	25594.1	27475.6	20637.8		23399		14088.1	10546.7	17302.9	31713.6	6143.08	36694.1	36505.1	7898.91	34951.6
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	5192.13	3996.98				2807.22									1503.68			4057.52					3192.25		2324.55			4136.49										1000.14		1566.5	1397.9	2348.44	2273.83	2834.74	2577.13
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein																																								138.744	216.075	420.553	263.943	307.765	327.606
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1																																								306.537	349.326	587.353	788.012	628.681	647.796
B1ANS9	B1ANS9	WDR64_HUMAN	WDR64	WD repeat-containing protein 64	18600.2	18215.7	11837.1	18304.8	33827.3	24616.6	16582.7			15794.5		23557.9	16232.8	12561.8							23823.2							29475.2				19286.2			34567					20127.7	4290.82		2190.01	3487.87	2033.56
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa																				6271.91																				1216.88	627.263	713.058	1037.95	743.232	982.037
B3KU38;P0DPB3	P0DPB3;B3KU38	IQIP1_HUMAN;SCHI1_HUMAN	IQCJ-SCHIP1;SCHIP1	IQCJ-SCHIP1 readthrough transcript protein																																								545.848	1055.04	438.389	1610.26	1194.13	1777.39
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A																																								321.542	490.958	760.278	710.691	855.758	870.166
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3			5827.84		5285.94	4450.82	432.739		6934.24	4798.38	3724.21						2573.63			5575.13					1683.16					2083.41					1820.39					232.611	186.928	387.329		177.184	
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3		5614.31		4240.57		4280.14		2372.68	10384		6179.84	7451.88	6422.63		3770.17			5988.95				5391.91			10123	7094.06		5530.52		3326.42										2732.76	2015.55	3328.69	2897.88	3079.86	3378.88
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1					2113.98				3517.64	4765.69			7307.18		3837.65			4340.86		5124.35	7522.46	3850.69				6629.32				4820.84	2548.39	5393.8	3225.51							1054.85	2847.51	2008.06	2842.05	1668.17	2521.06
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|A2I7N3|SPA37_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	SERPIN	SERPIN		21628.8	64109	37843.2	21673.5	24726.2	26363.2	40752.1	50396	42793	53051.6	34724.1	62572.4	56020	58684.1	18809.2	49633.9	54772.9	49315.8	59734.2	37553	77871.4	36223.3	31437.4	36691.6	53953.3	53760.9	45953.4	50130.1	56112	47546.5	41742	32071.5	27984	45506.9	34507.7	49897	30430.1	30173.8	32917.1	2248.03	3943.67	1587.5	3580.97	4267.77	2934
CONT|A2I7N1|SPA35_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	CONT|A2I7N0|SPA34_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	Serpin	Serpin										1179.22							26256.8														3130.76	7628.16						4287.37		1619.59	467.539	484.694	526.65	896.994	852.596	1094.07
CONT|F6R4P6|F6R4P6_BOVIN	CONT|F6R4P6|F6R4P6_BOVIN	Serpin	Serpin																												6224.25													2043.8	2475.1	2115.18	1863.32	2250.94	1838.32
CONT|P00735|THRB_BOVIN	CONT|P00735|THRB_BOVIN	Prothrombin	Prothrombin																																									2202.72	3661.41	3324.82	3995.95	4790.43	3825.63
CONT|P00760|TRY1_BOVIN	CONT|P00760|TRY1_BOVIN	Cationic	Cationic																	85665.8																					19473.6			87082.1	175506	100335	121879	149429	115050
