Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_33_1_1 Spectral Count	female_33_2_2 Spectral Count	female_33_3_3 Spectral Count	female_37_1_1 Spectral Count	female_37_2_2 Spectral Count	female_37_3_3 Spectral Count	male_33_1_1 Spectral Count	male_33_2_2 Spectral Count	male_33_3_3 Spectral Count	male_37_1_1 Spectral Count	male_37_2_2 Spectral Count	male_37_3_3 Spectral Count	female_33_1_1 Unique Spectral Count	female_33_2_2 Unique Spectral Count	female_33_3_3 Unique Spectral Count	female_37_1_1 Unique Spectral Count	female_37_2_2 Unique Spectral Count	female_37_3_3 Unique Spectral Count	male_33_1_1 Unique Spectral Count	male_33_2_2 Unique Spectral Count	male_33_3_3 Unique Spectral Count	male_37_1_1 Unique Spectral Count	male_37_2_2 Unique Spectral Count	male_37_3_3 Unique Spectral Count	female_33_1_1 Total Spectral Count	female_33_2_2 Total Spectral Count	female_33_3_3 Total Spectral Count	female_37_1_1 Total Spectral Count	female_37_2_2 Total Spectral Count	female_37_3_3 Total Spectral Count	male_33_1_1 Total Spectral Count	male_33_2_2 Total Spectral Count	male_33_3_3 Total Spectral Count	male_37_1_1 Total Spectral Count	male_37_2_2 Total Spectral Count	male_37_3_3 Total Spectral Count	female_33_1_1 Intensity	female_33_2_2 Intensity	female_33_3_3 Intensity	female_37_1_1 Intensity	female_37_2_2 Intensity	female_37_3_3 Intensity	male_33_1_1 Intensity	male_33_2_2 Intensity	male_33_3_3 Intensity	male_37_1_1 Intensity	male_37_2_2 Intensity	male_37_3_3 Intensity	female_33_1_1 MaxLFQ Intensity	female_33_2_2 MaxLFQ Intensity	female_33_3_3 MaxLFQ Intensity	female_37_1_1 MaxLFQ Intensity	female_37_2_2 MaxLFQ Intensity	female_37_3_3 MaxLFQ Intensity	male_33_1_1 MaxLFQ Intensity	male_33_2_2 MaxLFQ Intensity	male_33_3_3 MaxLFQ Intensity	male_37_1_1 MaxLFQ Intensity	male_37_2_2 MaxLFQ Intensity	male_37_3_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0.9352	0.9981	1	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0.9651	0.999	1	12	12	12	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	2	1	1	8615974.0	1.0920661E7	1.0616778E7	1.7644792E7	9015393.0	0.0	9178198.0	9476495.0	7676562.0	1.0680597E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein MEX3A	0.9639	0.999	2	13	1	13	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1.5144782E7	1.3524687E7	1.3696265E7	2.0657518E7	1.5176029E7	0.0	1.4205163E7	1.4686551E7	1.470635E7	2.2733716E7	1.9936164E7	1.8814564E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	10	91	91	91	7	6	12	7	6	9	7	10	7	4	8	8	7	6	12	7	6	9	7	10	7	4	8	8	7	6	12	7	6	9	7	10	7	4	8	8	2.4232912E8	1.88795216E8	1.52724208E8	1.024772E8	1.47882768E8	9.2339664E7	1.227216E8	1.71519504E8	1.49428144E8	6.5546132E7	1.14696096E8	1.34461024E8	9.7684896E7	9.831292E7	7.5386904E7	4.0302688E7	5.720746E7	5.0139404E7	7.6685616E7	5.7155216E7	7.2408568E7	7.087768E7	6.755044E7	6.0148064E7	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0.965	0.999	1	5	5	5	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	27	158	142	158	14	13	13	11	13	13	15	15	15	11	14	11	12	12	12	11	12	12	14	13	13	8	13	10	14	13	13	11	13	13	15	15	15	11	14	11	2.39345088E8	1.9232192E8	2.51857456E8	1.33484672E8	1.2059796E8	1.92633424E8	2.94750368E8	3.03624672E8	2.20839904E8	1.01072856E8	2.0016496E8	1.29255504E8	4.2744216E7	4.3067788E7	4.3656176E7	3.5993044E7	3.3801356E7	3.3977912E7	4.5432768E7	4.4859332E7	4.49705E7	3.0003364E7	3.4610876E7	3.5173888E7	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0	0.999	27	81	81	81	6	7	6	7	9	4	8	3	5	9	10	7	6	7	6	7	9	4	8	3	5	9	10	7	6	7	6	7	9	4	8	3	5	9	10	7	1.1427152E8	2.321294E7	5.9628036E7	7.4830192E7	5.9063136E7	4.5550544E7	5.8621132E7	1.5663178E7	1.5007438E7	6.728848E7	2.3411304E7	5.832356E7	2.0011284E7	1.3838813E7	1.8836868E7	2.4778874E7	1.7533424E7	2.0595328E7	1.6058566E7	1.1383269E7	9864387.0	2.4240966E7	1.5594311E7	1.4788193E7	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens OX=9606	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	0.9937	0.999	3	1	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0.9947	0.9988	2	5	5	5	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.9989	4	13	13	13	1	0	0	1	2	1	1	0	1	1	2	3	1	0	0	1	2	1	1	0	1	1	2	3	1	0	0	1	2	1	1	0	1	1	2	3	9388786.0	0.0	0.0	1.11249E7	3.0331704E7	3.9215264E7	3.5686144E7	0.0	0.0	2.5360534E7	3.296308E7	4.1027104E7	0.0	0.0	0.0	0.0	0.0	0.0	2.3327396E7	0.0	0.0	0.0	2.3475652E7	2.993695E7	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	0.9798	0.999	3	5	1	5	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0.0	0.0	0.0	3729050.2	0.0	5853556.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	5	18	18	18	1	2	4	0	0	2	2	1	2	2	1	1	1	2	4	0	0	2	2	1	2	2	1	1	1	2	4	0	0	2	2	1	2	2	1	1	7162596.0	6461348.5	3602560.5	0.0	0.0	0.0	2.282978E7	9226153.0	9300964.0	0.0	0.0	7169660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	0.9997	0.999	2	2	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	8471820.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D2B0|MBLC1_HUMAN	A4D2B0	MBLC1_HUMAN	MBLAC1	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metallo-beta-lactamase domain-containing protein 1	0.7984	0.9931	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0.9552	0.9987	1	9	9	9	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1.4292344E7	1.8285524E7	0.0	1.0962111E7	7339076.0	1.3665013E7	0.0	1.1083049E7	1.1371504E7	0.0	1.3328095E7	1.5721641E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D8W1|CFA69_HUMAN	A5D8W1	CFA69_HUMAN	CFAP69	941	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cilia- and flagella-associated protein 69	0.7961	0.993	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13	0.9772	0.999	2	9	9	9	0	0	0	0	0	1	2	2	1	0	1	2	0	0	0	0	0	1	2	2	1	0	1	2	0	0	0	0	0	1	2	2	1	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3777334.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	45	213	213	213	18	12	19	16	21	15	18	22	26	12	17	17	18	12	19	16	21	15	18	22	26	12	17	17	18	12	19	16	21	15	18	22	26	12	17	17	1.59825888E8	1.62088016E8	1.92978848E8	1.83693296E8	2.93156768E8	1.71145824E8	2.73531328E8	3.15892544E8	3.00616448E8	1.9941184E8	2.19044928E8	1.39876672E8	2.878113E7	2.2945074E7	2.4200264E7	2.8368068E7	2.7615738E7	2.5500672E7	2.9065992E7	2.8073358E7	2.883667E7	3.6964692E7	2.8101164E7	2.385928E7	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.0	0.999	7	100	0	100	9	8	5	8	7	9	7	7	9	7	11	13	0	0	0	0	0	0	0	0	0	0	0	0	9	8	5	8	7	9	7	7	9	7	11	13	1.87813712E8	3.70534048E8	2.7811088E8	3.27333088E8	4.298552E8	3.3715072E8	4.42371552E8	7.0134317E8	5.9497952E8	4.8836816E8	6.3605658E8	6.3464525E8	8.527136E7	1.33337936E8	1.09408536E8	1.19285616E8	2.11187248E8	1.05202816E8	1.527572E8	2.37571056E8	1.84092048E8	1.75579104E8	1.93901856E8	1.72445568E8	sp|Q9GZQ8|MLP3B_HUMAN
