Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Spectral Count	96_Lucy_astrolysis_M_60ng Spectral Count	97_Lucy_astrolysis_F_60ng Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Unique Spectral Count	96_Lucy_astrolysis_M_60ng Unique Spectral Count	97_Lucy_astrolysis_F_60ng Unique Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Total Spectral Count	96_Lucy_astrolysis_M_60ng Total Spectral Count	97_Lucy_astrolysis_F_60ng Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Intensity	96_Lucy_astrolysis_M_60ng Intensity	97_Lucy_astrolysis_F_60ng Intensity	102_Lucy_astrolysis_FT_60ng_reinject Unique Intensity	96_Lucy_astrolysis_M_60ng Unique Intensity	97_Lucy_astrolysis_F_60ng Unique Intensity	102_Lucy_astrolysis_FT_60ng_reinject Total Intensity	96_Lucy_astrolysis_M_60ng Total Intensity	97_Lucy_astrolysis_F_60ng Total Intensity	Indistinguishable Proteins
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	11.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0000	0.9990	8	16	16	16	6	5	5	6	5	5	6	5	5	4.0933772E7	4.9425724E7	5.2283916E7	4.0933772E7	4.9425724E7	5.2283916E7	4.0933772E7	4.9425724E7	5.2283916E7	
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	19.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	1.0000	0.9990	6	15	15	15	6	6	3	6	6	3	6	6	3	1.01554368E8	1.92323952E8	1.55564544E8	1.01554368E8	1.92323952E8	1.55564544E8	1.01554368E8	1.92323952E8	1.55564544E8	
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	10.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1	1.0000	0.9990	6	9	9	9	4	3	2	4	3	2	4	3	2	1.489954E7	1.3570786E7	1.6111512E7	1.489954E7	1.3570786E7	1.6111512E7	1.489954E7	1.3570786E7	1.6111512E7	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	37.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0000	0.9990	10	35	35	35	11	11	13	11	11	13	11	11	13	3.27704678E9	3.14804454E9	3.10758912E9	3.27704678E9	3.14804454E9	3.10758912E9	3.27704678E9	3.14804454E9	3.10758912E9	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	30.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0000	0.9990	11	37	37	37	14	11	12	14	11	12	14	11	12	4.93072256E8	5.03791552E8	5.4966323E8	4.93072256E8	5.03791552E8	5.4966323E8	4.93072256E8	5.03791552E8	5.4966323E8	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial	1.0000	0.9990	5	12	12	12	3	5	4	3	5	4	3	5	4	4.7153416E7	7.0667392E7	4.8259528E7	4.7153416E7	7.0667392E7	4.8259528E7	4.7153416E7	7.0667392E7	4.8259528E7	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	3.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0000	0.9990	2	2	2	2	1	0	1	1	0	1	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00400|ACATN_HUMAN	O00400	ACATN_HUMAN	SLC33A1	549	11.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acetyl-coenzyme A transporter 1	1.0000	0.9990	5	8	8	8	2	3	3	2	3	3	2	3	3	1.3751244E7	1.0202006E7	1.5094995E7	1.3751244E7	1.0202006E7	1.5094995E7	1.3751244E7	1.0202006E7	1.5094995E7	
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	18.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin nucleation-promoting factor WASL	1.0000	0.9990	8	19	19	19	9	4	6	9	4	6	9	4	6	2.98441184E8	2.26570896E8	3.01106432E8	2.98441184E8	2.26570896E8	3.01106432E8	2.98441184E8	2.26570896E8	3.01106432E8	
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	14.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-5	1.0000	0.9990	17	45	43	45	19	10	16	19	10	14	19	10	16	4.69350304E8	5.291128E8	6.9766726E8	4.69350304E8	5.291128E8	6.9766726E8	4.69350304E8	5.291128E8	6.9766726E8	
sp|O00418|EF2K_HUMAN	O00418	EF2K_HUMAN	EEF2K	725	9.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic elongation factor 2 kinase	1.0000	0.9990	5	7	7	7	4	2	1	4	2	1	4	2	1	2.9810056E7	893714.9	0.0	2.9810056E7	893714.9	0.0	2.9810056E7	893714.9	0.0	
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	39.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1.0000	0.9990	9	20	20	20	6	7	7	6	7	7	6	7	7	4.09502624E8	4.62511424E8	1.72713424E8	4.09502624E8	4.62511424E8	1.72713424E8	4.09502624E8	4.62511424E8	1.72713424E8	
sp|O00423|EMAL1_HUMAN	O00423	EMAL1_HUMAN	EML1	815	14.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Echinoderm microtubule-associated protein-like 1	1.0000	0.9990	9	14	11	14	3	7	4	2	6	3	3	7	4	2.8201088E7	8.4350944E7	2.367679E7	2.8201088E7	8.4350944E7	2.367679E7	2.8201088E7	8.4350944E7	2.367679E7	
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	35.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3	1.0000	0.9990	18	67	52	67	26	20	21	20	17	15	26	20	21	7.2851136E8	6.4558739E8	9.278279E8	5.8433574E8	4.5535552E8	7.3352429E8	7.2851136E8	6.4558739E8	9.278279E8	
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	33.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynamin-1-like protein	1.0000	0.9990	21	49	49	49	14	17	18	14	17	18	14	17	18	3.339136E8	1.90791232E8	3.7203728E8	3.339136E8	1.90791232E8	3.7203728E8	3.339136E8	1.90791232E8	3.7203728E8	
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	10.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA 3'-terminal phosphate cyclase	1.0000	0.9989	3	4	4	4	1	1	2	1	1	2	1	1	2	1.14225024E8	9.1666648E7	8.4267296E7	1.14225024E8	9.1666648E7	8.4267296E7	1.14225024E8	9.1666648E7	8.4267296E7	
sp|O00443|P3C2A_HUMAN	O00443	P3C2A_HUMAN	PIK3C2A	1686	7.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.0000	0.9990	8	16	16	16	6	3	7	6	3	7	6	3	7	1.6539904E7	1.7874764E7	2.5790288E7	1.6539904E7	1.7874764E7	2.5790288E7	1.6539904E7	1.7874764E7	2.5790288E7	
sp|O00459|P85B_HUMAN	O00459	P85B_HUMAN	PIK3R2	728	7.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 3-kinase regulatory subunit beta	1.0000	0.9990	3	3	3	3	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	27.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi integral membrane protein 4	1.0000	0.9990	16	42	42	42	15	14	13	15	14	13	15	14	13	1.80031264E8	1.4080848E8	1.67460592E8	1.80031264E8	1.4080848E8	1.67460592E8	1.80031264E8	1.4080848E8	1.67460592E8	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	4.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin	1.0000	0.9990	8	11	11	11	2	8	1	2	8	1	2	8	1	2.1455976E7	5.914344E7	1.816748E7	2.1455976E7	5.914344E7	1.816748E7	2.1455976E7	5.914344E7	1.816748E7	
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	25.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.0000	0.9990	21	56	56	56	19	19	18	19	19	18	19	19	18	7.375376E8	5.109912E8	5.7561235E8	7.375376E8	5.109912E8	5.7561235E8	7.375376E8	5.109912E8	5.7561235E8	
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	11.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exocyst complex component 5	1.0000	0.9990	9	19	19	19	3	6	10	3	6	10	3	6	10	2.761708E7	4.523428E7	4.7312424E7	2.761708E7	4.523428E7	4.7312424E7	2.761708E7	4.523428E7	4.7312424E7	
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	40.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4	1.0000	0.9990	4	16	16	16	6	4	6	6	4	6	6	4	6	6.6269792E8	6.1780928E8	6.2852608E8	6.6269792E8	6.1780928E8	6.2852608E8	6.6269792E8	6.1780928E8	6.2852608E8	
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	20.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14	1.0000	0.9990	6	17	17	17	5	5	7	5	5	7	5	5	7	3.16834432E8	3.1279632E8	3.04262432E8	3.16834432E8	3.1279632E8	3.04262432E8	3.16834432E8	3.1279632E8	3.04262432E8	
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	7.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-4	1.0000	0.9990	5	7	7	19	3	1	3	3	1	3	7	4	8	1.64101056E8	1.17830136E8	1.26793312E8	1.64101056E8	1.17830136E8	1.26793312E8	3.23780384E8	2.23120288E8	2.61028608E8	
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 5A	1.0000	0.9975	3	3	3	3	1	1	1	1	1	1	1	1	1	1660336.0	1.2136166E7	5200887.0	1660336.0	1.2136166E7	5200887.0	1660336.0	1.2136166E7	5200887.0	
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	23.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pescadillo homolog	1.0000	0.9990	10	39	39	39	13	12	14	13	12	14	13	12	14	1.65421184E8	1.2224604E8	2.27137232E8	1.65421184E8	1.2224604E8	2.27137232E8	1.65421184E8	1.2224604E8	2.27137232E8	
