Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-31_4280.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_18ng_3-12-2024_Slot2-32_4281.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_18ng_3-12-2024_Slot2-33_4282.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_18ng_3-12-2024_Slot2-34_4283.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_18ng_3-12-2024_Slot2-35_4284.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_18ng_3-12-2024_Slot2-36_4285.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-25_4274.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_18ng_3-11-2024_Slot2-26_4275.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_18ng_3-11-2024_Slot2-27_4276.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_18ng_3-11-2024_Slot2-28_4277.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_18ng_3-11-2024_Slot2-29_4278.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_18ng_3-11-2024_Slot2-30_4279.d
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	11634.2	8640.36	9323.91	16336.9	17374.2	19010.9				7103.78	9433.26	10635.9
A1IGU5	A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	2173.93	2751.34	3083.18	2742		949.519			694.97			
A1L020	A1L020;Q86XN8;Q6ZN04;Q5U5Q3	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	16711	14255.8	18013.4	20624.2	22935.4	21336.3	23333.7	21237.6	21358.8	24619.4	22790.3	28836.7
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	36598.8	29052.7	29136.7	38367.8	37489.6	44140.9	20564.3	27427.3	28371.8	38395.5	42294.1	34529.7
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8											2594.44	3877.63
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	5063.35	4606.28	4698.59	4616.27	5141.59		2865.31	2918.66	2710.72			
A1L4H1	A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D				5505.6	9954.92	9931.81					4620.33	6247.93
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	73208.4	67329	72733.6	91052.6	69854.7	73717	70697.6	69932.3	72020.8	97277.8	101708	93439
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1	864.065	3336.96	2360.76	2241.51			2778.99	3083.38	1835.08			
A1Z1Q3	A1Z1Q3	MACD2_HUMAN	MACROD2	ADP-ribose glycohydrolase MACROD2	5747.32	5010.4	6198.36	6194.43								
A2A3K4	A2A3K4	PTPC1_HUMAN	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1	4075.16	3959.13	3707.85	3182.99	2755.93	4538.68	2648.61	2369.57	3020.06	3475.78	5130.62	3071.14
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3	5479.88	2233.96	2574.73	5093.36			4088.02	6633.89		5136.09	7360.72	
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	106340	102245	101237	89262.2	74169.4	72923	80788.3	83238.5	81773.8	65936.8	63948.1	53381.3
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	8116.65	6098.19	6766.8	5970.05	9073.26	6865.35	6153.09	6165.85	6045.6	7721.77	6778.15	7469.95
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B		480.702	1305.51	1382.2	2560.82	2491.4	662.176		369.94	1081.91	791.142	3046.71
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	8145.68	6682.17	7486.52	11279.6	6718.72	8043.68	7252.54	8975.34	7539.55	7811.72	6385.94	8632.71
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	12355.5	12532	12032.7	12717.3	14506	11025.5	15596.5	15594	16069.7	11541.3	10337	8552.19
A2VDJ0	A2VDJ0	T131L_HUMAN	TMEM131L	Transmembrane protein 131-like	2311.22	2099.45	2548.79				3241.77	2589.25	2857.15	1773.04	1679.94	2236.23
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	20251.2	18095.3	21146.2	23420.6	18544.4	17195.4	19008.5	20551.4	19184	19001	18970.6	14913.8
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	9635.63	8306.28	8276.38	9297.17	10289.6	14393.1	13394.2	14692.3	14139.5	13209.3	13148.1	8419.56
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	12221.7	10190.9	11825	12788.3	16461.6	11778.3	17744.8	18144.9	15084	17198.9	18254.4	19521.5
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	17578.5	15317.1	15903.5	14155.6	11012.8	10739.6	16112.6	15593.8	14671.1	11601.2	9954.31	10469.6
A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11	4676.38	4966.44	5631.12	3520.43			5001.41	4621.77	4664.18	3857.72	5451.72	4905.39
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1				10275.1	22239.7	20479.7				6907.78	7381.13	12786.7
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	18817.9	9614.97	15877.9	4184.66	7577.55			23475.6	12399	14810.9	9557.44	
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	6488.22	5244.36	5680.42	24952.2	18736.4	20284.9	6785.41	5423.1	3792.04	15678.6	13867.4	20114
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	22459.9	25366.5	25660.5	13383.1	10433.3	11434.1	13983.9	11547.6	12036.6		7991.33	9551.34
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	11732.8	11551.8	10561.5	14325.2	14812.1	15916.8	10490.9		18561.2	17952.2	19392	22131.4
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	65040.1	64070.9	65358.3	47539	41965.2	39913.7	69387.2	72520.3	70874.6	56406	53598.9	45449.2
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	545655	397936	522791	924765	598875	638382	428586	457965	462908	746931	706890	569178
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	6924.57	7693.41	6817.04	9532.45	8135.1	9980.38	9176.91	7609.91	7859	9521.97	7980.82	9791.89
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	37543	27759.9	25959.8	37734.3	38215.5	40957.7	36376.4	33141.9	37919.8	32774.4	29149.5	32095.3
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	8167.15	4458.37	5388.1	8556.95	5844.81	5665.24	6843.48	8304.24	6877.76	3328.9	4000.83	8499.87
A6NED2	A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3420.65	3042.8	2181.02	2031.29	4811.31	3124.08	3451.47			1975.41	804.925	2660.31
A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB	12893.3	5276.29	14854.4	42467.9	38909.6	41570.9	17077.2	15007.3	19361.3	30506	36897.6	10724.1
A6NEL3;P0C5J1;Q8N7N1;Q96G04	P0C5J1;A6NEL3;Q8N7N1;Q96G04	EF2KT_HUMAN;F86B1_HUMAN;F86B2_HUMAN;F86C2_HUMAN	EEF2KMT;FAM86B1;FAM86B2;FAM86C2P	Putative protein FAM86C2P	6054.45	4398	3995.71	5207.47		6343.05	4574.82	2942.93	6195.97		6329.14	4682.31
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	4865.7	3402.17	4192.97	5089.73	8402.3	3625.53	5358.61	4287.83	4721.5	7008.21	6963.33	4426.79
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	7323.66	6399.73	5404.49	4064.44	4843.02	4550.17	8055.88	9590.78	9465.57	4932.6	4255.63	5273.1
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	8313.32	7649.87	8168.05	20885.7	10763.4	7228.85	4390.41	4275.96	6711.66	15515.1	16815.3	15866
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	410910	63710.6	174235	480189	478016	450665	303496		394839	417752	390539	
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	26811	23470.8	24324	26314	20718	23587	32242.1	34450.3	34012	40027.6	43733	22985.9
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4	15401.4	3772.02	3619.49	25069.6	20235.6	17722.2	16251.3	17102.7	16628.5	27504.7	34255.6	35630.9
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	7314.99	13648.8	7312.35	5221.39	3612.37	4764.42	6280.03	5155.14	4443.39	6071.04	7075.93	7640.57
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42	11021.5	12165.5	11757.6	10080.2	8894.41	6562.18	6706.25	7194.44	8189.22	9273.85	10077.8	10957
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	23402	17821.8	15112.1	28163	34961.7	31361.8	19177.2	22307.9	20461.7	35973.8	31531.5	30227.3
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	9829.71	8075.63	8727.78	7883.22	7533.37	7114.39	11154.9	11029.1	12154.6	9737.08	10051.3	9229.2
A6NJQ4	A6NJQ4	F90A8_HUMAN	FAM90A8	Putative protein FAM90A8	2359.21					3767.9	3036.56					3176.54
A6NK58	A6NK58	LIPT2_HUMAN	LIPT2	Putative lipoyltransferase 2, mitochondrial	4110.02	3659.62	4367.11	2692.46	2657.1		3857.68	2462.42	2429.86	2726.38	1997.86	
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	8939.8	9449.45	10344.9	11816.6	10382.6	10996.3	9124.72	9107.4	7911.61	13480.4	14185	17211.6
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	4347.14	14251.8	4332.1	4001.61			6157.8	3805.12	3666.62		5037.98	5175.97
A6NMZ7	A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	30635.7		15597.6	52797.7	32310.1	37089.7		42616.9	44023.9	62729.1	59411.8	32892.3
A6NNE9	A6NNE9	MARHB_HUMAN	MARCHF11	E3 ubiquitin-protein ligase MARCHF11	12926.7	15053	16080.7	8915.36	9131.76		12370.4	10468.3	15887.8	8771.77	8907.36	9407.9
A6PVS8	A6PVS8	LRIQ3_HUMAN	LRRIQ3	Leucine-rich repeat and IQ domain-containing protein 3	16226.2	14135.8	15453.1				14603.8	20071.8	24726.1	10223.1	10439.5	7887.08
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	14404.7	10683.6	11492.9	12331.3	13837.6	11778.2	8189.75	7463.52	8370.61	7784.49	4922.37	6961.07
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	83819.4	47221.1	65614	55972.9	61043.6	54742.3	81139.1	87958.5	78794.7	77383.3	80476.7	91445.5
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	17786.3	16593.5	17213.5	13769	12249.9	13856.7	17747.1	16814.4	17209.5	19143.9	14568.2	16420
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	7806.32	7677.67	8601.65	8889.46		7918.48	7227.42	5670.31	6756.92	5920.8	5102.61	11572.9
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2	3524.49	4684.49	4445.83	3151.37	4437.8	4020.87				741.117		
A8CG34	A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	2818.16	2174.93	3056.38	4303.71		1870.43	4327.11	4754.4	4645.75	2917.13	3097.83	2032.69
A8MPP1;Q96FC9	A8MPP1;Q92771;Q96FC9	D11L8_HUMAN;DDX11_HUMAN	DDX11;DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8			1593.96					2809.76	1564.71		2912.91	1866.28
A8MV81;Q9Y241	Q9Y241;A8MV81	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C	9742.33	8383.38	12195.9	16016.5	6657.86	9060.98	6661.16	5644.98	9658.92	17621.9	52074.7	63201.2
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	3938.56	3411.74	4697	5587.48	6250.9	5900.35	4342.49	3053.24	4197.59	4111.03	4705.17	4554.43
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	181602	128872	96278	343309	356948	375614	123686	150638	101479	385866	380564	323790
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	11202.1	12751.3	13685.6	18922.3	15544.7	17744.8	13913.6	15127.3	14666.5	15719.9	19259.3	13573.5
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	4464.17	6180.62	7045.91	5824.91	3512.17	4435.13	3626.26	3132.21	3763.81	3814.21	2570.51	3692.56
A9Z1Z3	A9Z1Z3	FR1L4_HUMAN	FER1L4	Fer-1-like protein 4	9193.52		8837.36		5002.63		9018.74	7973.33	6713.23	3167.62		
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	10063.5	4889.93	6890.31	8282.87	5768.84	6234.61	6098.87	7874.79	6785.17	9146.91	9696.91	6634.17
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	6882.85	8657.75	7836.43	7702.31		8199.57	7706.6	7176.23	6681.24	6621.99	5632.68	4737.39
B2RUZ4	B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	2288.45	4229.36	2452.42	1524.24	2051.61		1849.71		1205.33	1153.76		3008.41
B7ZAP0	B7ZAP0	RBG10_HUMAN	RABGAP1L	Rab GTPase-activating protein 1-like, isoform 10	6593.44		3269.82	4136.76				4134.98	4330.81	3499.87		2632.32
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	13807.6	14104.5	14078.9	13267.2	7065.03	10340.3	11956.6	12831	10711.5	3335.97	4009.27	5342.53
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3					7041.4		5163.92	4582.51	3857.08			
B9A064	B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	7673.71	4477.34	7069.33	12756.9	47376.3	37688.6	8750.02	9249.81	5673.7			7372.47
C0HLS1	C0HLS1	OSCRI_HUMAN	SCRIB	SCRIB overlapping open reading frame protein				2801.98						4008.89	3687.26	7256.41
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	29108.1	20091.3	14614.8	34918.8	32639.5	36024.3	32203.9	35519.5	31917	33458.6	31102	34084.4
C9J798;O43374	C9J798;O43374	RAS4B_HUMAN;RASL2_HUMAN	RASA4;RASA4B	Ras GTPase-activating protein 4B	938.456	1389.22	1398.68	1316.78			1050.97		1029.29	1263.35	1650.18	
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1054.05		512.537	1930.16	1800.87	3008.82		1408.98	1432.99	1915.43	1112.12	1867.02
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	5598.3	5930.63	6494.04	30126.4	46886	44682	6309.59	7167.56	6517.3	30114.2	28959.5	53414.7
C9JRZ8;O60218	C9JRZ8;O60218	AK1BA_HUMAN;AK1BF_HUMAN	AKR1B10;AKR1B15	Aldo-keto reductase family 1 member B15	28376.8	28526.3	26635.2	4449.3	4915.55	2939.91	25932.4	24410	20646.1	1634.69	2984.35	7897.72
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	SERPIN	SERPIN		933949	632717	731979	605031	910507	919792	686215	761701	769532	128219	113636	222072
CONT|A2I7N0|SPA34_BOVIN	CONT|A2I7N0|SPA34_BOVIN;CONT|A2I7N1|SPA35_BOVIN	Serpin	Serpin		399368	315298	337894	253520	359507	437219	306465	310389	276001	75746.8	83600.8	130066
CONT|A2I7N1|SPA35_BOVIN	CONT|A2I7N1|SPA35_BOVIN	Serpin	Serpin		6615.89	8706.87	8953.94	4576.16	6628.23	12278.4	5919.54	6059.28	7595.13	1684.18	1735.65	2937.73
CONT|A2I7N3|SPA37_BOVIN	CONT|A2I7N3|SPA37_BOVIN	Serpin	Serpin		94130.6	106611	105055	57940.4	60087.3	71254.3	96797.3	71466.9	75675.6	11374	11067.5	25141.5
CONT|A5PJ69|A5PJ69_BOVIN	CONT|A5PJ69|A5PJ69_BOVIN	SERPINA10	SERPINA10		28619.2	21149	27166.9	21793.8	25175.1	30742.8	23504.4	24332.9	23973.5	6445.75	8630.96	14891.8
CONT|E1BCW0|E1BCW0_BOVIN	CONT|E1BCW0|E1BCW0_BOVIN	HGF	HGF		5013.21	6414.72	6609.87	8911.22	28708.4	27667.2	7654.63	6501.69	4952.43	4052.13	4982.13	7405.17
CONT|E1BF81|CBG_BOVIN	CONT|E1BF81|CBG_BOVIN	Corticosteroid-binding	Corticosteroid-binding		31580.5	24286.7	27163.3	24884.6	51445.1	46249.6	24671.5	27495	27439.8	11615.3	10120.6	15091
CONT|E1BJK2|E1BJK2_BOVIN	CONT|E1BJK2|E1BJK2_BOVIN	Tubulin	Tubulin		58485.6	69603.8	73030.7	25468.7	23581.3	22036.2	57954	54600.1	51873.5	7749.4	7340.73	13882.9
CONT|F6R4P6|F6R4P6_BOVIN	CONT|F6R4P6|F6R4P6_BOVIN	Serpin	Serpin		197009	145226	172067	146094	239646	250936	148326	159787	168054	57979	63559.2	114759
CONT|G3MYZ3|AFAM_BOVIN	CONT|G3MYZ3|AFAM_BOVIN	Afamin	Afamin		8643.31	10030.8	13199.7	39135.1	117920	117893	7336.47	10218.6	9461.51	9958.3	14740.6	23937.2
CONT|P00735|THRB_BOVIN	CONT|P00735|THRB_BOVIN	Prothrombin	Prothrombin		249898	277686	277485	203201	213764	230673	288859	281599	225811	61392.4	92274	197369
CONT|P00760|TRY1_BOVIN	CONT|P00760|TRY1_BOVIN	Cationic	Cationic		1.74586e+06	857736	1.17085e+06	3.80776e+06	4.01329e+06	4.43753e+06	1.1601e+06	1.08271e+06	1.17503e+06	2.64228e+06	2.44392e+06	3.58153e+06
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		624209	636077	725838	743447	1.87673e+06	1.8892e+06	379893	407146	356449	362683	555534	599525
CONT|P00978|AMBP_BOVIN	CONT|P00978|AMBP_BOVIN	Protein	Protein		65294.8	72416.2	65393.9	98214.6	240053	268441	66527.8	58167.1	56529.1	31761	33098.9	66405.5
CONT|P01017|ANGT_BOVIN	CONT|P01017|ANGT_BOVIN;CONT|Q3SZH5|Q3SZH5_BOVIN	Angiotensinogen	Angiotensinogen		253633	201288	245245	117307	170504	178782	339400	230670	225206	26556	27948.7	55564.9
CONT|P01030|CO4_BOVIN	CONT|P01030|CO4_BOVIN	Complement	Complement		135692	99746.4	114205	113799	168657	175773	112056	96692.5	100164	45688.6	43433	74878.3
