Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9612	0.999	1	6	6	6	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	4640987.5	0	0	1.30E+07	0	0	0	0	0	0	0	0	0	1.69E+07	0	0	0	0	1.75E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative regulator of P-body association	0.995	0.999	2	24	24	24	1	0	0	1	0	2	1	1	1	1	1	2	1	1	1	0	2	2	1	1	1	1	1	1	1	0	0	1	0	2	1	1	1	1	1	2	1	1	1	0	2	2	1	1	1	1	1	1	1	0	0	1	0	2	1	1	1	1	1	2	1	1	1	0	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein MMP24	0.9613	0.999	1	28	28	28	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1.55E+07	1.31E+07	1.97E+07	2.54E+07	1.56E+07	1.54E+07	1.87E+07	2.34E+07	2.43E+07	2.10E+07	2.24E+07	1.61E+07	1.96E+07	1.27E+07	2.82E+07	1.62E+07	1.51E+07	2.59E+07	2.23E+07	2.22E+07	2.19E+07	2.19E+07	2.02E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1	0.999	37	488	488	488	24	23	18	20	23	22	24	25	18	21	22	22	18	24	17	16	20	26	17	17	18	16	16	21	24	23	18	20	23	22	24	25	18	21	22	22	18	24	17	16	20	26	17	17	18	16	16	21	24	23	18	20	23	22	24	25	18	21	22	22	18	24	17	16	20	26	17	17	18	16	16	21	8.45E+08	6.85E+08	5.08E+08	5.97E+08	5.12E+08	6.40E+08	7.54E+08	5.65E+08	4.61E+08	6.20E+08	7.03E+08	6.11E+08	5.80E+08	4.83E+08	4.86E+08	5.15E+08	6.34E+08	5.11E+08	3.18E+08	4.99E+08	3.53E+08	4.57E+08	3.30E+08	4.38E+08	9.83E+07	1.04E+08	8.90E+07	9.28E+07	9.36E+07	1.02E+08	9.96E+07	8.51E+07	9.38E+07	8.88E+07	9.82E+07	9.14E+07	8.19E+07	7.47E+07	7.48E+07	7.16E+07	8.28E+07	7.88E+07	6.58E+07	7.70E+07	7.05E+07	7.71E+07	8.20E+07	7.67E+07	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1	0.999	28	428	428	428	20	21	22	16	13	19	20	15	18	24	16	16	14	14	21	18	17	13	18	19	19	20	15	20	20	21	22	16	13	19	20	15	18	24	16	16	14	14	21	18	17	13	18	19	19	20	15	20	20	21	22	16	13	19	20	15	18	24	16	16	14	14	21	18	17	13	18	19	19	20	15	20	5.74E+08	5.70E+08	5.80E+08	3.16E+08	4.08E+08	4.01E+08	3.70E+08	4.64E+08	3.87E+08	5.90E+08	5.32E+08	5.22E+08	3.74E+08	2.83E+08	5.08E+08	4.57E+08	3.63E+08	4.56E+08	4.65E+08	5.60E+08	3.95E+08	3.85E+08	5.32E+08	5.58E+08	1.03E+08	1.16E+08	1.29E+08	9.05E+07	1.01E+08	8.55E+07	9.08E+07	8.56E+07	9.14E+07	9.76E+07	1.02E+08	1.02E+08	9.70E+07	8.23E+07	1.13E+08	1.07E+08	9.26E+07	9.94E+07	8.71E+07	1.03E+08	8.43E+07	8.79E+07	9.04E+07	1.10E+08	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9613	0.999	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1	0.999	13	77	77	77	1	2	3	4	1	3	5	0	4	5	4	3	3	3	1	5	5	3	2	3	6	3	2	6	1	2	3	4	1	3	5	0	4	5	4	3	3	3	1	5	5	3	2	3	6	3	2	6	1	2	3	4	1	3	5	0	4	5	4	3	3	3	1	5	5	3	2	3	6	3	2	6	2.23E+07	9011117	2.40E+07	5123776	0	3605161.2	2.32E+07	0	0	3.11E+07	0	1.67E+07	9889723	2.48E+07	0	1.14E+07	3.89E+07	1.22E+07	2.88E+07	7135943.5	3.62E+07	2.42E+07	1.43E+07	1.23E+07	0	8665854	0	0	0	0	0	0	0	2.12E+07	0	0	0	1.57E+07	0	0	1.67E+07	0	1.62E+07	0	1.48E+07	1.69E+07	0	0	
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GTPase-activating protein 10	0.961	0.999	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0.9613	0.999	1	14	14	14	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1.52E+07	1.29E+07	0	1.27E+07	0	1.57E+07	0	0	0	0	0	0	1.82E+07	0	0	0	0	0	1.24E+07	1.54E+07	0	0	0	8880744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein MEX3A	0.9613	0.999	1	20	0	20	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1.01E+07	9468571	9832012	0	0	8103051.5	1.07E+07	1.45E+07	1.22E+07	1.16E+07	1.00E+07	0	1.28E+07	1.19E+07	1.24E+07	1.25E+07	1.22E+07	1.12E+07	1.30E+07	1.08E+07	1.32E+07	9639999	1.28E+07	1.06E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"sp|Q5U5Q3|MEX3C_HUMAN, sp|Q6ZN04|MEX3B_HUMAN, sp|Q86XN8|MEX3D_HUMAN"
