Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_1 Spectral Count	female_2 Spectral Count	female_3 Spectral Count	male_1 Spectral Count	male_2 Spectral Count	male_3 Spectral Count	female_1 Unique Spectral Count	female_2 Unique Spectral Count	female_3 Unique Spectral Count	male_1 Unique Spectral Count	male_2 Unique Spectral Count	male_3 Unique Spectral Count	female_1 Total Spectral Count	female_2 Total Spectral Count	female_3 Total Spectral Count	male_1 Total Spectral Count	male_2 Total Spectral Count	male_3 Total Spectral Count	female_1 Intensity	female_2 Intensity	female_3 Intensity	male_1 Intensity	male_2 Intensity	male_3 Intensity	female_1 MaxLFQ Intensity	female_2 MaxLFQ Intensity	female_3 MaxLFQ Intensity	male_1 MaxLFQ Intensity	male_2 MaxLFQ Intensity	male_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9752	0.999	1	5	5	5	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.996	0.999	7	43	3	52	5	4	8	12	7	7	0	0	1	1	1	0	6	5	11	14	8	8	1.16867059E9	1.22733632E9	1.34597555E9	5.8254387E8	1.70708838E9	1.82017075E9	6.5525645E8	8.2967571E8	6.4226099E8	8.3533715E8	7.9386765E8	7.8460531E8	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	5	13	13	13	2	3	0	2	3	3	2	3	0	2	3	3	2	3	0	2	3	3	0.0	2.1222116E7	0.0	5.7229224E7	6.5541408E7	0.0	0.0	0.0	0.0	3.697018E7	7.6668424E7	0.0	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.9999	0.9985	2	3	1	3	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	0.9752	0.999	1	5	5	5	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	6484452.5	3787281.2	0.0	6385165.0	5287628.5	6136267.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retrotransposon Gag-like protein 8C	1.0	0.999	4	15	2	15	2	2	2	4	4	1	0	0	0	1	1	0	2	2	2	4	4	1	4.5186332E7	4.9120048E7	5.1424716E7	7.7176824E7	7.3914376E7	5.3379008E7	2.6001752E7	2.949568E7	2.8207108E7	3.5181748E7	3.2779106E7	3.208185E7	
sp|A7MBM2|DISP2_HUMAN	A7MBM2	DISP2_HUMAN	DISP2	1401	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Protein dispatched homolog 2	0.9752	0.999	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	1.0	0.999	6	14	0	14	4	1	2	1	2	4	0	0	0	0	0	0	4	1	2	1	2	4	2.3699456E7	0.0	0.0	1.3854575E7	0.0	2.5805236E7	1.1944362E7	0.0	0.0	0.0	0.0	2.0925954E7	sp|Q96HA1|P121A_HUMAN
sp|A8MTT3|CEBOS_HUMAN	A8MTT3	CEBOS_HUMAN	CEBPZOS	80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CEBPZ	0.9192	0.9911	2	4	4	4	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0.0	1.1392336E7	1.1714937E7	0.0	0.0	1.1411896E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MVW0|F1712_HUMAN	A8MVW0	F1712_HUMAN	FAM171A2	826	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM171A2	0.8259	0.9918	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	3	22	0	22	3	5	4	1	5	4	0	0	0	0	0	0	3	5	4	1	5	4	3.41404416E8	2.97745376E8	3.81093344E8	2.11206336E8	3.4044448E8	3.78262304E8	1.97146064E8	3.54068192E8	2.43176096E8	1.40581856E8	2.1298016E8	2.73499072E8	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	1.0	0.999	6	14	14	14	0	2	2	4	2	4	0	2	2	4	2	4	0	2	2	4	2	4	1.4469882E7	2.1783638E7	2.0805518E7	1.6428982E7	2.3507838E7	3.991158E7	0.0	0.0	1.3161538E7	0.0	0.0	2.4716714E7	
sp|B0YJ81|HACD1_HUMAN	B0YJ81	HACD1_HUMAN	HACD1	288	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	0.9943	0.999	2	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B2RUZ4|SMIM1_HUMAN	B2RUZ4	SMIM1_HUMAN	SMIM1	78	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small integral membrane protein 1	0.9752	0.999	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	1.0475957E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi pH regulator A	1.0	0.999	2	6	0	6	1	1	0	3	1	0	0	0	0	0	0	0	1	1	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0CG08|GPHRB_HUMAN
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative WAS protein family homolog 3	1.0	0.999	11	27	0	27	2	2	5	7	5	6	0	0	0	0	0	0	2	2	5	7	5	6	1.9274228E7	2.1811644E7	2.3090778E7	1.8253784E7	4.6084392E7	3.31821E7	1.0479091E7	1.3734039E7	1.262974E7	1.4091486E7	1.5302415E7	1.1184079E7	sp|Q6VEQ5|WASH2_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0	0.999	5	29	29	29	3	5	4	4	7	6	3	5	4	4	7	6	3	5	4	4	7	6	6.2345464E7	7.8102376E7	2.4393642E7	8.379376E7	1.5210312E8	1.24847888E8	3.6957216E7	4.6141104E7	0.0	4.3106396E7	4.4976572E7	3.2129956E7	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	6	41	1	41	5	8	5	8	7	8	0	0	0	0	0	1	5	8	5	8	7	8	4.96087232E8	4.015184E8	5.5572787E8	6.3890099E8	5.6103533E8	3.80326752E8	1.44926208E8	1.45573872E8	1.57904656E8	1.79123216E8	1.58151408E8	1.33917568E8	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1.0	0.999	3	9	9	9	1	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	3	4.5110384E7	1.6370664E7	3.8444824E7	3.1735436E7	3.0037696E7	3.0326582E7	2.8021406E7	0.0	2.482728E7	2.0885062E7	1.849418E7	1.8180844E7	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	1.0	0.999	6	28	28	28	6	5	3	5	4	5	6	5	3	5	4	5	6	5	3	5	4	5	3.36692672E8	3.17075392E8	3.79621216E8	2.99763072E8	2.88448512E8	2.54655392E8	9.3185416E7	8.9572344E7	1.04227144E8	8.3754096E7	8.1131296E7	7.4319168E7	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	0.9752	0.999	1	3	3	3	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	8214501.0	0.0	0.0	6693382.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIEF1 upstream open reading frame protein	0.9056	0.9934	2	4	4	4	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1.1502538E7	0.0	0.0	0.0	0.0	1.7270636E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0	0.999	6	33	33	33	6	5	6	4	6	6	6	5	6	4	6	6	6	5	6	4	6	6	7.148649E8	7.7316115E8	8.9569427E8	9.960192E8	8.6986157E8	6.6943424E8	2.71966016E8	3.06448224E8	3.11816096E8	3.46058016E8	3.07844032E8	2.24458256E8	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	10	38	38	38	7	6	5	6	5	9	7	6	5	6	5	9	7	6	5	6	5	9	7.6939072E7	5.1061752E7	6.2043944E7	7.6991632E7	7.4152784E7	1.1460924E8	4.9931972E7	5.0950436E7	4.2952124E7	5.3511368E7	5.3173416E7	7.0927552E7	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.999	13	32	31	32	3	4	4	8	7	6	3	4	4	7	7	6	3	4	4	8	7	6	1.754621E7	1.1901032E7	2.9537588E7	3.5194032E7	2.7448498E7	4.5362016E7	1.3364397E7	1.0335216E7	1.1448436E7	1.1689501E7	1.1787889E7	9386125.0	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	1.0	0.999	8	28	28	28	4	4	7	4	5	4	4	4	7	4	5	4	4	4	7	4	5	4	5.7356904E7	6.2725164E7	4.5573492E7	7.7090696E7	5.3288184E7	5.585592E7	3.4618144E7	3.7279532E7	3.4718592E7	3.205865E7	3.0567484E7	3.7028192E7	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0	0.999	20	119	119	119	21	24	22	18	18	16	21	24	22	18	18	16	21	24	22	18	18	16	2.49924659E9	3.07373184E9	3.12700442E9	2.43567667E9	2.5503575E9	2.38637952E9	3.68940992E8	3.89971872E8	4.0427424E8	3.8257024E8	4.07597056E8	3.64625984E8	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	12	42	38	42	4	6	4	9	11	8	4	6	4	8	8	8	4	6	4	9	11	8	2.635476E8	2.8576864E8	3.11659904E8	3.60512608E8	4.17763776E8	4.84726848E8	1.24285184E8	1.3416056E8	1.30997496E8	1.49253088E8	1.5431376E8	1.67880688E8	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	57	304	302	304	49	48	51	43	49	64	49	48	50	43	49	63	49	48	51	43	49	64	6.1329239E9	5.9421911E9	5.6730025E9	5.0792453E9	4.6332083E9	6.4752957E9	7.4037594E8	6.4868659E8	6.232567E8	5.4636493E8	5.8216883E8	6.701241E8	
