Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-2-2023_Slot1-13_2475.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2477.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2478.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2479.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2480.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2481.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2482.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2483.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2484.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2485.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2486.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-4-2023_Slot1-14_2487.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2456.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2457.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2488.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2489.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2491.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2492.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2493.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-10_2462.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2463.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2464.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2465.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2466.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2467.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-2-2023_Slot1-11_2468.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2469.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2470.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2471.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2472.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2473.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2474.d
A0A087WZ12	Q8IY67;A0A087WZ12	A0A087WZ12_HUMAN	MBD3	Methyl-CpG binding domain protein 3 (Fragment)	6192.35	7529.53	5045.84		5621.65	6092.52	8234.54	8523.27	8851.94	8944.03	9346.36	8914.74	9089.5		8775.31	9486.97	8538.26	8780.36	8382.09			4595.97	13707	10525.1	5520.85	5050.7	5465.2	5197.03	8617.14	8068.52	5995.52	5231.94
A0A087WZE9;A0A994J3W4	A0A087WZE9;A0A994J3W4	A0A087WZE9_HUMAN;A0A994J3W4_HUMAN	HMGN3	High mobility group nucleosomal binding domain 3	5830.38	4664.78	4867.56		4124.17	3295.26	4387.6	4916.23	4592.42	4706.43	4947.66	5871.61	4293.67		5242.5	5245.24	4109.55	4974.22	4484.05							8677.55	4439.66	5153.29			3940.3	4545.45
A0A087X1S1	A0A087X1S1	A0A087X1S1_HUMAN	MTRF1	Mitochondrial translation release factor 1	4429.31	7163.92	6139.68		7216.6	6549.67	6227.82	5584.1	5664.67	4083.45	6793.62	6552.48	6513.42		7364.99	7853.74	5769.92	7613.12	7344.59				5256.24					5975.61		6511.48	6625.48	7795.93
A0A087X2C4;A0A8Q3SI47;A0A8Q3SI70;A0A8Q3SI92;A0A8V8TM73	A0A087X2C4;A0A8Q3SI47;A0A8Q3SI70;A0A8Q3SI92;A0A8V8TM73	A0A087X2C4_HUMAN;A0A8Q3SI47_HUMAN;A0A8Q3SI70_HUMAN;A0A8Q3SI92_HUMAN;A0A8V8TM73_HUMAN	PCDH7	Protocadherin 7	850.392						262.278	645.457	640.387	538.053	651.671		693.261		493.663	859.871	556.129	717.538	739.699								721.546					
A0A087X2H0	P62333;A0A087X2H0;H0YJB8;H0YJS6	A0A087X2H0_HUMAN	BARD1	BRCA1 associated RING domain 1	31138.2	27515.4	28708.6		25473.7	27403.8	28539.9	29254.5	30012.2	29772	30517.4	29916.8	33261.9		31700.4	30593.3	30359	30684.8	31320.1		23259.7	35025	27361.1	26364.4	22648.2	33147.3	31515.2	26916.9	30625	27518.2	28409	27290.9
A0A087X2H9	Q9UK45;A0A087X2H9	A0A087X2H9_HUMAN	WDR13	WD repeat domain 13	22292.8	21698.9	22310.5		15739.7	20912.3	20741.3	21789.4	19298.8	19670.3	22551.6	20062.5	19589.9		20314.5	19142.1	19464.1	20298.4	20017		13904.2		15475.1	18568.6	18169.6		19466.7	18800.6	12202.8	20265.4	16383.4	18952.1
A0A088AWP5	P28715;A0A088AWP5;A0A1W2PS85;A0A494C0S0;R4GMW8	A0A088AWP5_HUMAN	PRUNE2	Prune homolog 2 with BCH domain	2472.24	1803.76	1397.69		2042.54	1286.93	1406.11	1576.69	1781.6	1426.92	1509.03	1724.49	1365.93		1501.98	1808.03	1338.64	1720.05	1354.8									2908.41			1818.07	2559.11
A0A096LNZ0;A0A096LP25	Q6ZSR9;A0A096LNZ0;A0A096LP25	A0A096LNZ0_HUMAN;A0A096LP25_HUMAN	AAK1	AP2 associated kinase 1 (Fragment)	5926.44	2804.14	4510.08		2858.52	2961.85	3204.28	3925.18	3925.13	3783.08	3588.26	4776.33	3063.26		3187.83	3457.31	3286.82	3405.85	3110.87			10136						7804.84	4453.9		5932.23	
A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07_HUMAN;A0A096LPJ3_HUMAN;A8K070_HUMAN	GPS1	G protein pathway suppressor 1			4810.13		2867.07	2896.07	2048.92	3063.02	2943.56	2783.83	2293.06	2502.52	2430.26		2639.62	2759.32	2608.63	2537.69	2292.62													
A0A0A0MR08;A0A8I5KXK1	A0A0A0MR08;A0A8I5KXK1	A0A0A0MR08_HUMAN;A0A8I5KXK1_HUMAN	USP19	Ubiquitin specific peptidase 19	910.964	2490.21	845.47		2668.77	1609.8	1048.55	769.666	1040.09	1026.45	1074.72	1337.48	1227.06		1075.56	1732.38	1119.91	1213.11	1234.06						2234.28						1259.72	
A0A0A0MRG2	P26439;A0A0A0MRG2;A0A0S2Z3T4;H0YN10;H0YKV0;H0YLC3;H7C4G6	A0A0A0MRG2_HUMAN	APP	Amyloid-beta A4 protein	16894.2	18919.3	17980.8		17089.8	19687.3	17583.9	20238.4	17756.3	19626.5	18990.4	19141.9	20326		18068.9	17428.4	17408.8	17009.5	16936.6		22615	23446.2	14853.9	19797.3	16608.3	25058	18018	27065	19221.2	19597.3	21113.4	19642.8
A0A0A0MRM9	A0A0A0MRM9	A0A0A0MRM9_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	8960.62		3189.24			2713.01	7205.4	6534.18	8552.35	6909.26	7062.99	8527.49	6680.26		6693	5998.18	6285.67	5936.5	5630.74			6067.78								3287.61		
A0A0A0MS29;E9PQX8;H7C433	A0A0A0MS29;H7C433;E9PQX8	A0A0A0MS29_HUMAN;E9PQX8_HUMAN;H7C433_HUMAN	MFF	Mitochondrial fission factor	5719.81	5896.9	4864.65		5194.49	3936.5	6678.86	7115.62	5998.01	5953.26	5632.06	5970.31	5858.72		7552.27	7175.5	7384.01	8100.64	7476.42		5610.73	6480.96	6133.57	6147.78	2635.63	3586.17	6774.29	5792.87	5241.21	4508.94	3962.88	5585.23
A0A0A0MSJ1	Q96P44;E7EU07;A0A0A0MSJ1;F5GWN9;H0YGC7	A0A0A0MSJ1_HUMAN	NOL8	Nucleolar protein 8 (Fragment)		8527.5				6367.76	5592.09	5966.71	5738.03	5383.4	5060.39	5017.21	4749.69		4773.63	4303.02	4383.12	4388.9	4207.03				11413.1									7459.89
A0A0A0MST8;E9PFN4	A0A0A0MST8;E9PFN4	A0A0A0MST8_HUMAN;E9PFN4_HUMAN	SLC4A7	Anion exchange protein	3261.17	1737.99	1758.34		1395.82		2020.72	1691.72	2100.45	1780.02	1859.31	1836.29	2210.28		2024.17	1908.1	1826.31	2448.54	1691.68											2540.46	2004.67	
A0A0A0MTC1;A0A0A0MTR7	A0A0A0MTC1;A0A0A0MTR7	A0A0A0MTC1_HUMAN;A0A0A0MTR7_HUMAN	RNF213	Ring finger protein 213						2284.11		1399.69	1290.31		1104.25	1321.63	1153.54		1417.1	1131.46	1194	1424.03	1495.05										2915.51			
A0A0A0MTQ5;G3V556	A0A0A0MTQ5;G3V556	A0A0A0MTQ5_HUMAN;G3V556_HUMAN	ATP5MJ	ATP synthase membrane subunit j	15211.8	10583.5	11433.7		9265.83	8214.57	13108.4	14070.6	12803	14423.9	13215.3	14709	15997.4		12533.7	12072.7	13947.5	12244.7	13090.8		11254.9	22911.8	12022.1	12408.8	6324.28			10289.6	7465	11454.9	15763.2	
A0A0A6YYJ5	O94844;A0A0A6YYJ5	A0A0A6YYJ5_HUMAN	MACF1	Microtubule actin crosslinking factor 1 (Fragment)	2079.23						1156.59	944.754	988.459		1173.1	874.868	726.98		1041.67	972.554	994.743	773.325	799.125										1809.81			
A0A0B4J1V8	Q9NQ55;A0A0B4J1V8;A0A0A6YYI3;A8MV24;H7C446	A0A0B4J1V8_HUMAN	PPAN-P2RY11	HCG2039996	5703.28	7043.71	5996.93		5222.26	7298.04	6990.06	6394.84	6759.23	5887.75	6125.24	6426.19	6190.76		5965.26	6042.87	6252.3	6054.06	5902.73			10116.1						9670.4	9826.38	4280.24	6995.08	5969.74
A0A0B4J2A2;P0DPF7	A0A0B4J2A2;P0DPF7;A0A096LP12;A0A2R8Y6K9;A0A2R8YDR7;F2Z2Q0;H7C1F6;H7C2G3	PAL4C_HUMAN;TVB63_HUMAN	PPIAL4C;TRBV6-3	Peptidyl-prolyl cis-trans isomerase A-like 4C	23584.3	24511.9	23388.9		20472.1	22350.4	22066.8	23644.2	22838	23967.5	23377.2	21734.2	20860.3		21664.1	20906.9	20501.3	20622	19946.4		21045.8	27997.6	32400.7	29037.1	15859.6	23014.5	29225.3	25999.7	24002	20692.7	22822.4	23323.9
A0A0B4J2C2	P13693;Q9HAU6;A0A0B4J2C2;E9PJF6;J3KPG1;Q5W0G0	A0A0B4J2C2_HUMAN	DLGAP4	DLG associated protein 4	18147.4	14190.1	10282.9		8681.01	9245.44	17995.2	16702.5	19080.2	16595.9	23435.9	18108.2	26996.1		19566.2	20423.1	18792.4	18940.1	18246.9			23058.8	18841.7	23508.7	18180.4	12898.5	18584.7	18250.9	10321.4	12936.1	14771.3	20235.8
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1135.56		1443.44		3314.03	2890.48	3265.16	2653.25	3218.6	2981.23	2751.38	3004.04	3021.51		3532.83	3700.13	3772.9	3617.58	3326.42								4405.21		2571.31	1760.52		3442.21
A0A0C4DG68	A0A0C4DG68	A0A0C4DG68_HUMAN	PUM2	Pumilio RNA binding family member 2 (Fragment)	678.655						438.616			301.056	227.931	340.888	333.197		339.012	362.452	372.783	461.783	572.027													
A0A0C4DGB5;A0A6Q8PH20;D6RBR1;D6RGF7;E7EN75;E9PSG1;F8W7E0;H0Y944;H0YA91	A0A0C4DGB5;A0A6Q8PH20;F8W7E0;H0Y944;H0YA91;A0A6Q8PG40;D6RBR1;D6RGF7;E7EN75;E9PSG1	A0A0C4DGB5_HUMAN;A0A6Q8PH20_HUMAN;D6RBR1_HUMAN;D6RGF7_HUMAN;E7EN75_HUMAN;E9PSG1_HUMAN;F8W7E0_HUMAN;H0Y944_HUMAN;H0YA91_HUMAN	CAST	Calpastatin	37490.7	38002.1	38228.6		32942.3	39578.8	43811.3	45479.5	45012.2	45762.4	46638.7	44322.9	50258.7		49317.1	49485.4	48312	47449.4	44090.2			38689.5	44125.1	42865.9	40070.9	44512.2	32970.3	33338.4	32086.1	37517.2	41947.4	38043.8
A0A0C4DH18;F5GYV5;F8WCT1	A0A0C4DH18;F5GYV5;F8WCT1	A0A0C4DH18_HUMAN;F5GYV5_HUMAN;F8WCT1_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4		5797.01	4722.17		4989.18	6175.47	5303.36	5298.29	5664.64	5445.27	5270.88	6215.04	5152.82		5458.25	6060.03	5714	6139.68	5372.87			7737.82	5664.27				5417.21	3989.52	3222.06	5260.34		
A0A0C4DH89;H0YIM4	A0A0C4DH89;H0YIM4	A0A0C4DH89_HUMAN;H0YIM4_HUMAN	RNASEK	Ribonuclease K	3822.16	2824.56	4146.11				2999.63	2463.69	2104.5	2764.47	2699.63	2184.99	2448.05		2429.69	2391.18	2444.33	2904.58	2528.92													3727.52
A0A0D9SGE8	Q13797;A0A0D9SF12;A0A0D9SGE8;A0A0D9SFF4;A0A994J4G3;A0A994J6W1;A0A994J7A5	A0A0D9SGE8_HUMAN	PHF6	PHD finger protein 6	46082.1	44743.7	44855.8		44976.6	47121.7	45623.8	46568.1	46704.7	47261.5	46246.7	46805	49441.5		46173.9	46476	47121.2	46733.6	47715.4		41782	47856.6	41262.3	42714.6	43987.6	47347	44582.3	43164.5	43857.6	42270.2	43750.2	44106.2
A0A0G2JJB9	O95870;A0A0G2JJB9	A0A0G2JJB9_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1 (Fragment)					2126.08	2524.9	2438.25	2392.28	2436.66	2957.91	2493.13	2592.96	2097.92		2672.52	2242.33	2705.17	2201.6	2288.7										3262.47		6075.34	
A0A0G2JNH2;A0A7I2V5U5;G5E9E7	G5E9E7;A0A0G2JNH2;A0A7I2V5U5	A0A0G2JNH2_HUMAN;A0A7I2V5U5_HUMAN;G5E9E7_HUMAN	TJP1	Tight junction protein ZO-1												1449.66	833.046		652.605	1250.92	1368.62	1218.8	1306.3													
A0A0G2JRU0	Q12824;G5E975;C9JT96;A0A0G2JRU0;A0A0G2JSE9;A0A2R8Y5N4;A0A2R8YDN5;B5MCJ9	A0A0G2JRU0_HUMAN	NSF	Vesicle-fusing ATPase (Fragment)	2218.04						3070.17	2853.99	3587.29	2510.66	2841.58	3483.62	2815.4		3554.91	2747.99	3171.96	3146.13	3041.6											4537.16		
A0A0G2JRX2	Q02045;A0A0G2JRX2;C9JM78;C9JQ90;C9K0G7;E9PCG9;H7C2W1	A0A0G2JRX2_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1 (Fragment)							1107.2		950.745	1471.06		823.722	711.686		1118.88	1118.3	1233.5	1187.04	1167.36													
A0A0J9YVP6;A0A0J9YVR6;A0A0J9YYL3;E9PMU7;E9PN18;E9PQ56	A0A0J9YVP6;A0A0J9YYL3;E9PQ56;A0A0J9YVR6;E9PMU7;E9PN18	A0A0J9YVP6_HUMAN;A0A0J9YVR6_HUMAN;A0A0J9YYL3_HUMAN;E9PMU7_HUMAN;E9PN18_HUMAN;E9PQ56_HUMAN	PUF60	Poly(U)-binding-splicing factor PUF60 (Fragment)															206.982	472.579	442.459	512.718	293.15													
A0A0S2Z377;E5RK69	A0A0S2Z377;E5RK69	A0A0S2Z377_HUMAN;E5RK69_HUMAN	ANXA6	Annexin (Fragment)	3679.08	4809.39	3350.4		4325.24	2722.21	4722.18	5788.84	6143.65	5554.67	4975.45	5206.07	5378.97		6239.07	6168.02	5911.09	6018.67	6702.55								2310.67	6209.24	4249.77	2317.5	3395.02	2555.87
A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7_HUMAN;A0A8I5KT99_HUMAN;A0A8I5KV92_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	2993.47	4458.28	3533.09		6282.62	4498.12	3563.44	4857.03	3993.88	3969.56	3974.06	3589.99	4403.65		4212.05	4550.61	4962.22	4684.28	4489.61		8473.5			7700.01	4868.51		4275.93	3377.56	2993.73	7398.72		3105.63
