Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Intensity	Indistinguishable Proteins
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	29.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1	0.999	6	14	14	14	7	3	3	0	1	0	7	3	3	0	1	0	7	3	3	0	1	0	81513.055	14503.209	28973.125	0	36254.902	8378.576	81513.055	14503.209	28973.125	0	36254.902	8378.576	81513.055	14503.209	28973.125	0	36254.902	8378.576	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	8.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1	0.999	6	10	10	10	8	0	2	0	0	0	8	0	2	0	0	0	8	0	2	0	0	0	42401.85	0	12637.902	0	5957.0527	0	42401.85	0	12637.902	0	5957.0527	0	42401.85	0	12637.902	0	5957.0527	0	
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	7.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin nucleation-promoting factor WASL	1	0.9987	4	8	8	8	7	0	1	0	0	0	7	0	1	0	0	0	7	0	1	0	0	0	18152.186	2547.5923	8507.172	0	6726.0044	0	18152.186	2547.5923	8507.172	0	6726.0044	0	18152.186	2547.5923	8507.172	0	6726.0044	0	
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	5.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1	1	0.999	2	3	3	3	1	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	15479.324	0	7898.5337	0	5182.958	0	15479.324	0	7898.5337	0	5182.958	0	15479.324	0	7898.5337	0	5182.958	0	
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	11.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-4	1	0.999	6	10	4	10	8	0	2	0	0	0	3	0	1	0	0	0	8	0	2	0	0	0	56128.83	9510.578	18154.62	0	27866.629	0	16802.941	4043.0469	7383.6616	0	11833.909	0	56128.83	9510.578	18154.62	0	27866.629	0	
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	15.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntenin-1	1	0.999	3	8	8	8	5	0	3	0	0	0	5	0	3	0	0	0	5	0	3	0	0	0	50757.27	4481.1123	13005.701	0	0	0	50757.27	4481.1123	13005.701	0	0	0	50757.27	4481.1123	13005.701	0	0	0	
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	3.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein MPP10	1	0.9986	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	14191.107	0	0	0	0	0	14191.107	0	0	0	0	0	14191.107	0	0	0	0	0	
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-3	1	0.999	5	3	3	9	2	0	1	0	0	0	2	0	1	0	0	0	7	0	2	0	0	0	40673.26	3167.198	15674.9375	0	0	0	40673.26	3167.198	15674.9375	0	0	0	79999.14	8634.729	26445.896	0	16032.721	0	
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	8.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 catalytic subunit	1	0.9987	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	18110.71	0	0	0	0	0	18110.71	0	0	0	0	0	18110.71	0	0	0	0	0	
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	1.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	AT-rich interactive domain-containing protein 1A	1	0.999	3	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	33174.816	0	5885.6973	0	0	0	33174.816	0	5885.6973	0	0	0	33174.816	0	5885.6973	0	0	0	
sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	226	14.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 9	1	0.999	3	3	3	3	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	124387.86	18456.352	44634.938	0	0	7396.943	124387.86	18456.352	44634.938	0	0	7396.943	124387.86	18456.352	44634.938	0	0	7396.943	
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	30.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin domain-containing protein UBFD1	1	0.999	6	14	14	14	7	3	2	0	2	0	7	3	2	0	2	0	7	3	2	0	2	0	84029.336	22677.59	33358.113	0	8271.689	0	84029.336	22677.59	33358.113	0	8271.689	0	84029.336	22677.59	33358.113	0	8271.689	0	
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	18.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit epsilon	1	0.999	4	13	13	13	5	1	3	0	4	0	5	1	3	0	4	0	5	1	3	0	4	0	24862.553	5125.7607	8400.687	0	6233.119	3506.7651	24862.553	5125.7607	8400.687	0	6233.119	3506.7651	24862.553	5125.7607	8400.687	0	6233.119	3506.7651	
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	5.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit delta-1	1	0.999	6	10	10	10	7	1	1	0	1	0	7	1	1	0	1	0	7	1	1	0	1	0	87474.65	8348.859	12118.483	0	7710.431	0	87474.65	8348.859	12118.483	0	7710.431	0	87474.65	8348.859	12118.483	0	7710.431	0	
sp|O14618|CCS_HUMAN	O14618	CCS_HUMAN	CCS	274	10.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper chaperone for superoxide dismutase	1	0.997	3	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	49245.684	1802.0557	0	0	0	0	49245.684	1802.0557	0	0	0	0	49245.684	1802.0557	0	0	0	0	
sp|O14639|ABLM1_HUMAN	O14639	ABLM1_HUMAN	ABLIM1	778	3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-binding LIM protein 1	1	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	21486.814	0	0	0	0	0	21486.814	0	0	0	0	0	21486.814	0	0	0	0	0	
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	3.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 10	1	0.999	2	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	13967.363	0	3581.8877	0	0	0	13967.363	0	3581.8877	0	0	0	13967.363	0	3581.8877	0	0	0	
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	11.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prostaglandin E synthase	1	0.9988	2	5	5	5	3	0	1	0	1	0	3	0	1	0	1	0	3	0	1	0	1	0	25262.498	6480.1733	13211.532	0	11385.05	3390.8677	25262.498	6480.1733	13211.532	0	11385.05	3390.8677	25262.498	6480.1733	13211.532	0	11385.05	3390.8677	
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	6.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inositol monophosphatase 2	1	0.999	2	6	6	6	4	0	1	0	1	0	4	0	1	0	1	0	4	0	1	0	1	0	30752.867	6519.752	10118.781	0	10462.348	2541.3062	30752.867	6519.752	10118.781	0	10462.348	2541.3062	30752.867	6519.752	10118.781	0	10462.348	2541.3062	
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	9.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1	0.999	2	4	4	4	1	0	1	0	2	0	1	0	1	0	2	0	1	0	1	0	2	0	31236.713	14669.75	19730.447	0	23016.457	4329.479	31236.713	14669.75	19730.447	0	23016.457	4329.479	31236.713	14669.75	19730.447	0	23016.457	4329.479	
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	11.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 5	1	0.999	7	20	20	20	6	4	5	0	5	0	6	4	5	0	5	0	6	4	5	0	5	0	117324.88	21949.21	45977.3	0	34865.562	10300.243	117324.88	21949.21	45977.3	0	34865.562	10300.243	117324.88	21949.21	45977.3	0	34865.562	10300.243	
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	11.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation regulator 1	1	0.999	10	15	15	15	8	0	3	0	4	0	8	0	3	0	4	0	8	0	3	0	4	0	81680.82	18475.484	27277.092	0	28614.154	0	81680.82	18475.484	27277.092	0	28614.154	0	81680.82	18475.484	27277.092	0	28614.154	0	
sp|O14777|NDC80_HUMAN	O14777	NDC80_HUMAN	NDC80	642	3.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinetochore protein NDC80 homolog	1	0.994	3	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	10432.453	2917.4587	7958.557	0	10010.529	0	10432.453	2917.4587	7958.557	0	10010.529	0	10432.453	2917.4587	7958.557	0	10010.529	0	
sp|O14907|TX1B3_HUMAN	O14907	TX1B3_HUMAN	TAX1BP3	124	25	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tax1-binding protein 3	1	0.999	2	6	6	6	2	2	1	0	1	0	2	2	1	0	1	0	2	2	1	0	1	0	73027.914	0	12819.263	0	0	0	73027.914	0	12819.263	0	0	0	73027.914	0	12819.263	0	0	0	
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	8.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ domain-containing protein GIPC1	1	0.999	2	4	4	4	3	0	1	0	0	0	3	0	1	0	0	0	3	0	1	0	0	0	28538.65	0	5406.914	0	2701.839	0	28538.65	0	5406.914	0	2701.839	0	28538.65	0	5406.914	0	2701.839	0	
sp|O14936|CSKP_HUMAN	O14936	CSKP_HUMAN	CASK	926	3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peripheral plasma membrane protein CASK	1	0.999	3	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	53492.94	0	4003.0693	0	0	0	53492.94	0	4003.0693	0	0	0	53492.94	0	4003.0693	0	0	0	
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	7.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatocyte growth factor-regulated tyrosine kinase substrate	1	0.999	6	11	11	11	7	1	1	0	2	0	7	1	1	0	2	0	7	1	1	0	2	0	86380.875	14667.848	25593.072	0	29508.11	3402.916	86380.875	14667.848	25593.072	0	29508.11	3402.916	86380.875	14667.848	25593.072	0	29508.11	3402.916	
sp|O14981|BTAF1_HUMAN	O14981	BTAF1_HUMAN	BTAF1	1849	1.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	TATA-binding protein-associated factor 172	1	0.999	3	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	24654.143	3836.6128	10516.234	0	4563.347	0	24654.143	3836.6128	10516.234	0	4563.347	0	24654.143	3836.6128	10516.234	0	4563.347	0	
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	10.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec16A	1	0.999	18	33	33	33	18	0	8	0	7	0	18	0	8	0	7	0	18	0	8	0	7	0	109161.01	21834.844	44230.43	0	37586.3	1827.8844	109161.01	21834.844	44230.43	0	37586.3	1827.8844	109161.01	21834.844	44230.43	0	37586.3	1827.8844	
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	7.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin-B2	1	0.999	11	23	23	23	12	2	4	0	5	0	12	2	4	0	5	0	12	2	4	0	5	0	168573.08	32524.639	49260.93	3366.8682	36056.2	7972.9243	168573.08	32524.639	49260.93	3366.8682	36056.2	7972.9243	168573.08	32524.639	49260.93	3366.8682	36056.2	7972.9243	
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	9.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein	1	0.999	9	14	14	14	10	1	1	0	2	0	10	1	1	0	2	0	10	1	1	0	2	0	66046.03	8640.434	6797.232	0	17308.877	0	66046.03	8640.434	6797.232	0	17308.877	0	66046.03	8640.434	6797.232	0	17308.877	0	
sp|O15061|SYNEM_HUMAN	O15061	SYNEM_HUMAN	SYNM	1565	6.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synemin	1	0.9989	7	8	8	8	7	0	1	0	0	0	7	0	1	0	0	0	7	0	1	0	0	0	45704.945	0	6387.7666	0	0	0	45704.945	0	6387.7666	0	0	0	45704.945	0	6387.7666	0	0	0	
sp|O15118|NPC1_HUMAN	O15118	NPC1_HUMAN	NPC1	1278	3.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	NPC intracellular cholesterol transporter 1	1	0.999	5	5	5	5	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	43903.895	0	4266.05	0	15524.168	0	43903.895	0	4266.05	0	15524.168	0	43903.895	0	4266.05	0	15524.168	0	
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	19.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC1	1	0.999	5	7	7	7	7	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	44413.035	5253.9224	13327.039	0	13796.623	0	44413.035	5253.9224	13327.039	0	13796.623	0	44413.035	5253.9224	13327.039	0	13796.623	0	
sp|O15258|RER1_HUMAN	O15258	RER1_HUMAN	RER1	196	28.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein RER1	1	0.999	4	9	9	9	4	1	4	0	0	0	4	1	4	0	0	0	4	1	4	0	0	0	74741.16	3945.7627	22542.766	0	6119.978	0	74741.16	3945.7627	22542.766	0	6119.978	0	74741.16	3945.7627	22542.766	0	6119.978	0	
