Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-07_4449.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-07_4462.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-07_4475.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-08_4450.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-08_4463.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-08_4476.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-09_4451.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-09_4464.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-09_4477.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-10_4452.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-10_4465.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-10_4478.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4453.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4466.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4479.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4454.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4467.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4480.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-01_4443.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-01_4456.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-01_4469.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-02_4444.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-02_4457.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-02_4470.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-03_4445.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-03_4458.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-03_4471.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-04_4446.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-04_4459.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-04_4472.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-05_4447.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-05_4460.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-05_4473.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-06_4448.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-06_4461.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-06_4474.d
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	5236.8	4322.83	5136.72	4106	4629.54	5112.06	4626.09	4486.21	5397.09	7036.28	8138.81	8475.7	8307.24	8475.01	13224.3	7087.51	8219.73	11153.2			1226.39						1096.62	4869.09	4015.8	3568.34	4402.93	3124.25	3639.19	5511.12	4683.53	4125.71
A1L020	A1L020;Q86XN8;Q6ZN04;Q5U5Q3	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	5512.9	5653.21	5752.67	5629.94	6350.25	6490.81	5716.91	6077.45	5066.05	7381.39	6017.17	6753.15	9328.74	4695.33	8697.85	6926.58	11040.1	11262.6	7368.01	7898.53	7426.09	5267.44	6642.02	6531.06	6571.21	6763.29	6065.32	7211.23	7257.72	8373.89	6884.15	7078.14	8938.8	9326.25	7311.34	9309.81
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10717.7	9248.13	11146.4	9306.56	9896.63	11114.2	10136.4	8149.13	11185.5	9740.94	11827.3	10242.8	7668.83	8758.66	7074.72	5743.84	6286.56	7508.19	8870.24	8247.9	8876.64	7757.57	8957.45	9230.89	8288.41	8741.33	10024.9	11823.5	11145.9	11652	11113.1	10413.9	12958.5	7143.26	10336.8	10309.4
A1L4H1	A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D											4584.88	4025.04		6424.25	7045.29	5994.03	5982.7	6369.62													3156.12	3059.77			4426.82	4810.67
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	30994.9	31292	30437.4	31576	32365.6	30980.8	37257.4	35289	32445	40988.1	44004.4	39660.6	33437.6	38370	33369.8	31522.7	38091.3	35241.8	34412.2	34349.6	30193.3	33228.2	31072.3	29926.3	35871.1	34093.7	33695.2	46489.6	51915.3	50109.1	48630.6	51068.5	48128.1	41565.5	43348.7	44721.4
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1			1517.57		1937.19				1229.31										1437.94	3080.5	2624.12	2282.36	2263.32	2586.28	2939.93	3303.58	2947.67		2529.96	6437.21		2323.83	2878.19			2727.66
A2A3K4	A2A3K4	PTPC1_HUMAN	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1		2482.48	2475.81	3147.23	2481.45	2252.37	3348.01	2739.69	2400.73			3471.05									1290.4		1968.66	1715.89		1122.85	1288.02		3158.78	2006.12	2341.34	1692.2			2136.69	2600.58
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	19310.1	18864.4	19172.2	19080.1	20635.7	20490.5	19840.9	20134.6	19440.3	15386.6	15177.9	16988.5	12883.8	13467.7	14903.1	12130.9	12836.1	14333.5	16441.3	16234.9	16709.8	15403.4	16254.2	16341.1	15718.2	16506.9	15465.6	12593.1	13386.6	12319.6	12118.4	12916.2	11778.8	9667.51	10040	9895.05
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	1787.72	1290.96	1883.46	1337.43	1386.53	1683.21		1875.72	1439.67		4206.54	2103.61		2700.04	1457.25		1974.78		904.484	1060.49	1270.49	1042.77	593.029	1872.56	1492.38	1256.69	1433.77	2126.43	1327.15	1783.55	1309.7	2335.56	1805.05	1236.54	2132.18	1786.3
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1670.36	787.426	1284.68		1583.84	954.811	811.441	1887.26	1422.04		1443.75	1040.05	1084.9	1360.9	1345.91		964.714	760.284		1032.08	811.225				816.318	595.468	1008.98					720.324		1447.43	1232.34	1036.23
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	4557.69	4885.71	5927.07	4359.2	4955.38	5704.5	4628.63	4805.19	5136.37		5849.72	4889.03		6968.84	4774.43	4892.6	5160.82	5197.59	5273.03	5052.81	5319.49	3835.73	4592.22	5555.48	4070.86	3845.59	4395.6	2529.82	5140.57	3844.76		2613.62	4005.6	5561.89	4705.1	4784.4
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	4516.25	3563.89	3955.73	5545.47	4015.22	3444	5234.04	4146.35	3230.95	4826.2	4674.56	4591.9	5460.8	5340.25	4287.73	4292.5	4691.55	4460.08	6329.86	5608.49	4584.9	5376.29	4865.49	3881.42	5665.71	4402.95	4169.32	5391.16	3755.01	4590.05	3296.25	4011.5	2995.3		3019.85	5034.36
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	26413.5	26584.8	24611.3	28430.9	26873.3	22520.1	24586.1	25532	24690.8	23250.3	25417	28114.7	21514	20813.8	23417.4	28794.5	25137.9	24361.1	23042.5	24498.8	22914.1	24782.2	24727.3	21931.8	26509	26113.7	21309.3	22202.1	24304.2	23200.9	23822	26778.8	21528.8	19196.3	17440.8	19274.3
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5331.56	5054.11	5579.85	4621.25	5425.74	4602.96	5303.85	4713.51	5057.79	3587.36	2858.45	4341.11		4875.17	4839.57		3585.93		6432.14	6274.1	7309.13	6446.4	6507.39	6163.51	5945.12	6721.96	6893.62	6298.25	6700.16	6540.67	6336.45	6511.81	6202.38	5136.83	4414.44	4259.7
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5580.16	5781.19	3658.17	4710.86	5335.05	4728.1	4649.81	6427.35	5059.75	5835.21	4448.19	5451.9		8126.76	5023.68	9854.36	9941.88	7845.48	7707.31	6613.38	6436.36	5672.43	6484.74	5016.83	6870.32	4997.77	6542.2	7356.42	6951.78	6920.14	7339.1	7139.91	7173.8	8991.03	6993.27	8816.35
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	8078.42	7894.23	7882.87	7833.79	8412.81	8705.99	6414.16	8427.93	8212.1	3818.85	6210.79	5561.77	5751.56	4797.59	5622.2	4581.84	5065.97	6508.29	8616.97	8635.92	8610.9	8473.34	7653.32	8019.41	7395.41	8294.83	8379.43	5783.34	5708.82	6449.55	4314.67	5836.58	6631.78	6036.39	4923.04	5088.77
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1										5062.21	4961.02	4668.57	10732.3	10571.3	10470.3	10442.4	9747.78	11685.5		1364.78				2737.64				4772.86	3442.81	4600.57	4465.8	4803.64	5259.6	7431.69	7445.36	7732.93
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11		2182.75	1890.91	1075.01	2355.6			1967.33		2852.92		4300.66		4717.18	5048.53	1489.44	5672			2183.84		645.412						3712.62	3016.15		3147.15			3624.03	5071.85	
A5A3E0	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	76159.8	67107.4	15410	76259.4	61495	15038.6	90430.1	80596.8	14720.5	103158	104187	62662.9	83625.3	91484.7	61178.1	86433.2	84482.3	47532.2	53128.8	48964.2	10098.6	48305.5	48255.6		94346.2	67770.6		92736	77276.2	29934.1	98046.5	107943	35798.4	92723.5	100273	40430.4
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4864.27	4428.01	4333.98	4452.66	5359.35	3382.77	7010.54	2578.12	3431.93	10656.9	10412.1	12140.2	11694.8	10743	9630.04	9399.4	9586.09	10449.8		3422.11	3814.87	3862.77	3806.69	2693.57	3538.69	3123.48	2494.33	9683.64	8980.12	8474.29	10290.2	8605.8	7885.85	8940.9	9891.85	9594.35
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	12836.4	13798.2	15063.8	12635.3	14126.9	15336.9	12104.7	11571.5	15392	5564.25	7364.83	7161.86	6608.63	5637.79	5962.47	6041.16	6291.93	9244.11	6514.89	8329.31	8244.58	6596.26	6564.13	8284.69	5624.22	6634.7	7613.63	5792.47	4911.1	5134.66	4917.07	4697.35	5269.41		6660.65	6060.25
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	6531.21	7410.75	5746.23	7692.32	7162.22	6840.95	5816.72	7709.67	6898.49	4165.89	7056.71	6155.53		3720.63	6532.89		5571.38	5686.37	5865.69	6085	6064.71	6439.7	5782.21	5611.57	6897.34	6979.81	6469.26	6338.18	8360.48	6123.4	7464.23	8233.51	7147.03	8213.55	7753.92	6996.57
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	30871.1	32603.4	31964.1	31404.5	31268.4	32486	32301	32807.8	32423.8	23202	25430.5	27175.6	20574.5	21792.4	22506.8	18979.6	21223.1	23224	33124.1	35818.2	34193.5	34866.8	36090	34799.7	33189.3	34836.4	35083.8	28876.4	30499.4	30352.9	27618.4	30464.6	30085.4	21952	23507.8	25215.9
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	185993	148899	100164	177354	151964	100379	170224	150458	85579.9	208868	167186	163273	136605	151737	100247	161753	133297	102944	143885	154555	115350	161355	134727	97569.8	132399	103117	83119.2	220980	124097	114600	161833	130509	92508.8	193847	149064	94431.3
