Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-99_3554.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-100_3555.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-101_3557.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-102_3558.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-103_3559.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-113_3560.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-114_3562.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-115_3563.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-53_3542.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-54_3543.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-57_3545.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-58_3546.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-59_3549.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-60_3550.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-61_3567.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-62_3568.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-63_3569.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-64_3570.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-47_3534.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-50_3535.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-51_3537.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-10-2024_Slot1-52_3538.d
Q8IYB3	Q8IYB3;A0A0S2Z4Z6;A0A994J4Y3;A0A994J7H1;A0A994J7V4;A9Z1X7;M0QXG5;M0R088	SRRM1_HUMAN	SRRM1	Serine/arginine repetitive matrix protein 1				237.904					236.783	181.603	178.757		38.8951	104.171					183.266			
Q9NYL4	Q9NYL4;F8VU90	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11				387.495		430.528			76.6965	731.279	296.999	228.414	41.0227	591.157					229.091	466.714		377.265
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	666.76		102.139	69.5966		175.81			127.716		176.759	36.127	41.4769	47.9904					115.821			
Q92734	Q92734;C9JJP5;C9JUE0;A0A6Q8PF40;A0A6Q8PF51;A0A6Q8PFC4;A0A6Q8PFY7;A0A6Q8PG00;A0A6Q8PG04;A0A6Q8PGS4;A0A6Q8PH27;A0A6Q8PH89;C9JTY3	TFG_HUMAN	TFG	Protein TFG		556.955		764.413		1349.51			624.697			519.607	41.8761	358.636					189.928		333.377	
O75340	O75340;X6RLX0	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6										128.175	86.3208		41.9746	66.0239					75.4968	237.662	216.219	
Q12888	Q12888;A6NNK5;M0R142	TP53B_HUMAN	TP53BP1	TP53-binding protein 1				216.948					125.665			143.621	42.637	165.272						130.253		451.077
O43169	O43169;A0A8I5KP74;A0A8I5KSY3;A0A8I5KSY8;A0A8I5KX20;A0A8I5KYK4;A0A8I5QJ67;A0A8I5QKN7;D6RFH4;H3BUX2;J3QR91	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B		314.005	454.528	224.748		356.701			406.713	569.408	755.008	398.275	46.0949	416.576					288.2	751.933		897.39
Q9NVD7	Q9HBI1;Q9NVD7;A0A087WZB5	PARVA_HUMAN	PARVA	Alpha-parvin			332.309						137.079	207.331			46.8336	101.619					96.3753	61.6553		
Q9HB90;Q9NQL2	Q9HB90;Q9NQL2	RRAGC_HUMAN;RRAGD_HUMAN	RRAGC;RRAGD	Ras-related GTP-binding protein C				72.1749					106.028	181.322		164.118	47.7027						302.808			
Q16527	Q16527;F8VW96	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2				380.966					259.492		157.273	268.22	48.8341	221.285					201.834	167.207		
P45973	P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5		84.8456	290.228	61.5165					218.997	259.519	209.589	229.638	48.9496	288.436					184.354			
P02753	P02753;Q5VY30	RET4_HUMAN	RBP4	Retinol-binding protein 4												65.6781	49.234					283.506	92.2116	231.327		
P06400	P06400;A0A3B3IS71	RB_HUMAN	RB1	Retinoblastoma-associated protein		108.401	161.854	200.362					123.955		532.631	630.677	50.2249	175.258					182.352			
P51812	P51812;B1AXG1;B4DG22;B7ZB17;A0A2R8Y603	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3		234.23	286.746	158.979		646.705			194.448		95.6528		51.0422	157.326					133.023	115.771		
P57740	P57740	NU107_HUMAN	NUP107	Nuclear pore complex protein Nup107		327.624				432.814			147.207		129.138		51.4011	285.787					91.5756			462.595
P51159	P51159;H3BN55;H3BS46;H3BU80;H3BUD7;H3BVH4	RB27A_HUMAN	RAB27A	Ras-related protein Rab-27A						287.458			194.665	461.643		207.053	51.642	20.6705						327.025		511.143
Q9H3U1	Q9H3U1;A0A1W2PNX8	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A		368.238		117.936					193.928	196.572	192.486	408.718	52.1365	152.603					158.412	88.2642		
O43633	O43633;M0R1L7;M0R1T5	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a		221.982		115.359	186.824	317.723					223.404	407.194	54.3744	174.31					293.75			
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18			539.199			373.052			176.878	49.5055	192.349	263.474	56.6078	244.532					194.344			193.256
P42081	P42081	CD86_HUMAN	CD86	T-lymphocyte activation antigen CD86				224.816					86.4808	278.176	146.62	38.548	56.863	83.988		148.766			119.47	204.743		140.91
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1		604.956	214.334	342.104	771.172				348.58		426.096	50.41	58.8938	218.787					223.105	147.725		434.506
Q14318	Q14318;A0A0A0MTJ1;U3KQI1	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8		264.722											62.0339	123.387					66.4769			178.821
Q00169	Q00169;I3L471;I3L4U7	PIPNA_HUMAN	PITPNA	Phosphatidylinositol transfer protein alpha isoform													62.4525	90.589					78.9651			
Q9NP61	Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3		563.774		383.603					205.659		160.358	320.971	64.8336	288.449					238.398			
Q15369	Q15369;E5RHG8	ELOC_HUMAN	ELOC	Elongin-C									152.05		311.816		65.0689	201.127					176.288	388.907		
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F		213.498		188.241		335.99					54.7144		65.6895	84.6812					70.0251			97.113
O43463	O43463;P83110;A0A0C4DG43;A0A8Q3SIX7	SUV91_HUMAN	SUV39H1	Histone-lysine N-methyltransferase SUV39H1				606.504									66.3474	137.749					138.077			
Q9HAV5	Q9HAV5	TNR27_HUMAN	EDA2R	Tumor necrosis factor receptor superfamily member 27									52.293	161.444	121.365		66.7381	83.2187								
Q96EP5	Q96EP5;K7EK33;K7EQ02;K7EQ55	DAZP1_HUMAN	DAZAP1	DAZ-associated protein 1										267.116		105.232	66.813	96.2758								
Q9Y3E7	Q9Y3E7	CHMP3_HUMAN	CHMP3	Charged multivesicular body protein 3									157.067			251.696	67.1718	255.595					160.235			
P23258;Q9NRH3	P23258;Q9NRH3;A0A7P0T9G6;K7EIS0;K7EKE5	TBG1_HUMAN;TBG2_HUMAN	TUBG1;TUBG2	Tubulin gamma-1 chain		247.651		436.883					168.915	333.899	288.109	126.392	69.0419	163.81					173.33			
Q8TDX7;Q9HC98	Q8TDX7;Q9HC98;Q5TBG1;Q5TBG7;Q5TBH1;Q5TBH2;Q5TBH0	NEK6_HUMAN;NEK7_HUMAN	NEK6;NEK7	Serine/threonine-protein kinase Nek7										303.334		65.1253	69.2304	46.3723					159.689	68.2707		
Q8TB52	Q8TB52	FBX30_HUMAN	FBXO30	F-box only protein 30													69.8002	71.536								
P51532	P51532;A0A2R8Y4F5;A0A2R8Y7N0;Q9HBD4;A0A2R8YGF7;A0A2R8YGP2;A0A994J4Z1;A0A994J6Y5	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1													70.413	54.8205					112.975			198.035
Q08J23	Q08J23	NSUN2_HUMAN	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2				320.439		1418.89			85.2425	441.225	290.517	349.707	70.7956	131.555					18.3758			
Q9Y3D9	Q9Y3D9;J3QLR8	RT23_HUMAN	MRPS23	Small ribosomal subunit protein mS23													72.1118	122.582					80.5522			
Q9H488	Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1						476.111				269.243			72.5818	224.309					165.056			157.384
P36543	P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1		154.755		164.27					201.901		378.623	200.372	72.893	71.2312					257.844	316.554		
P10155	P10155	RO60_HUMAN	RO60	RNA-binding protein RO60		208.714		229.199		439.382			263.949	181.78	115.195	385.901	73.4331	257.672			320.769	424.142	337.911	133.529		
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2		42.4255		165.815					113.479				73.65	91.8207					118.961			
Q16576	Q16576;E9PC49	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7		183.576	299.503	52.3429		222.054			256.501	53.7335	478.69	316.002	74.9933	231.042					272.609			
Q2NL82	Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog									66.8934		46.9493	65.1956	75.0064	58.6806								
Q9UIQ6	Q9UIQ6	LCAP_HUMAN	LNPEP	Leucyl-cystinyl aminopeptidase		156.238							56.0411			134.617	75.4783	75.1299					123.802			257.065
Q15836	P63027;Q15836;L7N2F9;F8WCA0;J3QRU4;K7EKX0;K7ENK9	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3		347.354							94.1527	85.1653		201.36	75.9797	87.2035					116.453	88.0334		642.954
Q52LJ0	Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B		167.9							51.0256			216.506	76.7581	123.571					79.737			
Q8IW75	Q8IW75	SPA12_HUMAN	SERPINA12	Serpin A12									57.3462		339.347	43.7394	77.5603							152.572		
Q15008	Q15008;C9J0E8;H7C530	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6		202.773							140.473	253.489	167.357	228.913	77.7186	271.203					370.871	39.5731		
P49790	P49790	NU153_HUMAN	NUP153	Nuclear pore complex protein Nup153									74.5267		292.686		78.1301	139.069					339.809			1754.08
Q9H0E2	Q9H0E2;E9PNS3;F2Z2Y8	TOLIP_HUMAN	TOLLIP	Toll-interacting protein		141.456								87.0621	94.3547		78.6753	57.6497					29.9642			81.4242
Q15726	Q15726;C9JDR0	KISS1_HUMAN	KISS1	Metastasis-suppressor KiSS-1			186.997						101.975	134.643			79.4846	134.693								
Q9BUQ8	Q9BUQ8;A0A8V8TQ76;A0A8V8TR86;A0A8V8TRI2	DDX23_HUMAN	DDX23	Probable ATP-dependent RNA helicase DDX23		224.837	743.358	172.809		385.308			200.024	246.533	103.453	311.878	80.8137	272.342					277.536			590.239
P13473	P13473;H0YCG2	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2											79.3588	216.621	81.2264	580.145					102.326			563.444
O75955	O75955;A0A140T905;A0A140T959;A0A140T9C3;A0A140T9R1;A0A140T9X0;A2AB09;A2AB10;A2AB12;A2ABJ5	FLOT1_HUMAN	FLOT1	Flotillin-1										666.802			82.7688	50.9273					69.1598	530.511		
Q9UN86	Q9UN86;A0A7I2V3E2;A0A7I2V3P9;A0A7I2V3R7;A0A7I2V481;A0A7I2V647;A0A7I2YQD9;A0A7I2YQS2;D6RAC7;D6RB17;H0YAE3	G3BP2_HUMAN	G3BP2	Ras GTPase-activating protein-binding protein 2		115.762								75.6938	140.658		83.0572	123.302					133.946			
P07108	P07108;B8YG18	ACBP_HUMAN	DBI	Acyl-CoA-binding protein		313.898			1177.84				294.525	319.926	89.3427	152.2	84.0861	78.7271	575.136	645.245	629.996		345.214	512.302		919.24
Q99471	Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5												97.138	84.495	21.9284					277.887			
Q9UBV8	Q9UBV8	PEF1_HUMAN	PEF1	Peflin				11.4986					364.312		206.718		85.1068	235.997					141.009	167.359		
O00541	O00541;B5MCF9;F6VX93;H7C267	PESC_HUMAN	PES1	Pescadillo homolog				84.6811								116.193	85.4038									
P53611	P53611;Q5T4U8	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta		191.593				386.894			276.636	232.262	139.008	128.661	85.5977	101.861								
Q9Y547	Q9Y547;A6NIF9;X6R7Y7	IFT25_HUMAN	IFT25	Intraflagellar transport protein 25 homolog									81.9274				85.7193	56.4386								
O15067	O15067;H0YGH1	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase			483.066	171.906	348.914				144.562	71.4496	204.32	219.337	86.0163	220.223			504.87		359.533			
P36873	P36873;F8W0W8;A0A087WYY5;F8VR82;F8VYE8	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit		257.276							123.62			281.3	86.6019	141.516					161.955			
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12		412.861	447.312	438.903	649.983	618.459			627.957	662.446	361.294	738.94	86.8498	761.21					488.76	180.704		789.682
Q4G0J3	Q4G0J3;A0A8I5KQG7;A0A8I5KSZ3;A0A8I5KYN2;A0A8Q3SHF1;A0A8Q3SHG9;A0A8Q3SHH4;A0A8Q3SHL6;A0A8Q3SHN7;A0A8Q3WK75;D6RF48;D6RFF0;H0YA82;A0A8I5KUH8	LARP7_HUMAN	LARP7	La-related protein 7				155.654					211.087		147.676		87.6305	67.233					107.059			
O60828	O60828;A0A5H1ZRR1	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1		100.963	153.189						444.519		348.896	144.093	87.7089	182.256					437.514	138.622		
P10620	P10620;F5GX73;F5H613;F5H6X2;F5H7F6	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1				363.355					340.107		308.406	326.626	88.98	312.204						178.556		254.438
Q13526	Q13526;K7EMU7;K7EN45	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1				183.978					111.996	70.7696			91.2294	101.732					200.885			
O95070	O95070;A6NGW1;C9JST7;E9PIZ0	YIF1A_HUMAN	YIF1A	Protein YIF1A													92.4547									
Q14258	Q14258;A0A3B3IUA7	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25		120.526	469.264	208.305					167.329			223.346	92.803	139.663					199.625	256.701		
Q14108	Q14108;A0A1W2PPU6;A0A1W2PQB7;A0A1W2PRS1;A0A1W2PS43;A0A1W2PNX7;A0A1W2PPX5;A0A1W2PQR6;A0A1W2PS70;A0A1W2PSE4;D6RDG0	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2		145.123											93.0167	111.237					98.7761			214.097
Q92876	Q92876	KLK6_HUMAN	KLK6	Kallikrein-6									201.33				94.2905		459.237			268.718		480.86	537.226	228.116
Q5VZM2;Q7L523	Q5VZM2;Q7L523;Q5VZM0	RRAGA_HUMAN;RRAGB_HUMAN	RRAGA;RRAGB	Ras-related GTP-binding protein B									136.077		151.831	75.0773	94.5749	55.1794					151.638			171.713
O00273	O00273;K7ERT1	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha		139.454		241.238					359.268	286.529	241.126	304.074	95.1112	146.274					181.36			
Q9C0B1	Q9C0B1;A0A1B0GTC3;A0A1B0GTC5;A0A1B0GTY1;A0A1B0GU26;A0A1B0GUC3;A0A1B0GV98;A0A1B0GVH5	FTO_HUMAN	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO				274.813					179.975			289.484	95.5143	135.881					87.2372			
Q15428	Q15428;K7EMT0	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2		170.743	314.789						99.4384		88.1118	192.544	95.9595	336.521					223.986			265.872
Q9UI12	Q9UI12;E5RG49;E5RHH0;E5RJG1;E5RK31	VATH_HUMAN	ATP6V1H	V-type proton ATPase subunit H		80.4595		307.857							324.924		96.9724	138.219					304.41	142.612		
P78330	P78330;C9JBI3	SERB_HUMAN	PSPH	Phosphoserine phosphatase											208.971		97.1268	105.14					70.3236			
Q9H173	Q9H173;A0RZB6;D6REA1	SIL1_HUMAN	SIL1	Nucleotide exchange factor SIL1													97.1539									
Q08257	Q08257;A6NP24;C9JH92	QOR_HUMAN	CRYZ	Quinone oxidoreductase		288.44									115.611		97.8516	320.696					102.437	110.348		396.871
Q16610	Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1												47.4139	98.8893						554.151	422.922		372.236
O75694	O75694;E9PF10	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155		23.0134		407.839		307.592			82.6485	187.922	233.469	156.474	99.5103	84.4903					63.542			
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13		212.86											101.504	113.415								262.36
Q86TI2	Q86TI2;A0A2R8YF65;A0A8V8TR99;M0R2A8	DPP9_HUMAN	DPP9	Dipeptidyl peptidase 9		119.503		122.576									101.565	88.7565								
Q15404	Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1									235.212				101.946	124.102								
P33121	P33121;E7EPM6;A0A994J7S4;B7Z3Z9;H0Y9Z9;D6RER0	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1		110.781		296.632							167.546		102.146	120.602					43.2427			165.448
P33240	P33240;E7EWR4;A0A0A0MT56;E9PID8	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2		159.997								396.693		265.509	102.812	141.439					77.6838			
Q9NY33	Q9NY33;G3V180;G3V1D3;E9PKK8;E9PNX5;E9PPK9;E9PQ14	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3				82.8372							266.381	212.94	104.392	206.07					269.516	152.818		
Q9BW30	Q9BW30	TPPP3_HUMAN	TPPP3	Tubulin polymerization-promoting protein family member 3						72.1051			75.3476			226.936	104.41		149.761	307.73	330.825	276.029		126.362	227.802	148.489
Q9BPX3	Q9BPX3;D6RA93	CND3_HUMAN	NCAPG	Condensin complex subunit 3									300.842			221.509	104.859	170.814					78.6615			
Q96B97	Q96B97;A0A8V8TNW8;A0A8V8TP27;A0A8V8TQD8;A0A8V8TQF6;A0A8V8TQU1;Q5JPT2	SH3K1_HUMAN	SH3KBP1	SH3 domain-containing kinase-binding protein 1		144.193		115.66									104.863	52.9614					83.2923			
Q8N5K1	Q8N5K1;D6RCF4	CISD2_HUMAN	CISD2	CDGSH iron-sulfur domain-containing protein 2													104.881	78.7251								
Q9BXP5	Q9BXP5;H7C3A1;H7C1J9	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog		113.308	355.367	121.035		711.944			50.7017		263.989	153.303	104.947	195.868					123.385			
P55265	P55265;A0A3B3IRQ9;A0A3B3ISU1;A0A3B3ISX1;A0A7P0Z4F9;A0A7P0Z4K3	DSRAD_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase		249.072		142.606					90.5869	236.951	77.8869	362.32	105.312	139.588					231.544			226.203
O75312	O75312;H7BZM7;H7C0E5	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1		171.022	849.384	635.349					267.098	171.265	704.586	244.712	105.352	213.013					52.1214	58.4188		
F5H073	P61224;P62834;E7ESV4;F5H7Y6;F5GWU4;F5GX58;F5GYB4;F5GYH4;F5GZZ5;F5H073;F5H0B6;F5H490;F5H4G6;F5H4Z7;F5H6R3	F5H073_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1 (Fragment)		168.883			292.575	306.847			185.003		195.867		105.47	54.2469					85.618			
Q9P035	Q9P035;H3BPZ1;H3BS72	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3		150.54	229.435							355.202		117.599	105.815	172.6						156.972		377.695
P55795	P55795;Q9BY60;E9PDW2	HNRH2_HUMAN	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2		15.8615	867.838	49.9858		501.764			506.127	306.416	205.821	263.004	105.851	56.3437					64.5579			
P50402	P50402;A0A804HIV7;Q5HY57	EMD_HUMAN	EMD	Emerin		379.563	742.993	592.228	628.024	398.314			274.452	168.206	371.61	260.734	106.266	255.913					301.207			995.396
Q99627	Q99627;E9PGT6	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8		348.89		181.129					161.449		387.401		106.947	63.8188					189.85			
Q01780	Q01780;K7EJ37	EXOSX_HUMAN	EXOSC10	Exosome component 10												65.89	107.083	94.4445					68.2663			
