Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-07_9785.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-08_9786.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-09_9787.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-10_9788.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-11_9789.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-12_9790.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-13_9795.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-14_9796.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-15_9797.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-16_9798.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-17_9799.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-18_9800.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-19_9805.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-20_9806.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-21_9807.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-22_9808.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-23_9809.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-24_9810.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-25_9815.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-26_9816.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-27_9817.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-28_9818.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-29_9819.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-30_9820.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-01_9780.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-02_9775.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-03_9776.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-04_9777.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-05_9778.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-06_9779.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-31_9825.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-32_9826.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-33_9827.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-34_9828.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-35_9829.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-36_9830.d
A0A096MJT6	A0A096MJT6	A0A096MJT6_RAT	Bltp1	Similar to RIKEN cDNA D630029K19	2531.97	2294.06	2551.44	2868.61	2920.17	2507.88	3253.26	2774.31	2758.26	2942.48	2883.32	2942.2	2797.08	2791.97	2949.76	2929.75	2862.74	2914.56	3062.94	3223.31	2920.48	3135.48	2805.12	3117.96	2383.41	2718.14	2505.34	2698.67	2467	2612.43	3062.37	2935.8	2822.29	2738.28	3041.24	2967.37
A0A096MJV7	A0A096MJV7	A0A096MJV7_RAT	Chd9	DNA helicase	3062.77	3365.28	3258.89	3154.99	2679.01	3661.55	2528.4	2398.83	2526.63	3011.61	2534.26	2671.79	2364.41	2244.04	2367.13	2655.07	2384.72	2781.43	2635.85	2497.77	2720.5	1672.06	2581.68	3399.92	3632.4	2640.05	2829.7	3352.3	2761.07	3171.86	1180.5	1439.3		2165	1594.21	1853.2
A0A096MJX5	A0A096MJX5	A0A096MJX5_RAT	C3h9orf78	Uncharacterized protein	5465.78	6477.76	5300.89	5899.65	5548.71	5877.34	4645.69	5427.27	4773.02	6048.46	5219.54	4185.69	5435.31	4898.75	5203.06	5889.06	5752.67	5267.39	4011.84	3912.87	3904.86	3582.43	3731.39	3652.33	2435.12	3659.82	2412.83	3577.98	2885.89	4202.65	3425.73	3060.52	3854.75	3514.69	3922.3	3682.72
A0A096MJY1	A0A096MJY1	A0A096MJY1_RAT	Gpc6	Glypican 6	2405.43	2753.47	2973.03	2627.58	3353.07	2703.08	2310.4	1703.19	2013.08	2916.59	1910.27	2093.11	3317.41	3112.14	3633.58	2745.68	3329.06	3067.31	3588.33	3723.44	3891.13	4430.33	3867.54	4070.66	4498.91	4179.34	4502.75	4065.23	4085.71	5685.52	2092.75	1771.51	3493.55	3895.09	3601.78	1708.71
A0A096MJY7	A0A096MJY7	A0A096MJY7_RAT	Lsm14a	LSM14A mRNA processing body assembly factor	22303.4	22200.7	23880.8	21627	23027.8	21211.9	19157.2	18786.6	17427	17369.4	18073.1	17118	19693.9	17083.9	17645.3	18080.9	17499.9	17269.8	17627.2	18276.7	17228.2	19605.2	20718.6	18165.8	22584.4	25050.4	26290.9	27462.7	22078.6	24717.1	16074.4	16420.1	16717.2	16356.2	16625.2	18667.4
A0A096MJZ0	A0A096MJZ0	DNAL1_RAT	Dnal1	Dynein axonemal light chain 1	3442.99	2756.27	1881.26	2968.04	2309.73	1676.54	3522.79	4885.35	4190.96	3437.93	4529.43	4362.05	4984.02	4107.69	5644.79	5051.3	4718.69	6297.67	4551.89	3751.66	4123.83	3829.01	4414.49	3816.38	5106.55	5204.77	5252.38	5314.27	5418.12	5265.02	4937.01	3022.46	4918.6	5364.03	4874.43	5102.14
A0A096MK32	A0A096MK32	A0A096MK32_RAT	Tdg	Thymine-DNA glycosylase	2403.77	2546.88	2318.74	2273.64	2760.23	2775.43	2447.55	2458.07	2497.78	2554.26	2747.45	4078.37	3037.33	3304.22	3277.29	3979.72	3533.47	3179.26	3008.19	3605.56	2943.7	2897.71	3402.74	2825		2587.53	2210.28	1712.93	2155.57			759				
A0A096MK61	A0A096MK61	A0A096MK61_RAT	Crtap	Cartilage associated protein-like 1	1696.36	1283.57	2252.13	1711.58	1832.31	1674.11	2704.22	3843.47	3879.34	3223.57	3213.73	3198.53	2524.95	2361.52	2386.79	2412.55	2275.23	2488.85	2780.79	2397.12	2190.5	2550.25	2511.27	2650.97	1014.4	836.513	469.697	1125.24	776.787	657.329	1554.63	1212.24	1310.99	1058.34	1330.13	1206.81
A0A096MK90	A0A096MK90	A0A096MK90_RAT	Tmem255b	Transmembrane protein 255B	2361.71	2829.85	2872.25	2370.71	2283.14								1722.98		1320.32		1772.76	1860.99	2980.01	3033	2367.91	2698.14	2060.5	2434.15					2408.82		3855.65	3115.32	3950.5	3694.01	2969.3	3330.41
A0A096MKB0	A0A096MKB0	A0A096MKB0_RAT	Rab24	Max dimerization protein 3	5566.78	4736.51	4880.09	4996.75	4068.85	4339.8	4712.83	4122.38	4545.5	4804.06	4343.26	4036.89	6543.43	6229.33	5568.2	5755.83	4763.22	4968.07	6039.37	6696.74	6897.56	5857.65	6846.1	6949.28	7830.22	7914.67	6872.96	7113.7	6708.73	8258.46	13354.7	11310.7	12096.3	12102.3	12956.4	11719.4
A0A096MKD1	A0A096MKD1	A0A096MKD1_RAT	Eef1akmt1	EEF1A lysine methyltransferase 1	9332.8	5184.44	9649.74	9008.34	5326.78	6365.16	15074.4	13688.2	15549.7	12676.9	11605.4	13351.6	14089.4	13684.5	14511.7	13185.6	12766.1	11733.8	12898.8	15440.4	13540.7	13442.4	13301.5	14906.5	11570.6	11102.9	12793.4	13655.7	16658.8	14219.6	6121.34	6152.16	5989.94	6457.72	5541.05	7206.21
A0A096MKE0	A0A096MKE0	A0A096MKE0_RAT	Asph	Aspartate-beta-hydroxylase	4843.66	4688.48	5432.24	5683.62	5359.44	5606.4	6088.71	5775.04	5666.02	5507.24	6032.15	5512.15	5363.39	4679.29	5107.88	4948.56	5633.46	4343.73	5642.79	6076.14	5177.49	5426.46	6066.83	5920.36	5244.31	4854.13	5777.59	5053.91	5008.16	5139.47	6010.57	5923.03	6067.76	5496.4	5828.89	7349.3
A0A096MKE2	A0A096MKE2	A0A096MKE2_RAT	Snx12	PX domain-containing protein	13301.9	12082.5	12367.1	13200.3	12665.3	11878.2	12677.8	14990.6	11293.2	11747.8	11786.6	10579.2	15019.4	14814	13171.1	12910.1	12949.4	13058.7	12037	13652.5	12083	12477.1	12444.7	11974.8	10397.6	11867.1	11010.8	10909.7	12096	11642.9	5064.5	4749.16	4507.14	4445.45	4489.17	5076.68
A0A096MKE5	A0A096MKE5	A0A096MKE5_RAT	Zfp326	Zinc finger protein 326	13806.1	13948.7	14623.6	13715	14994.7	14981.4	13575.3	11135.2	13671.2	13533.1	13011.8	12271.3	11010.9	11931.9	10341.7	11298	10963.4	11337.6	10473.6	8782.46	9947.38	9513.75	9888.36	9213.62	17171.8	18156	17277.2	16798.4	17803.2	16480.6	5378.76	6267.14	4603.63	5319.46	6294.36	5303.94
A0A096MKF8	A0A096MKF8	A0A096MKF8_RAT	Med12	Mediator complex subunit 12	4216.31	3728.01	3964.23	3619.29	3737.82	3903.74	5192.27	5209.33	4847.85	4766.7	5224.15	4864.61	3779.89	3969.24	3562.23	3638.89	3736.27	3628.7	4053.34	3582.96	3768.74	3151.77	4165.39	4076.63	4067.48	4914.9	4155.63	4090.67	4961.88	3921.73	3164.54	3315.18	3502.21	3620.25	3472.81	4269.3
A0A096UWG9	A0A096UWG9	A0A096UWG9_RAT	Dgke	Diacylglycerol kinase	4826.08	3852.7	4543.07	3656.99	3812.38	3848.88	4500.27	4584.44	5308.85	4545.09	4586.71	3955.41	3636.71	3732.73	3544.07	3508.21	3864.53	3606.72	3643.53	3825.64	3731.09	3013.67	3685.39	3548.6	5020.41	5232.28	4189.76	4251	4805.54	5424.69	4637.75	2092.73	619.453	2497.48	3307.2	6826.66
A0A0G2JSI4	A0A0G2JSI4	A0A0G2JSI4_RAT	Adgre5	Adhesion G protein-coupled receptor E5	814.804	640.445	739.138	976.965	872.722	939.717	582.561	1043.67	627.022	661.592	685.71	1079.08	1645.1	1213.74	1599.64	1833.78	1463.8	1763.67	1687.17	1648.37	1649.74	1602.7	1503.45	1808.83	279.76	363.33	225.988	704.38	701.561	211.835	315.125	484.33	655.963	555.455	725.965	534.96
A0A0G2JSN6	A0A0G2JSN6	A0A0G2JSN6_RAT	Adgrg3	Adhesion G protein-coupled receptor G3	1644.34	1375.34	1679.28	1898.59	1600.43	1785.46	1967.08	1354.62	2067.64	1346.18	1918.55	1892.52	986.724	1389.29	1254.87	1401.35	1319.28	1349.08	1367.8	1183.69	828.061	974.546	1155.06	1039.51	1218.36	1558.54	1647.51	1228.82	1743.93	1572.95		1026.96		1056.15	670.798	913.438
A0A0G2JT63	A0A0G2JT63	A0A0G2JT63_RAT	Cyfip2	Cytoplasmic FMR1-interacting protein	6064.87	5601.27	5790.52	5888.48	5707.92	5917.85	5527.07	5349.82	5844.05	5115.27	5459.03	5610.85	5898.6	5921.62	6124.16	6014.04	5705.71	5739.93	6529.02	6703.48	5978.65	6609.61	6691.15	6500.86	6617.07	6015.82	5646.06	5690.74	5936	5954.92	5944.47	6038.76	5936.24	6263.23	6184.94	6559.29
A0A0G2JTI7	A0A0G2JTI7	A0A0G2JTI7_RAT	Prpf3	U4/U6 small nuclear ribonucleoprotein Prp3	12956.8	12049.9	12790.6	13840.6	13444.6	12061.4	13748.5	14445.4	14251.8	14271.6	13897.8	13688.1	9786.1	9266.41	9723.59	9164.65	9605.66	9219.73	9910.38	9538.56	8423.72	9419.29	9672.57	9552.39	13729.5	14696.2	13143.9	14288.6	14269.8	14180.6	12411.6	11974.4	13667.5	13058.8	13486.1	11683.1
A0A0G2JTJ9	A0A0G2JTJ9	A0A0G2JTJ9_RAT	Tfcp2	Transcription factor CP2	1837.32	2059.59	1760.58	2151.67	2215.43	1835.55	1880.92	1804.81	2521.05	2018.14	1476.58	2625.03	1960.8	1698.79	1371.21	1662.48	1767.2	1579.7	1551.05	1728.98	1424.99	1393.8	1463.7	1452.79	1502.9	1329.77	1749.74	1830.75	1725.38	2074.89	1511.29	1256.49	1492.74	1312.49	1390.22	1353.4
A0A0G2JTM6	A0A0G2JTM6	A0A0G2JTM6_RAT	Dhx35	RNA helicase	4133.54	4283.21	3535.44	3463.67	3895.12	3747.92	3359.35	3066.28	2603.51	3371.27	2735.22	3287.37	2962.6	2482.75	3321.31	2606.23	2842.02	2340.14	2954.24	2964.5	2442.94	2975.91	3112.81	2755.57	3816.86	4503.78	4485.47	3657.67	3795.36	3623.43	2141.22	2527.13	2369.4	2835.3	2520.1	2807.43
A0A0G2JTM7	A0A0G2JTM7	A0A0G2JTM7_RAT	Brd7	Bromodomain containing 7	2964.25	2831.78	2885.12	2953.73	2995.77	3014.92	1595.27	2226.98	1950.95	2058.45	2107.79	2586.73	2097.26	2111.65	2127.8	1956.35	2197.83	2033.71	2151.9	1877.58	1831.89	1876.39	1999.01	1832.86	2039.18	2380.94	2407.99	2464.79	2267.8	2633.65	1903.95	2335.02	1888.61	2474.16	1785.59	2029.1
A0A0G2JTM9	A0A0G2JTM9	A0A0G2JTM9_RAT	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14	1704.96	1556.86	1599.44	2097.74	1955.57	1916.47	2918.2	1826.72	2040.29	2428.46	1833.85	3844.45	2501.45	2647.11	2042.2	2444.95	1897.46	1760.81	2879.77	1767.68	2173.34	1671.47	2033.65	2166.83	1703.9	2239.82	994.411	1166.73	919.133	1415.49	2588.37	1591.85	1372.12	617.987	1502.1	1977.99
A0A0G2JTQ4	A0A0G2JTQ4	A0A0G2JTQ4_RAT	ENSRNOG00000070161	Olfactory receptor		527.59	745.48	678.885	438.296	679.869	1274.43	1231.87	1593.39	1081.83	1385.88	1255.82	1899.28	1874.15	1773.24	1282.11	1527	905.502	1372.6	2390.77	1648.46	1425.63	1675	1546.51	422.982	983.089	1125.87		708.623	581.035	670.854	577.312	1087.2	1001.36		
A0A0G2JTR4	A0A0G2JTR4	ABR_RAT	Abr	Active breakpoint cluster region-related protein	9554.01	8861.43	10044.1	9036.17	8500.25	9117.49	5225.39	7372.27	6067.39	6199.45	6376.05	7618.31	9304.56	8800.25	8711.81	7587.97	7182.19	8900.91	8284.27	7927.93	8752.01	9063.11	7481.88	8634.66	8364.74	7679.92	7256.17	8658.06	8564.56	7782.98	6001.39	5862.7	5816.13	6067.8	5694.62	5374.95
A0A0G2JTT6	A0A0G2JTT6	A0A0G2JTT6_RAT	Herc1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	3610.09	3757.91	3709.45	3526.31	3479.3	3545.14	3816.72	3617.27	4247.27	3571.98	3988.96	3631.64	3669.31	3977.43	3702.74	3719.04	3747.22	3377.17	3305.29	3271.11	3216.64	3703.06	2977.87	3610.39	2424.84	2751.57	2761.93	2996.62	3024.98	2448.28	1795.53	1905.41	1920.84	2010.67	2367.02	2198.48
