Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
A0A0G2JTM9	A0A0G2JTM9	A0A0G2JTM9_RAT	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14																																							
A0A0G2JTQ4	A0A0G2JTQ4	A0A0G2JTQ4_RAT	ENSRNOG00000070161	Olfactory receptor																																							
A0A0G2JTR4	A0A0G2JTR4	ABR_RAT	Abr	Active breakpoint cluster region-related protein	1753.11	11774.7										1885.96								4044.54							1267.39			454.08	2391.61	2882.24				649.526			
A0A0G2JTT6	A0A0G2JTT6	A0A0G2JTT6_RAT	Herc1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1																																							
A0A0G2JTW1	A0A0G2JTW1	A0A0G2JTW1_RAT	Rap2a	Ras-related protein Rap-2																																							
A0A0G2JTX2	A0A0G2JTX2	A0A0G2JTX2_RAT	Praf2	PRA1 family protein	5206.79	3245.84			9211.79	2358.12			7817.76	20136.9	5626.45	4982.42		4367.41	2688.6	6108.85							334.889		2328.44		373.44			521.563	790.803					845.179	1667.54	1224.25	
A0A0G2JTY4	A0A0G2JTY4	A0A0G2JTY4_RAT	Nfatc3	Nuclear factor of activated T-cells 3																																							
A0A0G2JU09	A0A0G2JU09	A0A0G2JU09_RAT	Ep400	E1A binding protein p400																																							
A0A0G2JU43	A0A0G2JU43	A0A0G2JU43_RAT	LOC100361920	Dynein light chain 1-like																																							
A0A0G2JU45	A0A0G2JU45	A0A0G2JU45_RAT	Trmt5	tRNA (guanine(37)-N1)-methyltransferase																																							
A0A0G2JU49	A0A0G2JU49	A0A0G2JU49_RAT	Mtx1	Metaxin 1	675.824	1163.65			1214.46	2646.88				3148.58						5278.78		1223.78	3985.99			6545.53			2138.8		2015.64		420.978	2232.81	1151.16				4254.42	702.621	2699.96	1925.66	
A0A0G2JU78	A0A0G2JU78	A0A0G2JU78_RAT	Zfp280d	Zinc finger protein 280D																																							
A0A0G2JU91	A0A0G2JU91	A0A0G2JU91_RAT	Ncor2	Nuclear receptor co-repressor 2																																							
A0A0G2JUA5	A0A0G2JUA5	A0A0G2JUA5_RAT	Ahnak	AHNAK nucleoprotein	54846.9	67418.5	319153	51143.4	79411.1	67351.1	75796.1	60239.1	101021	62971.6	74592.1	121745	28259.6	36179.3	108075	18207.6	93801.7	60839.6	15963	42098.5	68927.6	40073.9	60395.2	71803.8	77573	30468.8	74799.1	58418.4	69702.1	41945.5	42796.3	61754.6	48418.2	69373.4	55727.9	60543.9	68325.9	59842.2	68228.2
A0A0G2JUB4	A0A0G2JUB4	A0A0G2JUB4_RAT	Acat2l1	Acetyl-CoA acetyltransferase 2-like 1																																							
A0A0G2JUC8	A0A0G2JUC8	A0A0G2JUC8_RAT	Rbx1	Ring-box 1																																							
A0A0G2JUC9	A0A0G2JUC9	A0A0G2JUC9_RAT	Herc2	HECT-type E3 ubiquitin transferase		3343.31																				5774.57														1211.67			
A0A0G2JUE9	A0A0G2JUE9	A0A0G2JUE9_RAT	Or5b104b	Olfactory receptor 1442	578.132		1932.77		1441.49		2987.04				2112.88	3354.88									4168.56	1018.37	2154.81											1872.61	4395.53	1498.78	3398.17		
A0A0G2JUF2	A0A0G2JUF2	A0A0G2JUF2_RAT	Snx30	Sorting nexin family member 30																																							
A0A0G2JUG1;A0A8I6AKV3	A0A0G2JUG1;A0A8I6AKV3	A0A0G2JUG1_RAT;A0A8I6AKV3_RAT	AABR07001416.1;ENSRNOG00000069066	IF rod domain-containing protein			4030.49		1957.2		4886.88				3015.8				1553.11		1675.14	1601.27	1594.15	2149.89		952.672	309.384	525.649			608.22	3840.79		992.273	925.138	1787.01						1010.68	3142.49
A0A0G2JUG6	A0A0G2JUG6	A0A0G2JUG6_RAT	Rac3	Rac family small GTPase 3	2041.59	4223.45			1534.46																						842.669		1982.34										
A0A0G2JUH4	A0A0G2JUH4	A0A0G2JUH4_RAT	Pnkp	Polynucleotide kinase 3'-phosphatase					26885.4																											4723.55	1949.07			2199.45			
A0A0G2JUH8	A0A0G2JUH8	A0A0G2JUH8_RAT	Snx13	Sorting nexin 13																																							
A0A0G2JUT7	A0A0G2JUT7	A0A0G2JUT7_RAT	B3glct	Beta 3-glucosyltransferase	2942.66												1078.64																										
A0A0G2JUU7	A0A0G2JUU7	A0A0G2JUU7_RAT	Tubgcp3	Gamma-tubulin complex component																																							
A0A0G2JUV4	A0A0G2JUV4	A0A0G2JUV4_RAT	Mrpl1	Mitochondrial ribosomal protein L1	469.71								3107.29			2852.72	2322.37												2180						3452.92					2572.88			
A0A0G2JUV7	A0A0G2JUV7	A0A0G2JUV7_RAT	Cep85	Centrosomal protein 85																																							
A0A0G2JV04	A0A0G2JV04	GGA3_RAT	Gga3	ADP-ribosylation factor-binding protein GGA3	981.992																																			741.086		887.74	
A0A0G2JV05	A0A0G2JV05	A0A0G2JV05_RAT	Mroh1	Maestro heat-like repeat family member 1																														841.977									
A0A0G2JV76	A0A0G2JV76	A0A0G2JV76_RAT	Lig3	DNA ligase		1137.11													29678.2								26974.1				1189.4		2864.84	14050.8	1685.03	2567.28							
A0A0G2JV99	A0A0G2JV99	A0A0G2JV99_RAT	Mcm3ap	Minichromosome maintenance complex component 3 associated protein	3438.8				1707.05								1818.79														913.621			959.344									
A0A0G2JVA8	A0A0G2JVA8	A0A0G2JVA8_RAT	Krt90	Type II keratin Kb15	2024.67		6609.19		4899.69			8178.33	1822.18	8195.55	3106.93			8668		4602.54				6158.2		4213.13	4480.02		5453.82	7030.98					3593.85				3040.27	1469.63		3464.07	20108.2
A0A0G2JVC4	A0A0G2JVC4	A0A0G2JVC4_RAT	Cgas	Cyclic GMP-AMP synthase																																							
A0A0G2JVD3	A0A0G2JVD3	A0A0G2JVD3_RAT	Arid1b	AT-rich interaction domain 1B																											2380.29									1303.61	1562.81		
A0A0G2JVD6	A0A0G2JVD6	A0A0G2JVD6_RAT	Kmt2d	[histone H3]-lysine(4) N-methyltransferase																																							
A0A0G2JVI4	A0A0G2JVI4	A0A0G2JVI4_RAT	Fcsk	Fucose kinase																											1619.19												
A0A0G2JVL5	A0A0G2JVL5	A0A0G2JVL5_RAT	Rimoc1	Similar to expressed sequence AW549877																																							
A0A0G2JVL6	A0A0G2JVL6	A0A0G2JVL6_RAT	Ndufa8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8					16418.1						15172.5												4594.29				7015.8									5427.11	10343	6433.91	
A0A0G2JVM2	A0A0G2JVM2	A0A0G2JVM2_RAT	Mia3	MIA SH3 domain ER export factor 3	2074.76	4256.98			2613.7			2295.46	5202.69	7495.92	3615.25	4954.99	1891.01	5372.92	1304.97	6914.59		5929.05				5341.34	7135.98		7435		1885.61	6177.77	5189.19	4752.43	3251.62	6091.05		1955.89		3346.75	3410.06	3374.85	
A0A0G2JVP1	A0A0G2JVP1	A0A0G2JVP1_RAT	Vrk2	VRK serine/threonine kinase 2																														1228.15	1500.7						1678.9		
A0A0G2JVP5	A0A0G2JVP5	A0A0G2JVP5_RAT	Paip1	Poly(A) binding protein interacting protein 1	4433.32				2597.15																						1027.25			1911.98		6588.88	3258.89			2441.99			
A0A0G2JVY4	A0A0G2JVY4	A0A0G2JVY4_RAT	Tmem63a	Transmembrane protein 63a																																					453.619		
A0A0G2JVY9	A0A0G2JVY9	A0A0G2JVY9_RAT	Ccna2	Cyclin-A2																																							
A0A0G2JVZ2	A0A0G2JVZ2	A0A0G2JVZ2_RAT	Tlx2	T-cell leukemia homeobox 2																																							
A0A0G2JW03	A0A0G2JW03	A0A0G2JW03_RAT	Lpin1	phosphatidate phosphatase	2298.85				4488.85																		3535.61							2834.11	2202.9					1588.45			
A0A0G2JW32	A0A0G2JW32	A0A0G2JW32_RAT	LOC120095902	Paired immunoglobulin-like type 2 receptor beta																																							
A0A0G2JWA3	A0A0G2JWA3	A0A0G2JWA3_RAT	Xpo7	Exportin 7					2371.96	2887.36					5961.76				2777.58	2906.63	8777.14	7396.94							3410.02		1566.86	7482.79		3364.63	2104.4			22018.8	2890.5	2958.38	1731.36		
A0A0G2JWG1	A0A0G2JWG1	A0A0G2JWG1_RAT	Man2a2	Alpha-mannosidase	2228.51																													1528.96						2495.46			
A0A0G2JWH3	A0A0G2JWH3	A0A0G2JWH3_RAT	Ncapd2	Condensin complex subunit 1																									6825.18		3650.9										4922.7		
A0A0G2JWJ1	A0A0G2JWJ1	A0A0G2JWJ1_RAT	Kif26a	Kinesin family member 26A																																							
A0A0G2JWJ3	A0A0G2JWJ3	A0A0G2JWJ3_RAT	Mid2	RING-type E3 ubiquitin transferase																																							
A0A0G2JWK6	A0A0G2JWK6	A0A0G2JWK6_RAT	Amer2	APC membrane recruitment protein 2					443.853																																		
A0A0G2JWN4	A0A0G2JWN4	A0A0G2JWN4_RAT	Actmap	Actin maturation protease		8128.4			4505.85																5941.1						1711.66		9912.63	7609.39									
A0A0G2JWQ0	A0A0G2JWQ0	A0A0G2JWQ0_RAT	Gtf2h1	General transcription factor IIH subunit 1																																							
A0A0G2JWT6	A0A0G2JWT6	A0A0G2JWT6_RAT	Pex16	Peroxisomal membrane protein PEX16																																							
A0A0G2JWW8	A0A0G2JWW8	A0A0G2JWW8_RAT	Med30	Mediator of RNA polymerase II transcription subunit 30																																							
A0A0G2JWX2	A0A0G2JWX2	A0A0G2JWX2_RAT	Lama2	Laminin subunit alpha 2																																							
A0A0G2JX20	A0A0G2JX20	A0A0G2JX20_RAT	Katnb1	Katanin p80 WD40 repeat-containing subunit B1					849.903																																		
A0A0G2JX31	A0A0G2JX31	A0A0G2JX31_RAT	Pot1	Protection of telomeres protein 1	1693.69	1903.34	2840.67	8622.08	3272.51	6303.76	4585.76	10820.7	6010.91	5362.19	3471.71		5902.19	6688.77	1606.84	1908.59	4309.64	3159.31	9802.47	4283.69	5930.31	3208			4311					1853.12	1350.28	892.053	9740.19	2939.86	6745.48	936.784		1441.33	5657.54
A0A0G2JX94	A0A0G2JX94	A0A0G2JX94_RAT	Amot	Angiomotin																																							
A0A0G2JXC5	A0A0G2JXC5	A0A0G2JXC5_RAT	Mrtfa	Myocardin related transcription factor A																																							
A0A0G2JXD9	A0A0G2JXD9	A0A0G2JXD9_RAT	Dop1b	DOP1 leucine zipper like protein B																																							
A0A0G2JXG7	A0A0G2JXG7	A0A0G2JXG7_RAT	Carmil1	Capping protein regulator and myosin 1 linker 1		1072.06					2199.87						28146.5	1459.4													31694.9				13572.4		17905.5						
A0A0G2JXI6	A6HAQ2;A0A0G2JXI6	A0A0G2JXI6_RAT	Cyrib	CYFIP related Rac1 interactor B	912.223				1762.69				492.839		123.073	1200.06	5039.39		235.486			1149.04					1148.32	2947.73			403.885			1050.71			554.153			1355.76		998.864	
A0A0G2JXJ6	A0A0G2JXJ6	A0A0G2JXJ6_RAT	Ttc7b	Tetratricopeptide repeat domain 7B																																							
A0A0G2JXK2	A0A0G2JXK2	A0A0G2JXK2_RAT	Bcap31	B-cell receptor-associated protein	9094.46	17679	18301.2	871.918	11545.7	9086.52		6483.48	11157.8	14859.7	6649.45	4627.52	10301.5	9940.18	12646.2	14841.5		3363.03	13757.2	15388	966.116	10603.1	12888.5	8196.36	7206.12	7828.28	10469.8	5939.52	5644.38	12307.8	6226.44	15074.2	17341.9	13915.6	10508.8	9248.86	18005.3	12948.9	
A0A0G2JXM1	A0A0G2JXM1	A0A0G2JXM1_RAT	Ctnnd1	Catenin delta 1	2113.55	16883.3	5615.7		8631.22				4261.84		938.094	7485.75	4870.67	4110.62	8852.19		7467.54	2540.26	3144.68		2874.61		2739.98				4462.91			4746.59	5376.94		4280.37	2926	6395.91	1792.3	1656.6	7683.93	
A0A0G2JXM2	A0A0G2JXM2	A0A0G2JXM2_RAT	Ccnt1	Cyclin-T1																																		15829.1					
A0A0G2JXM5	A0A0G2JXM5	A0A0G2JXM5_RAT	Poldip3	DNA polymerase delta interacting protein 3											2135.67		850.133				17541.6			16653.4			479.916				2469.42					9052.57				1595.24	1424.5	2744.74	
A0A0G2JXN2	A0A0G2JXN2	TRI46_RAT	Trim46	Tripartite motif-containing protein 46																																							
A0A0G2JXN8	A0A0G2JXN8	A0A0G2JXN8_RAT	Osbpl8	Oxysterol-binding protein																						1929.52							3174.74							1558.35			
A0A0G2JXS2	A0A0G2JXS2	A0A0G2JXS2_RAT	Kri1	Protein KRI1 homolog																															1147.88		4130.99			352.017			
A0A0G2JXS3	A0A0G2JXS3	A0A0G2JXS3_RAT	Nusap1	Nucleolar and spindle associated protein 1																		3892.48									456.419											2799.35	
A0A0G2JXT6	A0A0G2JXT6	MTMR6_RAT	Mtmr6	Myotubularin-related protein 6																																						1363.14	
