Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	PC12_day6_1_1 Spectral Count	PC12_day6_2_2 Spectral Count	PC12_day6_3_3 Spectral Count	PC12_undiff_1_1 Spectral Count	PC12_undiff_2_2 Spectral Count	PC12_undiff_3_3 Spectral Count	PC12_day6_1_1 Unique Spectral Count	PC12_day6_2_2 Unique Spectral Count	PC12_day6_3_3 Unique Spectral Count	PC12_undiff_1_1 Unique Spectral Count	PC12_undiff_2_2 Unique Spectral Count	PC12_undiff_3_3 Unique Spectral Count	PC12_day6_1_1 Total Spectral Count	PC12_day6_2_2 Total Spectral Count	PC12_day6_3_3 Total Spectral Count	PC12_undiff_1_1 Total Spectral Count	PC12_undiff_2_2 Total Spectral Count	PC12_undiff_3_3 Total Spectral Count	PC12_day6_1_1 Intensity	PC12_day6_2_2 Intensity	PC12_day6_3_3 Intensity	PC12_undiff_1_1 Intensity	PC12_undiff_2_2 Intensity	PC12_undiff_3_3 Intensity	PC12_day6_1_1 MaxLFQ Intensity	PC12_day6_2_2 MaxLFQ Intensity	PC12_day6_3_3 MaxLFQ Intensity	PC12_undiff_1_1 MaxLFQ Intensity	PC12_undiff_2_2 MaxLFQ Intensity	PC12_undiff_3_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1A5R1|RFOX2_RAT	A1A5R1	RFOX2_RAT	Rbfox2	432	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	RNA binding protein fox-1 homolog 2	1.0	0.999	6	29	17	29	6	4	5	3	5	6	3	1	3	3	3	4	6	4	5	3	5	6	23262.463	33147.25	26997.402	7000.4155	32392.492	32758.77	13323.804	12725.289	12797.341	0.0	13996.171	15164.491	
sp|A1A5S1|PRP6_RAT	A1A5S1	PRP6_RAT	Prpf6	941	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Pre-mRNA-processing factor 6	1.0	0.999	20	101	101	101	15	14	17	17	16	22	15	14	17	17	16	22	15	14	17	17	16	22	495800.6	308325.72	303531.38	307936.06	270882.03	501746.2	87106.67	86435.82	82276.914	99003.61	85986.08	87913.48	
sp|A1EC95|HEAT6_RAT	A1EC95	HEAT6_RAT	Heatr6	1252	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	HEAT repeat-containing protein 6	1.0	0.999	4	12	12	12	2	3	1	2	2	2	2	3	1	2	2	2	2	3	1	2	2	2	21767.994	11768.258	11507.402	11928.897	10519.642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1IGU3|ARH37_RAT	A1IGU3	ARH37_RAT	Arhgef37	676	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Rho guanine nucleotide exchange factor 37	1.0	0.999	3	10	10	10	0	0	0	2	3	5	0	0	0	2	3	5	0	0	0	2	3	5	10417.717	5842.473	0.0	26343.97	17583.71	46557.086	0.0	0.0	0.0	14875.901	17424.5	19702.33	
sp|A1L108|ARP5L_RAT	A1L108	ARP5L_RAT	Arpc5l	153	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 5-like protein	0.9749	0.999	1	7	7	7	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	15447.802	15160.481	14626.653	21518.988	22258.12	27180.244	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L134|AUP1_RAT	A1L134	AUP1_RAT	Aup1	410	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Lipid droplet-regulating VLDL assembly factor AUP1	1.0	0.999	3	12	12	12	1	4	1	3	1	2	1	4	1	3	1	2	1	4	1	3	1	2	33172.5	32936.043	11445.177	26518.947	21027.3	25048.98	23164.844	22633.428	0.0	16491.016	0.0	16711.81	
sp|A1L1I3|NUMBL_RAT	A1L1I3	NUMBL_RAT	Numbl	614	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Numb-like protein	0.9555	0.9982	1	8	8	8	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	31260.676	33383.297	34727.84	17499.549	20851.113	20751.564	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L1J9|LMF2_RAT	A1L1J9	LMF2_RAT	Lmf2	702	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Lipase maturation factor 2	1.0	0.999	5	24	24	24	4	5	5	4	3	3	4	5	5	4	3	3	4	5	5	4	3	3	91636.75	87082.62	99093.27	54828.27	27080.836	44784.22	27588.557	29003.506	32619.453	26001.135	29395.406	25018.22	
sp|A1L1K3|APC5_RAT	A1L1K3	APC5_RAT	Anapc5	727	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Anaphase-promoting complex subunit 5	1.0	0.999	4	12	12	12	2	2	2	3	2	1	2	2	2	3	2	1	2	2	2	3	2	1	13123.488	19048.533	22940.41	13998.198	10802.169	10879.875	0.0	12039.9795	14685.701	0.0	0.0	0.0	
sp|A1L1K4|C42S2_RAT	A1L1K4	C42S2_RAT	Cdc42se2	83	Rattus norvegicus OX=10116	3:Protein inferred from homology	CDC42 small effector protein 2	0.9422	0.9976	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	2454.1335	5546.392	7685.547	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L1L2|TM214_RAT	A1L1L2	TM214_RAT	Tmem214	685	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Transmembrane protein 214	1.0	0.999	6	19	19	19	2	2	2	5	4	4	2	2	2	5	4	4	2	2	2	5	4	4	36646.984	16704.318	15919.382	34176.17	40648.438	38181.258	14419.689	0.0	0.0	17665.057	17731.506	15625.183	
sp|A2RRU1|GYS1_RAT	A2RRU1	GYS1_RAT	Gys1	738	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Glycogen [starch] synthase, muscle	1.0	0.999	7	29	23	29	5	4	7	5	5	3	4	2	5	4	5	3	5	4	7	5	5	3	97388.62	82832.82	107809.05	108283.45	64214.617	82830.18	26441.836	21965.596	23619.361	25699.385	21743.059	24504.602	
sp|A2RRU3|UTP15_RAT	A2RRU3	UTP15_RAT	Utp15	528	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	U3 small nucleolar RNA-associated protein 15 homolog	1.0	0.999	5	21	21	21	4	1	3	3	4	6	4	1	3	3	4	6	4	1	3	3	4	6	49886.344	43606.125	39956.6	49786.875	58571.65	74851.805	23899.795	20801.824	20974.125	25694.098	23688.744	23894.836	
sp|A2RUV9|AEBP1_RAT	A2RUV9	AEBP1_RAT	Aebp1	1128	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Adipocyte enhancer-binding protein 1	1.0	0.999	5	14	12	14	5	3	1	1	2	2	4	2	1	1	2	2	5	3	1	1	2	2	65376.8	67149.68	33029.49	23396.643	27477.121	39688.855	30529.883	26175.053	0.0	0.0	0.0	24535.502	
sp|A2RUW1|TOLIP_RAT	A2RUW1	TOLIP_RAT	Tollip	274	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Toll-interacting protein	1.0	0.999	5	23	23	23	3	3	6	5	4	2	3	3	6	5	4	2	3	3	6	5	4	2	56578.99	49966.56	61606.824	41358.223	50872.28	51056.367	20321.543	18617.32	18913.75	14950.584	21491.76	24481.46	
sp|A2VCX1|TIPRL_RAT	A2VCX1	TIPRL_RAT	Tiprl	271	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	TIP41-like protein	1.0	0.999	4	33	33	33	5	3	5	6	7	7	5	3	5	6	7	7	5	3	5	6	7	7	39637.23	33828.754	47515.004	62009.984	48745.156	50197.94	13812.548	12615.147	16799.984	19778.965	15867.243	19094.428	
sp|A4KWA5|CL2D2_RAT	A4KWA5	CL2D2_RAT	Clec2d2	233	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	C-type lectin domain family 2 member D2	0.9661	0.9986	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3525.1584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q5M9I1|CL2DR_RAT
sp|A4KWA8|CL2D6_RAT	A4KWA8	CL2D6_RAT	Clec2d6	233	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	C-type lectin domain family 2 member D6	0.9134	0.9963	1	3	0	3	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	5287.1245	6927.541	14661.877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q925N7|CL2D5_RAT
sp|A4L9P7|PDS5A_RAT	A4L9P7	PDS5A_RAT	Pds5a	1333	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	9	31	31	31	2	2	3	7	8	9	2	2	3	7	8	9	2	2	3	7	8	9	6796.1177	27941.957	17214.342	53011.203	83674.37	76103.35	0.0	9332.443	9263.952	19496.115	20174.625	21243.904	
sp|A6ZIQ8|TM38A_RAT	A6ZIQ8	TM38A_RAT	Tmem38a	297	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Trimeric intracellular cation channel type A	0.9999	0.999	2	6	6	6	1	2	2	0	0	1	1	2	2	0	0	1	1	2	2	0	0	1	27753.559	46548.457	52089.74	0.0	0.0	15879.743	0.0	24790.566	27907.201	0.0	0.0	0.0	
sp|A7VJC2|ROA2_RAT	A7VJC2	ROA2_RAT	Hnrnpa2b1	353	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins A2/B1	1.0	0.999	28	359	188	359	54	52	52	63	70	68	28	24	29	35	37	35	54	52	52	63	70	68	1952030.2	2006667.1	1852746.1	1912245.2	2052592.9	2184533.0	541582.6	591672.6	551152.8	598030.94	642478.75	641492.2	
sp|A8IHN8|CK096_RAT	A8IHN8	CK096_RAT	Ag2	242	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Uncharacterized protein C11orf96 homolog	1.0	0.999	2	8	8	8	2	2	2	1	1	0	2	2	2	1	1	0	2	2	2	1	1	0	28912.703	44131.492	28077.666	11105.466	11269.681	10390.276	16613.24	24136.285	16084.454	0.0	0.0	0.0	
sp|A8WCF8|TPRGL_RAT	A8WCF8	TPRGL_RAT	Tprg1l	266	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Tumor protein p63-regulated gene 1-like protein	0.9377	0.9974	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	2601.1074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0BN18|PFD2_RAT	B0BN18	PFD2_RAT	Pfdn2	154	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Prefoldin subunit 2	1.0	0.999	9	94	94	94	14	15	16	15	19	15	14	15	16	15	19	15	14	15	16	15	19	15	464344.94	456758.03	434437.9	447468.97	421472.16	440936.44	117574.414	129363.1	112978.5	106544.62	109889.7	110102.02	
sp|B0BN49|RBMX2_RAT	B0BN49	RBMX2_RAT	Rbmx2	328	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	RNA-binding motif protein, X-linked 2	0.9749	0.999	1	7	7	7	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	9313.054	6838.9873	8641.86	11947.024	10424.414	11447.483	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0BN56|RT31_RAT	B0BN56	RT31_RAT	Mrps31	387	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Small ribosomal subunit protein mS31	1.0	0.999	3	8	8	8	1	2	0	2	2	1	1	2	0	2	2	1	1	2	0	2	2	1	28919.32	22742.57	0.0	5474.9604	17110.111	26525.375	9056.839	10394.04	0.0	0.0	15109.667	14140.068	
sp|B0BN72|MCRI1_RAT	B0BN72	MCRI1_RAT	Mcrip1	97	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0	0.999	4	23	23	23	3	4	4	3	5	4	3	4	4	3	5	4	3	4	4	3	5	4	77348.53	96413.94	88998.9	107843.68	103165.164	127292.914	32236.977	31126.674	31179.31	39164.2	46828.22	44019.223	
sp|B0BN85|SGT1_RAT	B0BN85	SGT1_RAT	Sugt1	336	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Protein SGT1 homolog	1.0	0.999	12	64	64	64	11	13	9	10	12	9	11	13	9	10	12	9	11	13	9	10	12	9	371703.5	346151.4	180205.73	353380.34	168795.39	176179.19	107744.086	88819.0	96654.38	102740.24	79209.54	83004.664	
sp|B0BN86|TMM11_RAT	B0BN86	TMM11_RAT	Tmem11	190	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Transmembrane protein 11, mitochondrial	1.0	0.999	5	21	11	21	4	4	5	3	2	3	2	2	2	1	2	2	4	4	5	3	2	3	145633.78	125264.79	140831.03	84067.45	54325.93	70292.19	52138.387	52388.734	48661.184	35428.645	35156.45	30630.547	
sp|B0BN93|PSD13_RAT	B0BN93	PSD13_RAT	Psmd13	376	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 13	1.0	0.999	18	119	119	119	18	19	22	20	21	19	18	19	22	20	21	19	18	19	22	20	21	19	413247.5	459511.72	393607.72	361202.75	308622.66	295867.84	50954.45	53584.223	49026.27	45674.207	45506.37	47233.16	
sp|B0BN94|F136A_RAT	B0BN94	F136A_RAT	Fam136a	138	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Protein FAM136A	1.0	0.999	5	20	20	20	4	3	6	1	4	2	4	3	6	1	4	2	4	3	6	1	4	2	79722.98	83424.43	68115.05	28643.016	32995.93	35645.684	34608.438	32776.34	35556.24	17910.85	18858.062	20256.422	
sp|B0BNA5|COTL1_RAT	B0BNA5	COTL1_RAT	Cotl1	142	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Coactosin-like protein	1.0	0.999	7	45	45	45	7	6	7	8	8	9	7	6	7	8	8	9	7	6	7	8	8	9	137405.16	114741.695	119578.164	130074.445	114403.9	146939.23	48040.11	40598.08	47676.797	58585.168	48464.76	46630.31	
sp|B0BNA7|EIF3I_RAT	B0BNA7	EIF3I_RAT	Eif3i	325	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit I	1.0	0.999	11	83	83	83	12	11	12	13	19	16	12	11	12	13	19	16	12	11	12	13	19	16	335616.72	392754.0	391131.97	412168.28	437594.34	444578.62	81929.93	91349.3	98583.01	104890.23	106308.43	104995.81	
sp|B0BNA9|CNO11_RAT	B0BNA9	CNO11_RAT	Cnot11	504	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 11	0.9748	0.999	1	4	4	4	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	7504.3345	0.0	9273.589	14576.695	14831.272	15322.367	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0BNE2|RPAB1_RAT	B0BNE2	RPAB1_RAT	Polr2e	210	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1.0	0.999	5	30	30	30	5	4	5	6	5	5	5	4	5	6	5	5	5	4	5	6	5	5	65983.82	71932.99	76924.12	76828.66	58176.094	104000.195	30787.258	33762.82	34247.445	34065.266	45375.03	44717.004	
sp|B0BNE5|ESTD_RAT	B0BNE5	ESTD_RAT	Esd	282	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	S-formylglutathione hydrolase	1.0	0.999	7	51	51	51	11	5	7	10	8	10	11	5	7	10	8	10	11	5	7	10	8	10	224277.8	156761.5	183065.75	188135.97	158148.52	149697.72	62342.168	52139.42	52325.34	50176.348	54140.027	49928.223	
sp|B0BNF1|SEPT8_RAT	B0BNF1	SEPT8_RAT	Septin8	442	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Septin-8	1.0	0.999	11	31	31	64	4	6	4	4	6	7	4	6	4	4	6	7	9	13	10	11	10	11	41717.902	62104.824	37823.523	45670.89	45997.938	75859.68	15120.56	12410.416	15239.544	16818.816	15826.668	16908.477	
sp|B0BNG0|EMC2_RAT	B0BNG0	EMC2_RAT	Emc2	297	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	ER membrane protein complex subunit 2	1.0	0.999	4	19	19	19	3	4	4	3	4	1	3	4	4	3	4	1	3	4	4	3	4	1	121551.7	120943.09	62540.72	87741.25	35013.098	61929.47	50070.742	49456.03	43164.78	36047.996	30778.729	41498.555	
sp|B0BNM1|NNRE_RAT	B0BNM1	NNRE_RAT	Naxe	282	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	NAD(P)H-hydrate epimerase	1.0	0.999	8	65	65	65	12	12	12	7	10	12	12	12	12	7	10	12	12	12	12	7	10	12	169165.6	160956.81	160649.16	158148.3	173673.25	178326.17	64227.08	68714.49	68111.39	68272.69	78258.1	77686.516	
sp|B0K019|BAG1_RAT	B0K019	BAG1_RAT	Bag1	358	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	BAG family molecular chaperone regulator 1	0.9732	0.9989	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9213.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0K020|CISD1_RAT	B0K020	CISD1_RAT	Cisd1	108	Rattus norvegicus OX=10116	3:Protein inferred from homology	CDGSH iron-sulfur domain-containing protein 1	1.0	0.999	7	65	65	65	15	13	12	7	10	8	15	13	12	7	10	8	15	13	12	7	10	8	355642.66	328046.75	274991.38	196174.89	202145.17	216512.22	66776.39	64666.16	63874.598	49681.75	46269.316	47000.555	
sp|B0K025|OSTC_RAT	B0K025	OSTC_RAT	Ostc	149	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Oligosaccharyltransferase complex subunit	0.9998	0.999	2	12	10	12	3	2	3	3	0	1	3	2	2	2	0	1	3	2	3	3	0	1	46903.242	48182.836	58896.605	42413.555	0.0	43402.633	0.0	0.0	45953.35	32928.98	0.0	0.0	
sp|B0LT89|STK24_RAT	B0LT89	STK24_RAT	Stk24	431	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Serine/threonine-protein kinase 24	1.0	0.999	11	30	30	69	8	6	5	4	3	4	8	6	5	4	3	4	13	11	10	11	10	14	83236.43	81037.805	80948.875	47527.797	24046.49	82527.27	26204.748	28025.203	28685.79	17478.727	13508.5205	24881.916	
sp|B1H267|SNX5_RAT	B1H267	SNX5_RAT	Snx5	404	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Sorting nexin-5	1.0	0.999	7	24	24	24	4	3	3	6	4	4	4	3	3	6	4	4	4	3	3	6	4	4	58890.29	36586.64	24708.27	94202.49	52972.223	72795.18	16713.998	14118.048	14839.3545	22828.143	26661.857	26513.07	
sp|B1H268|MCMBP_RAT	B1H268	MCMBP_RAT	Mcmbp	642	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Mini-chromosome maintenance complex-binding protein	1.0	0.999	9	31	31	31	1	4	2	9	9	6	1	4	2	9	9	6	1	4	2	9	9	6	58596.477	99613.71	40464.227	154984.0	162414.11	170550.77	37151.47	31583.77	30593.979	46201.04	48106.06	49300.746	
sp|B1WBV0|CTU1_RAT	B1WBV0	CTU1_RAT	Ctu1	382	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Cytoplasmic tRNA 2-thiolation protein 1	0.9539	0.9981	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	13613.264	21834.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
