Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens OX=9606	POTE ankyrin domain family member F 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	2	2	2	     0	     0	     0			
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9978	6	6	6	6	6	6	     0	     0	     0	1C(57.0214)		
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	7C(57.0214)		
sp|A8K0Z3|WASH1_HUMAN	A8K0Z3	WASH1_HUMAN	WASHC1	465	Homo sapiens OX=9606	WASH complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9989	4	0	4	4	0	4	     0	     0	     0			sp|C4AMC7|WASH3_HUMAN, sp|Q6VEQ5|WASH2_HUMAN
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	Putative small nuclear ribonucleoprotein G-like protein 15 	5:Protein uncertain	1.0000	0.9990	4	0	4	6	0	6	     0	     0	     0	6M(15.9949)		sp|P62308|RUXG_HUMAN
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	18	0	18	     0	     0	     0	1C(57.0214), 2C(57.0214)		sp|Q99613|EIF3C_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens OX=9606	Mapk-regulated corepressor-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	     0	     0	     0			
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	6	1	6	     0	     0	     0			
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	SLC35A4 upstream open reading frame protein 	3:Protein inferred from homology	1.0000	0.9982	5	5	5	5	5	5	     0	     0	     0			
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens OX=9606	Deoxyribonuclease-2-alpha 	1:Experimental evidence at protein level	1.0000	0.9983	2	2	2	2	2	2	     0	     0	     0	5C(57.0214)		
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0214), 6C(57.0214)		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9977	2	2	2	2	2	2	     0	     0	     0	2C(57.0214)		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	30	30	30	     0	     0	     0	10C(57.0214), 11C(57.0214), 12C(57.0214), 14C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	13	13	13	     0	     0	     0	3C(57.0214), 7C(57.0214)		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	12C(57.0214)		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	13	13	13	     0	     0	     0	13C(57.0214)		
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0			
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens OX=9606	Ras-related protein Rab-27B 	1:Experimental evidence at protein level	1.0000	0.9977	3	2	3	3	2	3	     0	     0	     0			
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	AP-3 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9962	2	2	2	2	2	2	     0	     0	     0			
sp|O00204|ST2B1_HUMAN	O00204	ST2B1_HUMAN	SULT2B1	365	Homo sapiens OX=9606	Sulfotransferase 2B1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	2C(57.0214)		
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	2C(57.0214), 6C(57.0214)		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	12	12	12	     0	     0	     0	N-term(42.0106)		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	13	13	13	     0	     0	     0	7C(57.0214)		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	5C(57.0214)		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	Copper transport protein ATOX1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0	11C(57.0214), 14C(57.0214), 2C(57.0214)		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	14	13	14	     0	     0	     0	6C(57.0214)		
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens OX=9606	DNA fragmentation factor subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9974	2	2	2	2	2	2	     0	     0	     0	2C(57.0214), 9C(57.0214)		
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens OX=9606	Huntingtin-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	9C(57.0214)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	15	14	15	23	22	23	     0	     0	     0	12C(57.0214), 13C(57.0214), 3M(15.9949), 4C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	17	17	17	     0	     0	     0	2C(57.0214)		
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens OX=9606	Pyruvate dehydrogenase protein X component, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9983	2	2	2	2	2	2	     0	     0	     0	12C(57.0214)		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	Homo sapiens OX=9606	Actin nucleation-promoting factor WASL 	1:Experimental evidence at protein level	1.0000	0.9978	3	3	3	3	3	3	     0	     0	     0			
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	26	25	26	31	30	31	     0	     0	     0	11C(57.0214), 13C(57.0214), 16C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 9C(57.0214)		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0214)		
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	12	12	12	     0	     0	     0	15C(57.0214), 8C(57.0214)		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	18	18	18	     0	     0	     0	1C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9988	5	5	5	5	5	5	     0	     0	     0			
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9989	7	7	7	7	7	7	     0	     0	     0	11C(57.0214), 15C(57.0214), 17C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	Homo sapiens OX=9606	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	18	18	18	     0	     0	     0	10C(57.0214), 2C(57.0214), 7C(57.0214)		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	9C(57.0214)		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	15C(57.0214)		
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	Homo sapiens OX=9606	Myc box-dependent-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	4	4	4	     0	     0	     0	12C(57.0214)		
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens OX=9606	Syntenin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	N-term(42.0106)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	14	3	14	16	4	16	     0	     0	     0	2C(57.0214), 5C(57.0214)		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	6	3	6	     0	     0	     0			
sp|O00754|MA2B1_HUMAN	O00754	MA2B1_HUMAN	MAN2B1	1011	Homo sapiens OX=9606	Lysosomal alpha-mannosidase 	1:Experimental evidence at protein level	1.0000	0.9980	4	4	4	4	4	4	     0	     0	     0			
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0			
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	Homo sapiens OX=9606	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	11C(57.0214), 5C(57.0214)		
sp|O14521|DHSD_HUMAN	O14521	DHSD_HUMAN	SDHD	159	Homo sapiens OX=9606	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A-related protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens OX=9606	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	Homo sapiens OX=9606	Ubiquitin domain-containing protein UBFD1 	1:Experimental evidence at protein level	1.0000	0.9976	3	3	3	3	3	3	     0	     0	     0			
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	     0	     0	     0	11C(57.0214)		
sp|O14618|CCS_HUMAN	O14618	CCS_HUMAN	CCS	274	Homo sapiens OX=9606	Copper chaperone for superoxide dismutase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	3C(57.0214), 5C(57.0214)		
sp|O14639|ABLM1_HUMAN	O14639	ABLM1_HUMAN	ABLIM1	778	Homo sapiens OX=9606	Actin-binding LIM protein 1 	1:Experimental evidence at protein level	1.0000	0.9980	3	3	3	4	4	4	     0	     0	     0			
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	Homo sapiens OX=9606	Torsin-1A 	1:Experimental evidence at protein level	1.0000	0.9976	3	3	3	3	3	3	     0	     0	     0	3C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	336	Homo sapiens OX=9606	Torsin-1B 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens OX=9606	Disintegrin and metalloproteinase domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	20	20	20	     0	     0	     0	10C(57.0214), 14C(57.0214), 15C(57.0214), 20C(57.0214), 23C(57.0214), 24C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens OX=9606	Prostaglandin E synthase 	1:Experimental evidence at protein level	1.0000	0.9984	2	2	2	2	2	2	     0	     0	     0	7C(57.0214)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	14	13	14	     0	     0	     0	9M(15.9949), N-term(42.0106)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9986	4	4	4	4	4	4	     0	     0	     0	4C(57.0214)		
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0			
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	15	15	15	     0	     0	     0	6C(57.0214)		
sp|O14786|NRP1_HUMAN	O14786	NRP1_HUMAN	NRP1	923	Homo sapiens OX=9606	Neuropilin-1 	1:Experimental evidence at protein level	1.0000	0.9983	2	2	2	2	2	2	     0	     0	     0			
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	13	9	13	17	11	17	     0	     0	     0	2C(57.0214), 9C(57.0214)		
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0			
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens OX=9606	Microsomal glutathione S-transferase 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	21C(57.0214)		
sp|O14893|GEMI2_HUMAN	O14893	GEMI2_HUMAN	GEMIN2	280	Homo sapiens OX=9606	Gem-associated protein 2 	1:Experimental evidence at protein level	1.0000	0.9981	2	2	2	2	2	2	     0	     0	     0	8C(57.0214)		
sp|O14907|TX1B3_HUMAN	O14907	TX1B3_HUMAN	TAX1BP3	124	Homo sapiens OX=9606	Tax1-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	Homo sapiens OX=9606	PDZ domain-containing protein GIPC1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	11	0	11	     0	     0	     0	5C(57.0214), 8M(15.9949)		sp|P19105|ML12A_HUMAN
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	Homo sapiens OX=9606	Hepatocyte growth factor-regulated tyrosine kinase substrate 	1:Experimental evidence at protein level	1.0000	0.9990	13	12	13	15	14	15	     0	     0	     0	10C(57.0214), 2C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	15	14	15	18	17	18	     0	     0	     0	7C(57.0214)		
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	15	12	15	33	24	33	     0	     0	     0	1M(15.9949), 3C(57.0214), 4C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	11	11	11	     0	     0	     0	18C(57.0214), 6C(57.0214)		
sp|O15014|ZN609_HUMAN	O15014	ZN609_HUMAN	ZNF609	1411	Homo sapiens OX=9606	Zinc finger protein 609 	1:Experimental evidence at protein level	1.0000	0.9904	3	3	3	3	3	3	     0	     0	     0			
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	Homo sapiens OX=9606	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9989	10	10	10	10	10	10	     0	     0	     0	3C(57.0214), 7C(57.0214)		
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens OX=9606	Plexin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	10	10	     0	     0	     0	3C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	11	11	     0	     0	     0	15C(57.0214), 16C(57.0214)		
sp|O15126|SCAM1_HUMAN	O15126	SCAM1_HUMAN	SCAMP1	338	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	329	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0	12C(57.0214), 1C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0			
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0			
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens OX=9606	DNA-directed RNA polymerases I and III subunit RPAC1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0			
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens OX=9606	Prefoldin subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
