Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A9UHW6-2|MI4GD_HUMAN	A9UHW6-2	MI4GD_HUMAN	MIF4GD	256	Homo sapiens OX=9606	Isoform 2 of MIF4G domain-containing protein 		1.0000	0.9989	2	0	2	2	0	2	     0	     0	     0	15C(57.0214), 2C(57.0214)		sp|A9UHW6-3|MI4GD_HUMAN, sp|A9UHW6|MI4GD_HUMAN, tr|J3QRZ6|J3QRZ6_HUMAN
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	3:Protein inferred from homology	1.0000	0.9990	16	0	16	19	0	19	     0	     0	     0	1C(57.0214), 2C(57.0214)		sp|Q99613-2|EIF3C_HUMAN, sp|Q99613|EIF3C_HUMAN
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens OX=9606	Putative WAS protein family homolog 3 	1:Experimental evidence at protein level	1.0000	0.9988	4	0	4	4	0	4	     0	     0	     0			sp|Q6VEQ5|WASH2_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens OX=9606	Mapk-regulated corepressor-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	     0	     0	     0			tr|I3L2L5|I3L2L5_HUMAN, tr|I3L4Q0|I3L4Q0_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	8	0	8	     0	     0	     0			
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	SLC35A4 upstream open reading frame protein 	3:Protein inferred from homology	1.0000	0.9989	3	3	3	4	4	4	     0	     0	     0			
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	10C(57.0214), 5C(57.0214)		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	6	1	6	     0	     0	     0	2C(57.0214), N-term(42.0106)		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	19	19	19	     0	     0	     0	10C(57.0214), 11C(57.0214), 14C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O00154-4|BACH_HUMAN	O00154-4	BACH_HUMAN	ACOT7	338	Homo sapiens OX=9606	Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase 		1.0000	0.9990	8	0	8	10	0	10	     0	     0	     0			sp|O00154-5|BACH_HUMAN, sp|O00154-6|BACH_HUMAN, sp|O00154-7|BACH_HUMAN, sp|O00154|BACH_HUMAN
sp|O00159-2|MYO1C_HUMAN	O00159-2	MYO1C_HUMAN	MYO1C	1028	Homo sapiens OX=9606	Isoform 2 of Unconventional myosin-Ic 		1.0000	0.9990	19	0	19	23	0	23	     0	     0	     0	1C(57.0214), 7C(57.0214), 9C(57.0214)		sp|O00159-3|MYO1C_HUMAN, sp|O00159|MYO1C_HUMAN, tr|F5H6E2|F5H6E2_HUMAN
sp|O00161-2|SNP23_HUMAN	O00161-2	SNP23_HUMAN	SNAP23	158	Homo sapiens OX=9606	Isoform SNAP-23b of Synaptosomal-associated protein 23 		1.0000	0.9986	2	0	2	2	0	2	     0	     0	     0			sp|O00161|SNP23_HUMAN, tr|H3BM38|H3BM38_HUMAN, tr|H3BNE1|H3BNE1_HUMAN, tr|H3BPJ0|H3BPJ0_HUMAN, tr|H3BR18|H3BR18_HUMAN
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	4	2	4	     0	     0	     0			
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9986	4	4	4	4	4	4	     0	     0	     0	11C(57.0214)		
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens OX=9606	Ras-related protein Rab-27B 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0			
sp|O00203-3|AP3B1_HUMAN	O00203-3	AP3B1_HUMAN	AP3B1	1045	Homo sapiens OX=9606	Isoform 2 of AP-3 complex subunit beta-1 		1.0000	0.9990	10	0	10	10	0	10	     0	     0	     0	11C(57.0214)		sp|O00203|AP3B1_HUMAN
sp|O00204-2|ST2B1_HUMAN	O00204-2	ST2B1_HUMAN	SULT2B1	350	Homo sapiens OX=9606	Isoform 2 of Sulfotransferase family cytosolic 2B member 1 		1.0000	0.9990	5	0	5	5	0	5	     0	     0	     0	2C(57.0214)		sp|O00204|ST2B1_HUMAN
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	3	0	3	3	0	3	     0	     0	     0	2C(57.0214), 6C(57.0214)		tr|E9PKH6|E9PKH6_HUMAN, tr|E9PPW7|E9PPW7_HUMAN
sp|O00231-2|PSD11_HUMAN	O00231-2	PSD11_HUMAN	PSMD11	423	Homo sapiens OX=9606	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 		1.0000	0.9990	16	0	16	19	0	19	     0	     0	     0	8C(57.0214)		sp|O00231|PSD11_HUMAN
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	13	2	13	13	2	13	     0	     0	     0			
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	7	0	7	     0	     0	     0	11C(57.0214), 5C(57.0214)		tr|J3KN29|J3KN29_HUMAN
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	Copper transport protein ATOX1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0	2C(57.0214)		tr|E5RGN3|E5RGN3_HUMAN, tr|E5RIM7|E5RIM7_HUMAN
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	7	2	7	     0	     0	     0	6C(57.0214)		
sp|O00267-2|SPT5H_HUMAN	O00267-2	SPT5H_HUMAN	SUPT5H	1083	Homo sapiens OX=9606	Isoform 2 of Transcription elongation factor SPT5 		1.0000	0.9990	8	0	8	9	0	9	     0	     0	     0	7C(57.0214)		sp|O00267|SPT5H_HUMAN
sp|O00273-2|DFFA_HUMAN	O00273-2	DFFA_HUMAN	DFFA	268	Homo sapiens OX=9606	Isoform DFF35 of DNA fragmentation factor subunit alpha 		1.0000	0.9970	2	0	2	2	0	2	     0	     0	     0	5C(57.0214)		sp|O00273|DFFA_HUMAN
sp|O00291-3|HIP1_HUMAN	O00291-3	HIP1_HUMAN	HIP1	986	Homo sapiens OX=9606	Isoform 3 of Huntingtin-interacting protein 1 		1.0000	0.9990	6	0	6	7	0	7	     0	     0	     0			sp|O00291-4|HIP1_HUMAN, sp|O00291|HIP1_HUMAN
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	15	14	15	22	21	22	     0	     0	     0	12C(57.0214), 13C(57.0214), 3M(15.9949), 4C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	10	7	10	16	11	16	     0	     0	     0	2C(57.0214), 2M(15.9949), 3M(15.9949)		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	Homo sapiens OX=9606	Neural Wiskott-Aldrich syndrome protein 	1:Experimental evidence at protein level	1.0000	0.9981	3	3	3	3	3	3	     0	     0	     0			
sp|O00410-3|IPO5_HUMAN	O00410-3	IPO5_HUMAN	IPO5	1115	Homo sapiens OX=9606	Isoform 3 of Importin-5 		1.0000	0.9990	28	0	28	34	0	34	     0	     0	     0	11C(57.0214), 13C(57.0214), 16C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 9C(57.0214)		sp|O00410|IPO5_HUMAN
sp|O00422-2|SAP18_HUMAN	O00422-2	SAP18_HUMAN	SAP18	172	Homo sapiens OX=9606	Isoform 2 of Histone deacetylase complex subunit SAP18 		1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			sp|O00422|SAP18_HUMAN, tr|H7BZW6|H7BZW6_HUMAN
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	9	5	9	10	6	10	     0	     0	     0	15C(57.0214), 8C(57.0214)		
sp|O00442-2|RTCA_HUMAN	O00442-2	RTCA_HUMAN	RTCA	379	Homo sapiens OX=9606	Isoform 2 of RNA 3'-terminal phosphate cyclase 		1.0000	0.9986	2	0	2	2	0	2	     0	     0	     0	7C(57.0214)		sp|O00442|RTCA_HUMAN
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9985	6	1	6	6	1	6	     0	     0	     0			
sp|O00468-2|AGRIN_HUMAN	O00468-2	AGRIN_HUMAN	AGRN	1964	Homo sapiens OX=9606	Isoform 2 of Agrin 		1.0000	0.9970	3	0	3	3	0	3	     0	     0	     0	5C(57.0214)		sp|O00468-3|AGRIN_HUMAN, sp|O00468-4|AGRIN_HUMAN, sp|O00468-5|AGRIN_HUMAN, sp|O00468-6|AGRIN_HUMAN, sp|O00468-7|AGRIN_HUMAN, sp|O00468|AGRIN_HUMAN, tr|A0A087X208|A0A087X208_HUMAN
sp|O00469-2|PLOD2_HUMAN	O00469-2	PLOD2_HUMAN	PLOD2	758	Homo sapiens OX=9606	Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 		1.0000	0.9990	14	0	14	15	0	15	     0	     0	     0	10C(57.0214), 2C(57.0214)		sp|O00469|PLOD2_HUMAN, tr|E7ETU9|E7ETU9_HUMAN
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	9C(57.0214)		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0			
sp|O00499-10|BIN1_HUMAN	O00499-10	BIN1_HUMAN	BIN1	424	Homo sapiens OX=9606	Isoform BIN1-13 of Myc box-dependent-interacting protein 1 		1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	15C(57.0214)		sp|O00499-11|BIN1_HUMAN, sp|O00499-2|BIN1_HUMAN, sp|O00499-4|BIN1_HUMAN, sp|O00499-6|BIN1_HUMAN, sp|O00499-7|BIN1_HUMAN, sp|O00499-8|BIN1_HUMAN, sp|O00499-9|BIN1_HUMAN
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9989	3	1	3	3	1	3	     0	     0	     0	N-term(42.0106)		
sp|O00541-2|PESC_HUMAN	O00541-2	PESC_HUMAN	PES1	583	Homo sapiens OX=9606	Isoform 2 of Pescadillo homolog 		1.0000	0.9980	3	0	3	4	0	4	     0	     0	     0	13C(57.0214)		sp|O00541|PESC_HUMAN, tr|B3KXD6|B3KXD6_HUMAN, tr|B5MCF9|B5MCF9_HUMAN
sp|O00560-2|SDCB1_HUMAN	O00560-2	SDCB1_HUMAN	SDCBP	297	Homo sapiens OX=9606	Isoform 2 of Syntenin-1 		1.0000	0.9990	5	0	5	7	0	7	     0	     0	     0	13C(57.0214), N-term(42.0106)		sp|O00560|SDCB1_HUMAN, tr|G5EA09|G5EA09_HUMAN
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein MPP10 	1:Experimental evidence at protein level	1.0000	0.9987	1	0	1	1	0	1	     0	     0	     0			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9987	3	0	3	3	0	3	     0	     0	     0	3C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	21	0	21	24	0	24	     0	     0	     0	2C(57.0214), 5C(57.0214)		tr|A0A0D9SF53|A0A0D9SF53_HUMAN, tr|A0A0D9SFB3|A0A0D9SFB3_HUMAN, tr|A0A0D9SG12|A0A0D9SG12_HUMAN, tr|A0A2R8Y4A4|A0A2R8Y4A4_HUMAN, tr|A0A2R8Y645|A0A2R8Y645_HUMAN, tr|A0A2R8YCW1|A0A2R8YCW1_HUMAN, tr|A0A2R8YF78|A0A2R8YF78_HUMAN, tr|A0A2R8YFR4|A0A2R8YFR4_HUMAN, tr|A0A2R8YFS5|A0A2R8YFS5_HUMAN, tr|A0A2U3TZJ9|A0A2U3TZJ9_HUMAN
sp|O00592-2|PODXL_HUMAN	O00592-2	PODXL_HUMAN	PODXL	526	Homo sapiens OX=9606	Isoform 2 of Podocalyxin 		1.0000	0.9973	2	0	2	2	0	2	     0	     0	     0			sp|O00592|PODXL_HUMAN
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	20C(57.0214)		
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	6	3	6	8	3	8	     0	     0	     0	10C(57.0214), 16C(57.0214), N-term(42.0106)		
sp|O00743-3|PPP6_HUMAN	O00743-3	PPP6_HUMAN	PPP6C	342	Homo sapiens OX=9606	Isoform 3 of Serine/threonine-protein phosphatase 6 catalytic subunit 		1.0000	0.9988	4	0	4	4	0	4	     0	     0	     0			sp|O00743|PPP6_HUMAN
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	Ubiquitin-conjugating enzyme E2 C 	1:Experimental evidence at protein level	1.0000	0.9984	2	1	2	2	1	2	     0	     0	     0			
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	6	0	6	     0	     0	     0			
sp|O00767|ACOD_HUMAN	O00767	ACOD_HUMAN	SCD	359	Homo sapiens OX=9606	Acyl-CoA desaturase 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	5	5	5	     0	     0	     0			
sp|O14497-2|ARI1A_HUMAN	O14497-2	ARI1A_HUMAN	ARID1A	2068	Homo sapiens OX=9606	Isoform 2 of AT-rich interactive domain-containing protein 1A 		1.0000	0.9980	2	0	2	2	0	2	     0	     0	     0			sp|O14497|ARI1A_HUMAN
sp|O14521-2|DHSD_HUMAN	O14521-2	DHSD_HUMAN	SDHD	120	Homo sapiens OX=9606	Isoform 2 of Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial 		1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|O14521|DHSD_HUMAN
sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A-related protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9982	4	2	4	6	3	6	     0	     0	     0			
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens OX=9606	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	2	2	0	2	     0	     0	     0			tr|I3L505|I3L505_HUMAN
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	Homo sapiens OX=9606	Ubiquitin domain-containing protein UBFD1 	1:Experimental evidence at protein level	1.0000	0.9984	3	0	3	3	0	3	     0	     0	     0			tr|H3BRL3|H3BRL3_HUMAN
sp|O14578-4|CTRO_HUMAN	O14578-4	CTRO_HUMAN	CIT	2069	Homo sapiens OX=9606	Isoform 4 of Citron Rho-interacting kinase 		1.0000	0.9971	3	0	3	3	0	3	     0	     0	     0			sp|O14578|CTRO_HUMAN
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	11	0	11	     0	     0	     0	11C(57.0214)		tr|M0QXB4|M0QXB4_HUMAN
sp|O14639-2|ABLM1_HUMAN	O14639-2	ABLM1_HUMAN	ABLIM1	718	Homo sapiens OX=9606	Isoform 2 of Actin-binding LIM protein 1 		1.0000	0.9983	2	0	2	2	0	2	     0	     0	     0			sp|O14639-3|ABLM1_HUMAN, sp|O14639-5|ABLM1_HUMAN, sp|O14639-6|ABLM1_HUMAN, sp|O14639|ABLM1_HUMAN, tr|A0A0A0MRL6|A0A0A0MRL6_HUMAN, tr|A0A3B3IS55|A0A3B3IS55_HUMAN, tr|F8W8M4|F8W8M4_HUMAN
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	Homo sapiens OX=9606	Torsin-1A 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	     0	     0	     0			
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens OX=9606	Disintegrin and metalloproteinase domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9989	16	3	16	18	4	18	     0	     0	     0	10C(57.0214), 14C(57.0214), 15C(57.0214), 20C(57.0214), 23C(57.0214), 24C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens OX=9606	Prostaglandin E synthase 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0	7C(57.0214)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	10	0	10	     0	     0	     0	N-term(42.0106)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9989	8	0	8	8	0	8	     0	     0	     0	4C(57.0214), 6C(57.0214)		
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	10	0	10	     0	     0	     0			
sp|O14776-2|TCRG1_HUMAN	O14776-2	TCRG1_HUMAN	TCERG1	1077	Homo sapiens OX=9606	Isoform 2 of Transcription elongation regulator 1 		1.0000	0.9990	14	0	14	14	0	14	     0	     0	     0	6C(57.0214)		sp|O14776|TCRG1_HUMAN
sp|O14786|NRP1_HUMAN	O14786	NRP1_HUMAN	NRP1	923	Homo sapiens OX=9606	Neuropilin-1 	1:Experimental evidence at protein level	1.0000	0.9977	1	0	1	1	0	1	     0	     0	     0			tr|E9PEP6|E9PEP6_HUMAN
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	15	0	15	23	0	23	     0	     0	     0	10C(57.0214), 3C(57.0214)		
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	7	7	2	7	     0	     0	     0			
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens OX=9606	Microsomal glutathione S-transferase 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0			tr|Q5VV89|Q5VV89_HUMAN
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	Homo sapiens OX=9606	PDZ domain-containing protein GIPC1 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim23 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|Q5SRD1|TI23B_HUMAN
sp|O14929-2|HAT1_HUMAN	O14929-2	HAT1_HUMAN	HAT1	334	Homo sapiens OX=9606	Isoform B of Histone acetyltransferase type B catalytic subunit 		1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|O14929|HAT1_HUMAN
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	13	0	13	     0	     0	     0	5C(57.0214)		sp|P19105|ML12A_HUMAN, tr|J3QRS3|J3QRS3_HUMAN
