Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9923	7	7	7	8	8	8	     0	     0	     0			
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9969	3	3	3	3	3	3	     0	     0	     0			
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	Putative small nuclear ribonucleoprotein G-like protein 15 	5:Protein uncertain	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0			sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens OX=9606	Acyl-coenzyme A diphosphatase NUDT19 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	4	4	4	     0	     0	     0			
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	15	0	15	     0	     0	     0	2C(57.0214)		sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0			sp|Q13765|NACA_HUMAN
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	10C(57.0214), 15C(57.0214), 5C(57.0214)		
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	Kinesin-like protein KIF2A 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	4	2	4	     0	     0	     0	5C(57.0214), 8C(57.0214)		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	12	3	12	16	3	16	     0	     0	     0	2C(57.0214), 6C(57.0214)		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	15	15	15	     0	     0	     0	10C(57.0214), 11C(57.0214), 14C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9989	4	3	4	4	3	4	     0	     0	     0			
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9990	29	29	29	37	37	37	     0	     0	     0	1C(57.0214), 3C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	4	4	4	     0	     0	     0			
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0	7C(57.0214)		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9974	3	3	3	3	3	3	     0	     0	     0			
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens OX=9606	Ras-related protein Rab-27B 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	4	3	4	     0	     0	     0			
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	AP-3 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9987	5	5	5	5	5	5	     0	     0	     0			
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	5	5	5	     0	     0	     0	2C(57.0214), 6C(57.0214)		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	15	15	15	     0	     0	     0	2M(15.9949)		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	14	14	14	     0	     0	     0	5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9982	3	3	3	3	3	3	     0	     0	     0	5C(57.0214)		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens OX=9606	Copper transport protein ATOX1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	13	13	13	     0	     0	     0			
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9957	4	4	4	4	4	4	     0	     0	     0			
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens OX=9606	Huntingtin-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0214)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	15	14	15	     0	     0	     0	13C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens OX=9606	Pyruvate dehydrogenase protein X component, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9983	3	3	3	3	3	3	     0	     0	     0	12C(57.0214)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	11	10	11	     0	     0	     0	11C(57.0214), 16C(57.0214), 2C(57.0214), 4C(57.0214), 5C(57.0214)		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	2C(57.0214)		
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	15C(57.0214), 8C(57.0214)		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	8C(57.0214)		
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	Homo sapiens OX=9606	RNA 3'-terminal phosphate cyclase 	1:Experimental evidence at protein level	1.0000	0.9987	4	4	4	4	4	4	     0	     0	     0	7C(57.0214)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9987	7	7	7	7	7	7	     0	     0	     0			
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	4C(57.0214)		
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	Homo sapiens OX=9606	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	15	15	15	     0	     0	     0	10C(57.0214)		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	9C(57.0214)		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	5	5	5	     0	     0	     0			
sp|O00507|USP9Y_HUMAN	O00507	USP9Y_HUMAN	USP9Y	2555	Homo sapiens OX=9606	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y 	2:Experimental evidence at transcript level	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0	5C(57.0214)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	5	5	5	     0	     0	     0	13C(57.0214), 1C(57.0214)		
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens OX=9606	Syntenin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	13C(57.0214), N-term(42.0106)		
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein MPP10 	1:Experimental evidence at protein level	1.0000	0.9956	2	2	2	2	2	2	     0	     0	     0			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	16	16	16	     0	     0	     0	8C(57.0214), 9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	24	9	24	30	12	30	     0	     0	     0	2C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 6 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9942	3	3	3	3	3	3	     0	     0	     0	1C(57.0214)		
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens OX=9606	Stearoyl-CoA desaturase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
sp|O14521|DHSD_HUMAN	O14521	DHSD_HUMAN	SDHD	159	Homo sapiens OX=9606	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	3	3	3	     0	     0	     0			
sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A-related protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens OX=9606	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9961	2	2	2	2	2	2	     0	     0	     0			
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	2027	Homo sapiens OX=9606	Citron Rho-interacting kinase 	1:Experimental evidence at protein level	1.0000	0.9940	4	4	4	4	4	4	     0	     0	     0			
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	11C(57.0214)		
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9952	3	3	3	3	3	3	     0	     0	     0	19C(57.0214), 3C(57.0214)		
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	Homo sapiens OX=9606	Torsin-1A 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	3	3	3	     0	     0	     0			
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	336	Homo sapiens OX=9606	Torsin-1B 	1:Experimental evidence at protein level	1.0000	0.9981	2	2	2	2	2	2	     0	     0	     0			
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens OX=9606	Disintegrin and metalloproteinase domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	15	15	15	     0	     0	     0	10C(57.0214), 15C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|O14683|P5I11_HUMAN	O14683	P5I11_HUMAN	TP53I11	189	Homo sapiens OX=9606	Tumor protein p53-inducible protein 11 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens OX=9606	Prostaglandin E synthase 	1:Experimental evidence at protein level	1.0000	0.9977	2	2	2	2	2	2	     0	     0	     0	7C(57.0214)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9965	4	4	4	4	4	4	     0	     0	     0			
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9986	5	5	5	5	5	5	     0	     0	     0			
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	10	6	10	11	7	11	     0	     0	     0	10C(57.0214), 3C(57.0214)		
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	4	4	4	     0	     0	     0			
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens OX=9606	Microsomal glutathione S-transferase 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0	21C(57.0214)		
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	Homo sapiens OX=9606	PDZ domain-containing protein GIPC1 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0			
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim23 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	14	0	14	     0	     0	     0	5C(57.0214), 8M(15.9949)		sp|P19105|ML12A_HUMAN
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	Homo sapiens OX=9606	Hepatocyte growth factor-regulated tyrosine kinase substrate 	1:Experimental evidence at protein level	1.0000	0.9989	6	5	6	6	5	6	     0	     0	     0	2C(57.0214), 5C(57.0214)		
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9982	3	3	3	3	3	3	     0	     0	     0			
sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	SLC27A2	620	Homo sapiens OX=9606	Long-chain fatty acid transport protein 2 	1:Experimental evidence at protein level	1.0000	0.9987	6	6	6	6	6	6	     0	     0	     0	8C(57.0214)		
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	9	7	9	     0	     0	     0	3C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9989	15	15	15	15	15	15	     0	     0	     0	6C(57.0214)		
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens OX=9606	Plexin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	14	13	14	14	13	14	     0	     0	     0	11C(57.0214), 13C(57.0214), 14C(57.0214), 15C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	Homo sapiens OX=9606	U2 snRNP-associated SURP motif-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0			
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
sp|O15120|PLCB_HUMAN	O15120	PLCB_HUMAN	AGPAT2	278	Homo sapiens OX=9606	1-acyl-sn-glycerol-3-phosphate acyltransferase beta 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0			
sp|O15126|SCAM1_HUMAN	O15126	SCAM1_HUMAN	SCAMP1	338	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	12C(57.0214), N-term(42.0106)		
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0			
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens OX=9606	DNA-directed RNA polymerases I and III subunit RPAC1 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens OX=9606	Prefoldin subunit 6 	1:Experimental evidence at protein level	1.0000	0.9951	3	3	3	3	3	3	     0	     0	     0			
sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	610	Homo sapiens OX=9606	WD repeat-containing protein 46 	1:Experimental evidence at protein level	1.0000	0.9985	2	2	2	2	2	2	     0	     0	     0			
sp|O15226|NKRF_HUMAN	O15226	NKRF_HUMAN	NKRF	690	Homo sapiens OX=9606	NF-kappa-B-repressing factor 	1:Experimental evidence at protein level	1.0000	0.9978	6	6	6	6	6	6	     0	     0	     0	5C(57.0214), 7C(57.0214)		
sp|O15228|GNPAT_HUMAN	O15228	GNPAT_HUMAN	GNPAT	680	Homo sapiens OX=9606	Dihydroxyacetone phosphate acyltransferase 	1:Experimental evidence at protein level	1.0000	0.9923	2	2	2	2	2	2	     0	     0	     0	6C(57.0214)		
sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	Homo sapiens OX=9606	Laminin subunit alpha-5 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	15	15	15	     0	     0	     0	12C(57.0214), 4C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O15235|RT12_HUMAN	O15235	RT12_HUMAN	MRPS12	138	Homo sapiens OX=9606	28S ribosomal protein S12, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9984	2	2	2	2	2	2	     0	     0	     0	5C(57.0214)		
