Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 47	0	0	0	0	4.97E+07	3.27E+07	0	0	0	0	0	0	4.72E+07	4.26E+07	3.20E+07	2.63E+07	0	2.43E+07	0	0	0	0	0	0	6.05E+07	0	0	0	0	0	8.52E+07	3.56E+07	3.79E+07	3.39E+07	0	1.79E+07	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.19E+08	1.62E+08	2.43E+08	1.22E+08	1.13E+08	9.71E+07	8.90E+07	9.00E+07	9.95E+07	1.65E+08	1.95E+08	1.73E+08	1.08E+08	1.06E+08	1.12E+08	1.10E+08	9.39E+07	1.13E+08	2.08E+08	1.26E+08	2.10E+08	2.57E+08	2.19E+08	1.13E+08	1.07E+08	1.04E+08	9.58E+07	9.18E+07	9.09E+07	3.04E+08	9.63E+07	1.09E+08	1.05E+08	1.08E+08	7.13E+07	1.02E+08	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	0	0	9.92E+07	8.33E+07	6.14E+07	0	8.24E+07	0	5.79E+07	0	0	7.89E+07	6.35E+07	4.61E+07	9.39E+07	9.59E+07	0	8.56E+07	1.50E+08	8.27E+07	2.18E+08	1.70E+08	1.55E+08	0	0	1.21E+08	0	0	1.05E+08	1.83E+08	8.87E+07	5.58E+07	4.80E+07	7.43E+07	6.57E+07	0	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	4.82E+07	5.05E+07	4.69E+07	4.22E+07	3.42E+07	4.63E+07	3.59E+07	7.54E+07	5.43E+07	4.43E+07	4.86E+07	6.59E+07	4.78E+07	4.11E+07	3.04E+07	4.82E+07	6.65E+07	4.48E+07	3.96E+07	3.03E+07	0	3.62E+07	3.86E+07	5.93E+07	5.75E+07	4.78E+07	8.74E+07	7.73E+07	7.16E+07	2.98E+07	5.30E+07	4.54E+07	4.69E+07	4.62E+07	7.17E+07	8.52E+07	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1A5D9|BICL2_HUMAN	A1A5D9	BICL2_HUMAN	BICDL2	508	Homo sapiens OX=9606	1:Experimental evidence at protein level	BICD family-like cargo adapter 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1IGU5|ARH37_HUMAN	A1IGU5	ARH37_HUMAN	ARHGEF37	675	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Rho guanine nucleotide exchange factor 37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein MEX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	0	0	1.38E+07	4.38E+07	2.20E+07	2.92E+07	9.69E+07	0	8.03E+07	2.03E+07	0	2.03E+07	5.77E+07	5.77E+07	7.13E+07	8.30E+07	1.01E+07	6.08E+07	3.89E+07	0	6.71E+07	4.84E+07	3.87E+07	0	2.91E+07	7.08E+07	0	0	3.22E+07	4.56E+07	7.55E+07	6.16E+07	6.69E+07	4.66E+07	9.01E+07	0	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	0	0	0	3.03E+08	2.88E+08	2.96E+08	3.63E+08	1.23E+08	3.71E+08	0	0	0	3.04E+08	2.82E+08	3.23E+08	2.52E+08	0	2.38E+08	0	0	0	0	0	2.34E+08	2.65E+08	2.41E+08	1.80E+08	1.95E+08	2.40E+08	0	3.67E+08	2.77E+08	2.73E+08	2.78E+08	3.08E+08	1.11E+08	
sp|A1Z1Q3|MACD2_HUMAN	A1Z1Q3	MACD2_HUMAN	MACROD2	425	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribose glycohydrolase MACROD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	0	0	0	1.33E+07	1.84E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06E+07	0	0	0	0	0	0	0	0	0	0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A2RUC4|TYW5_HUMAN	A2RUC4	TYW5_HUMAN	TYW5	315	Homo sapiens OX=9606	1:Experimental evidence at protein level	tRNA wybutosine-synthesizing protein 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	0	0	0	5.82E+07	5.17E+07	0	0	0	0	0	0	0	0	0	3.80E+07	0	0	0	0	0	0	0	0	0	0	5.13E+07	0	0	0	0	0	0	0	0	0	0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	0	0	2.94E+08	0	0	0	3.36E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37E+08	0	0	0	0	0	0	0	0	0	0	
sp|A4D161|F221A_HUMAN	A4D161	F221A_HUMAN	FAM221A	298	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM221A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A4D1S0|KLRG2_HUMAN	A4D1S0	KLRG2_HUMAN	KLRG2	409	Homo sapiens OX=9606	1:Experimental evidence at protein level	Killer cell lectin-like receptor subfamily G member 2	0	0	0	0	0	0	0	5.30E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64E+07	
sp|A4D2B0|MBLC1_HUMAN	A4D2B0	MBLC1_HUMAN	MBLAC1	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metallo-beta-lactamase domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens OX=9606	1:Experimental evidence at protein level	POTE ankyrin domain family member F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0	0	0	0	0	4.03E+07	0	6.34E+07	0	0	0	4.14E+07	0	0	0	5.79E+07	7.66E+07	0	0	0	0	3.73E+07	0	0	0	0	0	6.35E+07	6.24E+07	0	0	0	0	0	0	6.19E+07	
sp|A5PLL7|PDES1_HUMAN	A5PLL7	PDES1_HUMAN	PEDS1	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plasmanylethanolamine desaturase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	0	3.87E+07	6.99E+07	8.44E+07	8.00E+07	6.63E+07	8.86E+07	4.16E+07	8.68E+07	4.77E+07	4.82E+07	5.73E+07	8.11E+07	7.43E+07	8.35E+07	6.27E+07	4.14E+07	6.68E+07	0	0	9.99E+07	4.73E+07	0	7.11E+07	7.50E+07	1.10E+08	9.27E+07	5.99E+07	9.20E+07	6.40E+07	9.41E+07	7.83E+07	8.04E+07	7.99E+07	9.46E+07	4.68E+07	
sp|A5YM69|ARG35_HUMAN	A5YM69	ARG35_HUMAN	ARHGEF35	484	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho guanine nucleotide exchange factor 35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.01E+08	9.72E+07	1.00E+08	0	5.71E+07	7.73E+07	5.46E+07	6.75E+07	8.13E+07	1.03E+08	1.15E+08	1.18E+08	1.43E+08	1.55E+08	9.19E+07	0	4.14E+07	4.38E+07	1.49E+08	1.34E+08	2.19E+08	2.09E+08	1.50E+08	8.52E+07	1.06E+08	5.39E+07	1.05E+08	1.03E+08	7.56E+07	2.08E+08	1.66E+08	9.60E+07	9.79E+07	8.48E+07	9.24E+07	8.72E+07	sp|Q9GZQ8|MLP3B_HUMAN
sp|A6ND36|FA83G_HUMAN	A6ND36	FA83G_HUMAN	FAM83G	823	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM83G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NDB9|PALM3_HUMAN	A6NDB9	PALM3_HUMAN	PALM3	673	Homo sapiens OX=9606	1:Experimental evidence at protein level	Paralemmin-3	0	0	0	0	0	0	0	1.66E+07	0	0	0	0	0	0	0	0	2.64E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	9.31E+07	7.49E+07	4.83E+07	9.31E+07	9.02E+07	1.28E+08	1.17E+08	1.80E+08	1.16E+08	9.26E+07	7.02E+07	0	1.29E+08	1.18E+08	8.63E+07	1.56E+08	1.80E+08	1.43E+08	9.33E+07	0	0	6.47E+07	8.92E+07	1.23E+08	1.10E+08	8.24E+07	1.43E+08	1.33E+08	0	9.88E+07	6.70E+07	8.70E+07	7.89E+07	6.07E+07	1.18E+08	1.16E+08	
sp|A6NDR6|ME3L1_HUMAN	A6NDR6	ME3L1_HUMAN	MEIS3P1	274	Homo sapiens OX=9606	5:Protein uncertain	Putative homeobox protein Meis3-like 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"sp|O00470|MEIS1_HUMAN, sp|O14770|MEIS2_HUMAN, sp|Q99687|MEIS3_HUMAN"
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0	0	0	0	0	0	0	3.29E+07	2.51E+07	0	0	0	0	0	0	0	4.83E+07	2.48E+07	4.14E+07	4.53E+07	5.21E+07	5.69E+07	4.26E+07	0	0	0	0	3.66E+07	4.26E+07	6.46E+07	0	0	0	0	3.88E+07	4.92E+07	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	1004	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NGU5|GGT3_HUMAN	A6NGU5	GGT3_HUMAN	GGT3P	568	Homo sapiens OX=9606	5:Protein uncertain	Putative glutathione hydrolase 3 proenzyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P19440|GGT1_HUMAN
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	0	0	4.90E+07	9.05E+07	8.45E+07	3.77E+07	7.88E+07	0	7.34E+07	0	0	0	6.88E+07	6.80E+07	9.32E+07	7.59E+07	0	7.13E+07	4.84E+07	0	6.94E+07	3.76E+07	0	4.88E+07	6.34E+07	1.67E+08	3.57E+07	0	7.05E+07	4.03E+07	1.05E+08	1.05E+08	8.59E+07	1.01E+08	8.99E+07	0	
sp|A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-119 homolog B	0	0	0	0	0	3.17E+07	3.32E+07	4.37E+07	0	0	3.99E+07	3.58E+07	0	2.49E+07	0	4.58E+07	5.22E+07	3.14E+07	0	0	0	0	0	3.75E+07	0	0	4.33E+07	0	0	0	0	0	2.61E+07	0	0	5.57E+07	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	0	0	0	4.69E+07	4.00E+07	4.68E+07	3.53E+07	0	2.78E+07	0	0	0	3.99E+07	3.79E+07	3.45E+07	0	1.13E+07	0	0	0	0	0	0	3.58E+07	2.78E+07	0	1.98E+07	2.18E+07	2.84E+07	0	3.46E+07	3.36E+07	4.12E+07	3.26E+07	4.17E+07	1.40E+07	
sp|A6NK75|ZNF98_HUMAN	A6NK75	ZNF98_HUMAN	ZNF98	572	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Zinc finger protein 98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 85C	3.80E+07	2.09E+07	0	0	0	0	0	0	0	1.78E+07	1.89E+07	2.71E+07	0	0	0	0	0	0	2.59E+07	2.79E+07	2.84E+07	2.21E+07	2.69E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NKF1|SAC31_HUMAN	A6NKF1	SAC31_HUMAN	SAC3D1	404	Homo sapiens OX=9606	1:Experimental evidence at protein level	SAC3 domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A6NNZ2|TBB8B_HUMAN	A6NNZ2	TBB8B_HUMAN	TUBB8B	444	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin beta 8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
