Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
A0A0G2K1W9	A0A0G2K1W9	A0A0G2K1W9_RAT	Ldhd	Lactate dehydrogenase D						268.326	58.5118
A0A0G2K273	A0A0G2K273	A0A0G2K273_RAT	LOC100365062	Eukaryotic translation initiation factor 3 subunit E			463.77	164.455			272.255
A0A0G2K2P5	A0A0G2K2P5	ZO1_RAT	Tjp1	Tight junction protein ZO-1							240.222
A0A0G2K2Y9	A0A0G2K2Y9	A0A0G2K2Y9_RAT	Plxnb2	Plexin B2							169.745
A0A0G2K2Z0	A0A0G2K2Z0	A0A0G2K2Z0_RAT	Eml4	EMAP like 4	522.487					348.458	338.269
A0A0G2K331	A0A0G2K331	A0A0G2K331_RAT	Creb3	Uncharacterized protein							40.4006
A0A0G2K350	A0A0G2K350	A0A0G2K350_RAT	Napg	NSF attachment protein gamma						429.958	111.14
A0A0G2K3N7	A0A0G2K3N7	A0A0G2K3N7_RAT	Or5b12	Olfactory receptor	6299.97	5817.83	8015.89	6996.38	4030.01	5540.99	719.511
A0A0G2K402	A0A0G2K402	A0A0G2K402_RAT	Myef2	Myelin expression factor 2	5498.48	933.504	3233.27	1706.77	2797.32	677.388	3027.05
A0A0G2K437	A0A0G2K437	A0A0G2K437_RAT	Amfr	Autocrine motility factor receptor	713.649			718.786			385.957
A0A0G2K4A0	A0A0G2K4A0	A0A0G2K4A0_RAT	Rab11fip5	RAB11 family interacting protein 5	582.482		133.997			274.065	218.033
A0A0G2K528	A0A0G2K528	A0A0G2K528_RAT	Stx16	Syntaxin 16	1128.85		842.494	118.574	1184.27	825.221	674.676
A0A0G2K542;M0R4Q5	M0R4Q5;A0A0G2K542	A0A0G2K542_RAT;M0R4Q5_RAT	Kbtbd6;Ugp2	UTP--glucose-1-phosphate uridylyltransferase			631.581		359.487	283.794	753.946
A0A0G2K548	A0A0G2K548	A0A0G2K548_RAT	Akap9	A-kinase anchoring protein 9							199.356
A0A0G2K5A4;D3ZLD5	D3ZLD5;A0A0G2K5A4	A0A0G2K5A4_RAT;D3ZLD5_RAT	Golga3;Golga3-ps1	Golgin A3						404.724	85.1747
A0A0G2K5C5;A0A8I5Y9E6;A0A8I6ACC9;M0R5M7	A0A0G2K5C5;A0A8I6ACC9;M0R5M7;A0A8I5Y9E6	A0A0G2K5C5_RAT;A0A8I5Y9E6_RAT;A0A8I6ACC9_RAT;M0R5M7_RAT	Btf3-ps1;LOC683456;RGD1559667;RGD1560568	Transcription factor BTF3			158.149				296.536
A0A0G2K5I8	A0A0G2K5I8	A0A0G2K5I8_RAT	Zfp62	Zinc finger protein 62	375.212	360.196	683.693				437.907
A0A0G2K5L2	A0A0G2K5L2	GHC1_RAT	Slc25a22	Mitochondrial glutamate carrier 1			478.585			724.281	219.02
A0A0G2K6R0	A0A0G2K6R0	A0A0G2K6R0_RAT	Tnrc6b	Trinucleotide repeat containing adaptor 6B							344.795
A0A0G2K6T9	A0A0G2K6T9	A0A0G2K6T9_RAT	Pcdh1	Protocadherin 1							336.874
A0A0G2K736	A0A0G2K736	A0A0G2K736_RAT	Kdm1a	Lysine-specific histone demethylase	401.339		209.543			346.294	156.657
A0A0G2K762	A0A0G2K762	A0A0G2K762_RAT	Abcf2	ATP binding cassette subfamily F member 2							168.731
A0A0G2K7M4	A0A0G2K7M4	A0A0G2K7M4_RAT	Apobr	Apolipoprotein B receptor						283.039	211.707
A0A0G2K865	A0A0G2K865	A0A0G2K865_RAT	Tpd52	Tumor protein D52							91.6262
A0A0G2K8Z9	A0A0G2K8Z9	A0A0G2K8Z9_RAT	Kif13b	Kinesin family member 13B							359.072
A0A0G2K916	A0A0G2K916	A0A0G2K916_RAT	Ankhd1	Eukaryotic translation initiation factor 4E binding protein 3							122.496
A0A0G2K931;A0A8I5Y182	A0A8I5Y182;A0A0G2K931	A0A0G2K931_RAT;A0A8I5Y182_RAT	AABR07011698.1;Psat1	Phosphoserine aminotransferase							129.058
A0A0G2K951	A0A0G2K951	A0A0G2K951_RAT	Zfp704	Zinc finger protein 704							152.331
A0A0G2K9Q0	A0A0G2K9Q0	A0A0G2K9Q0_RAT	Tbck	TBC1 domain containing kinase							295.839
A0A0G2K9R9	A0A0G2K9R9	A0A0G2K9R9_RAT	Psme4	Proteasome activator subunit 4	205.609		296.717		518.119		451.938
A0A0G2QC27	A0A0G2QC27	A0A0G2QC27_RAT	Nol6	Nucleolar protein 6	330.334		855.271		481.918	571.917	267.855
A0A0U1RRW3	A0A0U1RRW3	A0A0U1RRW3_RAT	Rps19bp1	Active regulator of SIRT1							125.865
A0A140UHW6	A0A140UHW6	A0A140UHW6_RAT	Trmt1	tRNA (guanine(26)-N(2))-dimethyltransferase							327.197
A0A1B0GWP1	A0A1B0GWP1	A0A1B0GWP1_RAT	Elovl1	Elongation of very long chain fatty acids protein 1				412.238			116.972
A0A1W2Q626	A0A1W2Q626	A0A1W2Q626_RAT	Slc39a10	Solute carrier family 39 member 10							87.4272
A0A1W2Q640	A0A1W2Q640	A0A1W2Q640_RAT	Lrrc69	Leucine rich repeat containing 69							77.6594
A0A1W2Q641	A0A1W2Q641	A0A1W2Q641_RAT	Atp6v1a	H(+)-transporting two-sector ATPase	2055.97		3147.48	1434.38	1245.69	4195.42	1783.5
A0A1W2Q645	A0A1W2Q645	A0A1W2Q645_RAT	Sumf2	Sulfatase modifying factor 2	926.041				751.266		447.379
A0A8I5XWE3	A0A8I5XWE3	A0A8I5XWE3_RAT	Eps8l2	EPS8-like 2			1266.6	669.547		493.812	809.518
A0A8I5Y176	A0A8I5Y176	A0A8I5Y176_RAT	Ranbp9	RAN binding protein 9							141.623
A0A8I5Y218	A0A8I5Y218	A0A8I5Y218_RAT	Ppil2-ps1	RING-type E3 ubiquitin transferase						133.246	273.263
A0A8I5Y2B8	A0A8I6AAF3;A0A8I5Y2B8;Q63716;A0A0G2K3Z9	A0A8I5Y2B8_RAT	ENSRNOG00000062500	Peroxiredoxin C-terminal domain-containing protein			923.742	919.143	445.569	952.382	1058.8
A0A8I5Y5E8	A0A8I5Y5E8	A0A8I5Y5E8_RAT	Arpc4	Actin-related protein 2/3 complex subunit 4	757.873		264.566	619.506		582.088	340.705
A0A8I5Y5G4	A0A8I5Y5G4	A0A8I5Y5G4_RAT	Mindy3-ps1	Ubiquitin carboxyl-terminal hydrolase MINDY							233.209
A0A8I5Y5Z6	A0A8I5Y5Z6	A0A8I5Y5Z6_RAT	Xrcc4	X-ray repair cross complementing 4							98.3542
A0A8I5Y674	A0A8I5Y674	A0A8I5Y674_RAT	Gapvd1	GTPase activating protein and VPS9 domains 1	1112.46						290.767
A0A8I5Y6H9	A0A8I5Y6H9	A0A8I5Y6H9_RAT	Tln2	Talin 2							452.734
A0A8I5Y6U5	A0A8I5Y6U5	A0A8I5Y6U5_RAT	Srp14	Signal recognition particle 14 kDa protein	1072.13		650.301	1309.18		783.516	950.757
A0A8I5Y7I2	A0A8I5Y7I2	A0A8I5Y7I2_RAT	Kctd12	Potassium channel tetramerization domain containing 12							178.142
A0A8I5Y7L4	A0A8I5Y7L4	A0A8I5Y7L4_RAT	Top2b	DNA topoisomerase 2			138.75				127.882
A0A8I5Y7P1	A0A8I5Y7P1	A0A8I5Y7P1_RAT	ENSRNOG00000069815	RRM domain-containing protein			532.234			203.987	289.303
A0A8I5Y868	A0A8I5Y868	A0A8I5Y868_RAT	Klc2	Kinesin light chain							266.737
A0A8I5Y9A0	A0A8I5Y9A0	A0A8I5Y9A0_RAT	Tex264	Testis expressed 264	517.849		309.996		477.094	900.629	451.291
A0A8I5Y9G0	A0A8I5Y9G0	A0A8I5Y9G0_RAT	Clint1	Clathrin interactor 1	364.077		394.487			92.134	301.024
A0A8I5Y9M9	A0A8I5Y9M9	A0A8I5Y9M9_RAT	Sri	Sorcin	2164.47		1031.31	2303.75		1731.31	1722.18
A0A8I5Y9V4	A0A8I5Y9V4	A0A8I5Y9V4_RAT	Cars1	cysteine--tRNA ligase						646.643	528.636
A0A8I5Y9V8	A0A8I5Y9V8	A0A8I5Y9V8_RAT	Nudcd3	NudC domain containing 3							309.404
A0A8I5YB95;A0A8I6AIV4	A0A8I5YB95;A0A8I6AIV4	A0A8I5YB95_RAT;A0A8I6AIV4_RAT	Dctn3;Dctn3l1	Dynactin subunit 3							65.4092
A0A8I5YBE4	A0A8I5YBE4	A0A8I5YBE4_RAT	Pkp3	Plakophilin 3	397.919					228.43	191.463
A0A8I5YBI0	P05712;A0A8I5YBI0	A0A8I5YBI0_RAT	LOC120100609	Alpha-amylase				435.316			161.152
A0A8I5YC26	A0A8I5YC26	A0A8I5YC26_RAT	Mcee	Methylmalonyl CoA epimerase							181.113
A0A8I5YC36	A0A8I5YC36	A0A8I5YC36_RAT	Ranbp2	RAN binding protein 2			789.386			261.49	192.52
A0A8I5YC99	A0A8I5YC99	A0A8I5YC99_RAT	Eps15	Epidermal growth factor receptor pathway substrate 15			522.641			207.661	
A0A8I5ZJ57	A0A8I5ZJ57	A0A8I5ZJ57_RAT	Supt16h	FACT complex subunit			1049.01	741.998		1129.31	850.956
A0A8I5ZJ62	A0A8I5ZJ62	A0A8I5ZJ62_RAT	Glipr2	GLI pathogenesis-related 2					623.84		232.208
A0A8I5ZJ69	A0A8I5ZJ69	A0A8I5ZJ69_RAT	Utp14a	UTP14A small subunit processome component							90.5398
A0A8I5ZJB6	A0A8I5ZJB6	A0A8I5ZJB6_RAT	Tbcd	Tubulin-specific chaperone D						255.564	181.802
A0A8I5ZK98	A0A8I5ZK98	A0A8I5ZK98_RAT	Cwc25	CWC25 spliceosome-associated protein homolog							78.1816
A0A8I5ZKH8	A0A8I5ZKH8	A0A8I5ZKH8_RAT	Cdsn	Corneodesmosin			629.253	1015.63	2060.43	1142.02	233.717
A0A8I5ZKU9	A0A8I5ZKU9	A0A8I5ZKU9_RAT	Shmt1	Serine hydroxymethyltransferase	915.627		987.604			321.252	376.877
A0A8I5ZKV9	A0A8I5ZKV9	A0A8I5ZKV9_RAT	Ddx5	Probable ATP-dependent RNA helicase DDX5	909.1		1098.86			1059.76	800.203
A0A8I5ZL30	A0A8I5ZL30	A0A8I5ZL30_RAT	Nosip	Nitric oxide synthase-interacting protein							232.381
A0A8I5ZLD3	A0A8I5ZLD3	A0A8I5ZLD3_RAT	Abi2	Abl-interactor 2			397.462				201.686
A0A8I5ZLH6	A0A8I6A2W1;Q00715;D3ZNZ9;A0A8I6AGQ8;A0A8I5ZLH6;A0A8I6A7P3;M0RBQ5;A0A8I5ZSA8;A0A8I6AFW8;Q00729;G3V9C7	A0A8I5ZLH6_RAT	H2bc18	Histone H2B	952.865		1545.17			1158.41	1057.82
A0A8I5ZLN6	A0A8I5ZLN6	A0A8I5ZLN6_RAT	Larp4	La ribonucleoprotein 4	252.043		201.608	617.136		173.476	119.981
A0A8I5ZLV4	A0A8I5ZLV4	A0A8I5ZLV4_RAT	Map4k4	Mitogen-activated protein kinase kinase kinase kinase 4							19.6967
A0A8I5ZM67	A0A8I5ZM67	A0A8I5ZM67_RAT	Borcs7	BLOC-1-related complex subunit 7			269.079				365.464
A0A8I5ZMM2	A0A8I5ZMM2	A0A8I5ZMM2_RAT	Cad	CAD protein			260.676				136.025
A0A8I5ZMN0;D4ACM9	D4ACM9;A0A8I5ZMN0	A0A8I5ZMN0_RAT;D4ACM9_RAT	Mfap1a;RGD1564148	Similar to microfibrillar-associated protein 1	863.154		455.886				303.742
A0A8I5ZN47	A0A8I5ZN47	A0A8I5ZN47_RAT	Mtrex	Mtr4 exosome RNA helicase						949.949	188.311
A0A8I5ZNF1	A0A8I5ZNF1	A0A8I5ZNF1_RAT	Copa	Coatomer subunit alpha	1745.98		2144.34	1485.94	525.015	2366.38	1557.24
A0A8I5ZNK2	A0A8I5ZNK2	OXSR1_RAT	Oxsr1	Serine/threonine-protein kinase OSR1							452.65
A0A8I5ZNL9	A0A8I5ZNL9	A0A8I5ZNL9_RAT	ENSRNOG00000066297	Secreted protein							87.0902
A0A8I5ZNN3	A0A8I5ZNN3	A0A8I5ZNN3_RAT	Ruvbl2	RuvB-like helicase	783.278		441.636	462.234		802.591	283.089
A0A8I5ZP60	A0A8I5ZP60	A0A8I5ZP60_RAT	Snw1	SNW domain-containing protein 1	314.399		279.893	760.657		472.084	344.343
A0A8I5ZP70	A0A8I5ZP70	A0A8I5ZP70_RAT	Tom1l2	Target of myb1 like 2 membrane trafficking protein	1129.83		477.896			1542.74	1570.61
A0A8I5ZP83	A0A8I5ZP83	A0A8I5ZP83_RAT	Chmp4b	Charged multivesicular body protein 4B			552.753	873.252			920.984
A0A8I5ZPQ6	A0A8I5ZPQ6	A0A8I5ZPQ6_RAT	Ift88	Intraflagellar transport 88							85.7641
A0A8I5ZQ24	A0A8I5ZQ24	A0A8I5ZQ24_RAT	Atp6v1h	V-type proton ATPase subunit H	1133.28		406.228	800.58			739.276
A0A8I5ZQ75	A0A8I5ZQ75	A0A8I5ZQ75_RAT	Clmn	Calmin	656.423					735.38	176.352
A0A8I5ZQ92;Q566E4	Q566E4;A0A8I5ZQ92	A0A8I5ZQ92_RAT;Q566E4_RAT	Hnrnpr;Hnrnpr-ps2	Heterogeneous nuclear ribonucleoprotein R-like	365.238		269.386	393.905		563.577	210.954
A0A8I5ZQD4	A0A8I5ZQD4	A0A8I5ZQD4_RAT	Dst	Dystonin							283.815
A0A8I5ZQE4	A0A8I5ZQE4	A0A8I5ZQE4_RAT	Supt5h	Transcription elongation factor SPT5							142.908
A0A8I5ZQG6	A0A8I5ZQG6	A0A8I5ZQG6_RAT	Sez6l2	Seizure related 6 homolog like 2	341.528		754.724				304.469
A0A8I5ZQK2;A0A8I6A4Y0;F1M6L8	A0A8I5ZQK2;A0A8I6A4Y0;F1M6L8	A0A8I5ZQK2_RAT;A0A8I6A4Y0_RAT;F1M6L8_RAT	AC139642.2;Tma7;Tma7b	Translation machinery associated 7 homolog							167.632
A0A8I5ZQZ1	A0A8I5ZQZ1	A0A8I5ZQZ1_RAT	Nufip2	Nuclear FMR1 interacting protein 2			988.518			1000.1	746.317
A0A8I5ZR43	A0A8I5ZR43	A0A8I5ZR43_RAT	Irf2bp2	Interferon regulatory factor 2 binding protein 2	2095.68		2326.77			1318.7	819.464
A0A8I5ZR44	A0A8I5ZR44	A0A8I5ZR44_RAT	Snrpd2	Small nuclear ribonucleoprotein Sm D2							162.882
A0A8I5ZRQ9	A0A8I5ZRQ9	A0A8I5ZRQ9_RAT	Akt1s1	AKT1 substrate 1	427.423			406.141		312.697	742.686
A0A8I5ZS16	A0A8I5ZS16	A0A8I5ZS16_RAT	Rbm27	RNA binding motif protein 27			233.864				354.612
A0A8I5ZS67	A0A8I5ZS67	A0A8I5ZS67_RAT	Gigyf2	GRB10 interacting GYF protein 2	1057.88			631.362		263.993	506.797
A0A8I5ZS69	A0A8I5ZS69	A0A8I5ZS69_RAT	Snx6	Sorting nexin	857.797						208.333
A0A8I5ZSA8	A0A8I5ZSA8	A0A8I5ZSA8_RAT	ENSRNOG00000069233	Histone H2B	3022.2		428.882			1117.13	175.054
A0A8I5ZSL8	A0A8I5ZSL8	A0A8I5ZSL8_RAT	ENSRNOG00000068288	Olfactory receptor	1043.11		1250.81	1071.35		1219.01	969.088
A0A8I5ZSN8;A0A8I6A2P1	A0A8I5ZSN8;A0A8I6A2P1	A0A8I5ZSN8_RAT;A0A8I6A2P1_RAT	AABR07026797.1;Srsf3	RRM domain-containing protein							254.026
A0A8I5ZTA3	A0A8I5ZTA3	A0A8I5ZTA3_RAT	Sec16a	Protein transport protein sec16						556.106	591.625
A0A8I5ZTU5	A0A8I5ZTU5	A0A8I5ZTU5_RAT	Ranbp1	RAN binding protein 1	616.096						303.823
A0A8I5ZTW6	A0A8I5ZTW6	A0A8I5ZTW6_RAT	Gopc	Golgi associated PDZ and coiled-coil motif containing							133.113
A0A8I5ZU42	A0A8I5ZU42	A0A8I5ZU42_RAT	ENSRNOG00000064024	THIF-type NAD/FAD binding fold domain-containing protein			532.412	584.052			246.552
A0A8I5ZUT2	A0A8I5ZUT2	A0A8I5ZUT2_RAT	Irgq	Immunity-related GTPase Q	1992.95		900.052	246.054		937.111	1538.52
A0A8I5ZV26	A0A8I5ZV26	A0A8I5ZV26_RAT	Stom	Stomatin							537.965
A0A8I5ZV49	A0A8I5ZV49	A0A8I5ZV49_RAT	Flna	Filamin A	523.492		972.586			379.724	1426.18
A0A8I5ZV67	A0A8I5ZV67	A0A8I5ZV67_RAT	Eea1	Early endosome antigen 1			542.656	177.006		518.626	223.894
A0A8I5ZV77	A0A8I6A1Y7;A0A8I5ZV77	A0A8I5ZV77_RAT	Mrps36	Mitochondrial ribosomal protein S36	1003.06		1405.72	921.057	402.107	1536.67	1538.63
A0A8I5ZVD6	A0A8I5ZVD6	A0A8I5ZVD6_RAT	Eny2	Transcription and mRNA export factor ENY2	607.609		322.947			339.418	188.505
A0A8I5ZVJ1	A0A8I5ZVJ1;D4AD31	A0A8I5ZVJ1_RAT	Phf2	PHD finger protein 2			431.06				77.2867
A0A8I5ZVT2	A0A8I5ZVT2	A0A8I5ZVT2_RAT	Fndc3a	Fibronectin type III domain containing 3a					421.397		84.2118
A0A8I5ZWS4	A0A8I5ZWS4	A0A8I5ZWS4_RAT	Hook3	Hook microtubule-tethering protein 3							155.76
A0A8I5ZWT0	A0A8I5ZWT0	A0A8I5ZWT0_RAT	Pcbp3	Poly(rC) binding protein 3	674.519		1109.62	800.063		648.296	870.902
A0A8I5ZX76	A0A8I5ZX76	A0A8I5ZX76_RAT	Eif3k	Eukaryotic translation initiation factor 3 subunit K			598.078			541.825	824.672
A0A8I5ZXT2	A0A8I5ZXT2	A0A8I5ZXT2_RAT	Dmtn	Dematin actin binding protein	1061.12			726.316		420.694	485.738
A0A8I5ZXX9	A0A8I5ZXX9	A0A8I5ZXX9_RAT	Pomp	Proteasome maturation protein							229.092
A0A8I5ZY21	A0A8I5ZY21	A0A8I5ZY21_RAT	Nomo1	Nodal modulator 1						119.392	144.038
A0A8I5ZY29	A0A8I5ZY29	A0A8I5ZY29_RAT	Usp14	Ubiquitin carboxyl-terminal hydrolase	518.188		626.526			327.651	175.442
A0A8I5ZYU9	A0A8I5ZYU9	A0A8I5ZYU9_RAT	Gpank1	G patch domain and ankyrin repeats 1							1516.5
A0A8I5ZYZ8	A0A8I5ZYZ8	A0A8I5ZYZ8_RAT	Ube2m	Ubiquitin-conjugating enzyme E2M	711.342	1042.02	606.46	1258.04		1329.24	698.542
A0A8I5ZZ08	A0A8I5ZZ08	A0A8I5ZZ08_RAT	LOC103691092	Cytochrome P450			2026.93		1880.81		3323.88
A0A8I5ZZ14	A0A8I5ZZ14	A0A8I5ZZ14_RAT	Fermt2	FERM domain containing kindlin 2							97.8418
A0A8I5ZZH3	A0A8I5ZZH3	A0A8I5ZZH3_RAT	Or14j15	Olfactory receptor 1710						315.692	161.596
A0A8I5ZZM0	A0A8I5ZZM0	A0A8I5ZZM0_RAT	Hectd4	HECT domain E3 ubiquitin protein ligase 4					676.025		160.624
A0A8I6A0B7	A0A8I6A0B7	A0A8I6A0B7_RAT	Nipsnap3a	Nipsnap homolog 3B	667.679	798.694	1782.55	681.048	1291.01		314.083
A0A8I6A0K0	A0A8I6A0K0	A0A8I6A0K0_RAT	Vmn1r72	Vomeronasal type-1 receptor	1018.04		912.916	362.782		767.166	546.258
A0A8I6A0W6	A0A8I6A0W6	A0A8I6A0W6_RAT	Ube2o	Ubiquitin-conjugating enzyme E2O							270.892
A0A8I6A0Z5	A0A8I6A0Z5	A0A8I6A0Z5_RAT	Mak16	Protein MAK16 homolog	195.124						175.525
A0A8I6A183	A0A8I6A183	A0A8I6A183_RAT	Ccar1	Cell division cycle and apoptosis regulator 1			867.363			986.226	459.042
A0A8I6A1F0	A0A8I6A1F0	A0A8I6A1F0_RAT	LOC100910341	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein						448.281	171.997
