Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	71_Hela_200pg_1 Spectral Count	72_Hela_200pg_2 Spectral Count	73_Hela_200pg_3 Spectral Count	71_Hela_200pg_1 Unique Spectral Count	72_Hela_200pg_2 Unique Spectral Count	73_Hela_200pg_3 Unique Spectral Count	71_Hela_200pg_1 Total Spectral Count	72_Hela_200pg_2 Total Spectral Count	73_Hela_200pg_3 Total Spectral Count	71_Hela_200pg_1 Intensity	72_Hela_200pg_2 Intensity	73_Hela_200pg_3 Intensity	71_Hela_200pg_1 MaxLFQ Intensity	72_Hela_200pg_2 MaxLFQ Intensity	73_Hela_200pg_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	369	Homo sapiens OX=9606	1:Experimental evidence at protein level	Core histone macro-H2A.1	1.0	0.9832	3	5	3	5	2	0	3	1	0	2	2	0	3	311472.66	237043.27	231147.89	123762.125	122293.53	119814.42	
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filamin-B	1.0	0.999	22	44	44	61	16	14	14	16	14	14	22	20	19	1994949.0	2278303.8	2324926.2	360882.84	416759.72	395867.0	
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens OX=9606	1:Experimental evidence at protein level	Citrate synthase, mitochondrial	1.0	0.9815	2	5	5	5	1	2	2	1	2	2	1	2	2	232130.45	367347.0	340833.0	0.0	257182.22	252512.16	
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vesicle-trafficking protein SEC22b	1.0	0.9939	3	5	5	5	2	1	2	2	1	2	2	1	2	204217.42	172248.97	172269.86	73609.766	94281.18	92716.625	
sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	Homo sapiens OX=9606	1:Experimental evidence at protein level	Barrier-to-autointegration factor	0.9013	0.9918	1	3	3	3	1	1	1	1	1	1	1	1	1	174786.89	127029.01	123563.45	0.0	0.0	0.0	
sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	0.8382	0.9856	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	81806.36	0.0	0.0	0.0	0.0	
sp|O75915|PRAF3_HUMAN	O75915	PRAF3_HUMAN	ARL6IP5	188	Homo sapiens OX=9606	1:Experimental evidence at protein level	PRA1 family protein 3	0.9045	0.9921	1	3	3	3	1	1	1	1	1	1	1	1	1	144573.7	99687.71	122767.75	0.0	0.0	0.0	
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit d, mitochondrial	1.0	0.9842	2	2	2	2	1	0	1	1	0	1	1	0	1	160137.84	144315.52	130799.09	0.0	0.0	0.0	
sp|O94979|SC31A_HUMAN	O94979	SC31A_HUMAN	SEC31A	1220	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec31A	1.0	0.9947	2	2	2	2	1	0	1	1	0	1	1	0	1	0.0	0.0	35418.6	0.0	0.0	0.0	
sp|O95758|PTBP3_HUMAN	O95758	PTBP3_HUMAN	PTBP3	552	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polypyrimidine tract-binding protein 3	1.0	0.9926	2	3	0	3	1	1	1	0	0	0	1	1	1	134375.98	131460.97	106484.93	0.0	0.0	0.0	sp|P26599|PTBP1_HUMAN
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens OX=9606	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1.0	0.9981	8	13	13	17	6	3	4	6	3	4	7	5	5	3353478.0	1901982.9	1819108.0	1031592.5	912035.94	859042.44	
sp|P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione reductase, mitochondrial	0.9016	0.9918	1	3	3	3	1	1	1	1	1	1	1	1	1	100079.4	96252.914	101852.38	0.0	0.0	0.0	
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2	0.7617	0.9768	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	126927.38	143777.4	0.0	0.0	0.0	
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	0.7747	0.9784	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	121858.484	140833.72	0.0	0.0	0.0	
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartate aminotransferase, mitochondrial	0.8045	0.9819	1	3	3	3	1	1	1	1	1	1	1	1	1	103572.61	97454.22	90794.336	0.0	0.0	0.0	
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	1.0	0.999	11	22	20	22	11	6	5	9	6	5	11	6	5	4088979.2	2799410.0	2306419.2	785375.3	922617.9	809842.4	
sp|P02511|CRYAB_HUMAN	P02511	CRYAB_HUMAN	CRYAB	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-crystallin B chain	0.9249	0.9939	1	3	3	3	1	1	1	1	1	1	1	1	1	173754.89	217367.81	166360.95	0.0	0.0	0.0	
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.999	25	62	59	62	21	23	18	20	22	17	21	23	18	6383203.0	5379135.0	5018309.0	628601.8	596069.1	635488.1	
sp|P02794|FRIH_HUMAN	P02794	FRIH_HUMAN	FTH1	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ferritin heavy chain	0.7898	0.9802	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	103326.73	0.0	0.0	0.0	
sp|P02795|MT2_HUMAN	P02795	MT2_HUMAN	MT2A	61	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metallothionein-2	0.9858	0.9989	1	3	0	3	1	1	1	0	0	0	1	1	1	0.0	115903.58	165906.83	0.0	0.0	0.0	sp|P04732|MT1E_HUMAN, sp|P13640|MT1G_HUMAN, sp|P80297|MT1X_HUMAN, sp|Q8N339|MT1M_HUMAN
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	13	37	8	37	15	11	11	3	2	3	15	11	11	1.0586866E7	6396636.5	5578454.5	1535610.2	1374142.9	1392469.1	
sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A1	1.0	0.9964	8	18	18	18	8	5	5	8	5	5	8	5	5	1379755.4	977229.8	1218279.2	338034.75	321227.5	369686.22	
sp|P04406|G3P_HUMAN	P04406	G3P_HUMAN	GAPDH	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	16	47	41	47	28	9	10	26	7	8	28	9	10	3.6070828E7	1.8263158E7	1.9217868E7	6276070.0	6602282.0	6342107.0	
sp|P04439|HLAA_HUMAN	P04439	HLAA_HUMAN	HLA-A	365	Homo sapiens OX=9606	1:Experimental evidence at protein level	HLA class I histocompatibility antigen, A alpha chain	0.9999	0.9747	2	2	2	2	0	2	0	0	2	0	0	2	0	53751.473	76019.766	0.0	0.0	0.0	0.0	
sp|P04632|CPNS1_HUMAN	P04632	CPNS1_HUMAN	CAPNS1	268	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calpain small subunit 1	0.9199	0.9934	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04792|HSPB1_HUMAN	P04792	HSPB1_HUMAN	HSPB1	205	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock protein beta-1	1.0	0.999	6	15	15	15	7	5	3	7	5	3	7	5	3	3998595.8	2123976.2	1790814.8	1171283.5	966888.3	873186.8	
sp|P04843|RPN1_HUMAN	P04843	RPN1_HUMAN	RPN1	607	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	1.0	0.9748	3	3	3	3	2	0	1	2	0	1	2	0	1	165239.56	0.0	91519.305	0.0	0.0	0.0	
sp|P05114|HMGN1_HUMAN	P05114	HMGN1_HUMAN	HMGN1	100	Homo sapiens OX=9606	1:Experimental evidence at protein level	Non-histone chromosomal protein HMG-14	1.0	0.9987	2	6	6	6	1	2	3	1	2	3	1	2	3	187910.5	150406.64	194926.08	0.0	0.0	0.0	
sp|P05141|ADT2_HUMAN	P05141	ADT2_HUMAN	SLC25A5	298	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP/ATP translocase 2	1.0	0.9986	10	21	3	21	8	5	8	2	0	1	8	5	8	4553087.0	2904956.5	2778118.0	935259.06	767129.44	737626.2	
sp|P05186|PPBT_HUMAN	P05186	PPBT_HUMAN	ALPL	524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkaline phosphatase, tissue-nonspecific isozyme	0.9347	0.9947	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05204|HMGN2_HUMAN	P05204	HMGN2_HUMAN	HMGN2	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Non-histone chromosomal protein HMG-17	0.9353	0.9948	1	1	0	1	1	0	0	0	0	0	1	0	0	151081.16	0.0	0.0	0.0	0.0	0.0	sp|Q15651|HMGN3_HUMAN
sp|P05386|RLA1_HUMAN	P05386	RLA1_HUMAN	RPLP1	114	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S acidic ribosomal protein P1	0.964	0.9972	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05387|RLA2_HUMAN	P05387	RLA2_HUMAN	RPLP2	115	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S acidic ribosomal protein P2	1.0	0.999	5	9	9	9	6	2	1	6	2	1	6	2	1	2203409.5	762463.7	563383.56	739591.1	437663.53	0.0	
sp|P05388|RLA0_HUMAN	P05388	RLA0_HUMAN	RPLP0	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S acidic ribosomal protein P0	1.0	0.9988	4	9	5	9	5	2	2	3	1	1	5	2	2	660471.75	110942.375	180138.88	238202.22	0.0	121306.28	
sp|P05556|ITB1_HUMAN	P05556	ITB1_HUMAN	ITGB1	798	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin beta-1	1.0	0.9982	2	4	4	4	2	1	1	2	1	1	2	1	1	250939.69	291591.44	291965.22	133737.8	155260.33	154008.9	
sp|P05783|K1C18_HUMAN	P05783	K1C18_HUMAN	KRT18	430	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 18	1.0	0.999	15	41	34	44	15	13	13	13	10	11	16	14	14	8228349.0	7048297.0	6980019.0	1481412.8	1210964.5	1249980.8	
sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	29	93	80	97	36	29	28	31	26	23	38	30	29	2.5293402E7	2.0822684E7	2.0162916E7	5196216.5	4401803.5	4363654.0	
sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prothymosin alpha	1.0	0.999	6	19	19	19	6	6	7	6	6	7	6	6	7	1663202.2	1258979.5	1359905.9	920055.4	783263.56	572095.25	
sp|P06493|CDK1_HUMAN	P06493	CDK1_HUMAN	CDK1	297	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-dependent kinase 1	1.0	0.9939	2	3	1	3	1	1	1	0	1	0	1	1	1	148455.5	85789.59	72516.25	0.0	0.0	0.0	
sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	1.0	0.9989	7	10	10	10	7	1	2	7	1	2	7	1	2	1154984.9	230986.4	181886.94	365523.38	267287.44	0.0	
sp|P06703|S10A6_HUMAN	P06703	S10A6_HUMAN	S100A6	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A6	1.0	0.9955	2	10	10	10	4	3	3	4	3	3	4	3	3	8536464.0	6914293.0	7220650.5	5640552.0	4587607.0	4898707.0	
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-enolase	1.0	0.999	22	56	53	56	25	18	13	23	17	13	25	18	13	4.2207552E7	2.143809E7	2.4664228E7	8307270.0	5749900.5	5734731.0	
sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucose-6-phosphate isomerase	1.0	0.9969	4	9	6	9	2	4	3	1	3	2	2	4	3	1107740.9	1306946.0	1524740.0	443196.62	518094.38	595746.94	
sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleophosmin	1.0	0.999	6	18	18	18	7	5	6	7	5	6	7	5	6	9943436.0	7281102.5	7872200.5	2230193.0	2096840.2	2231093.5	
sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	Homo sapiens OX=9606	1:Experimental evidence at protein level	L-lactate dehydrogenase B chain	1.0	0.999	8	19	15	19	7	7	5	6	5	4	7	7	5	7460646.0	3654984.5	1799699.5	2321393.8	1830125.2	1788705.4	
sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase	1.0	0.9988	14	25	25	25	14	5	6	14	5	6	14	5	6	2434372.5	1347549.6	1303917.1	545354.6	546828.75	537521.3	
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	1.0	0.9958	2	4	4	4	0	2	2	0	2	2	0	2	2	162050.19	216125.12	166350.16	89371.41	119899.76	91210.44	
sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A2	1.0	0.999	18	42	12	42	19	12	11	6	3	3	19	12	11	9827506.0	5877251.5	5551068.0	1523629.0	1299766.5	1251435.9	
sp|P07437|TBB5_HUMAN	P07437	TBB5_HUMAN	TUBB	444	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin beta chain	1.0	0.999	16	58	4	58	29	15	14	2	1	1	29	15	14	1.5264498E7	3429628.2	2962136.0	2652857.5	1340553.8	1423183.0	
sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prosaposin	0.7699	0.9778	1	2	2	2	1	0	1	1	0	1	1	0	1	258563.4	234293.22	267735.0	0.0	0.0	0.0	
sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	Homo sapiens OX=9606	1:Experimental evidence at protein level	Profilin-1	1.0	0.999	8	20	20	20	11	5	4	11	5	4	11	5	4	7715256.0	3559310.2	3041534.2	2572661.2	1473885.4	1075912.8	
sp|P07814|SYEP_HUMAN	P07814	SYEP_HUMAN	EPRS1	1512	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional glutamate/proline--tRNA ligase	1.0	0.9974	1	3	3	3	1	1	1	1	1	1	1	1	1	48380.562	85321.516	74275.34	0.0	0.0	0.0	
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha	1.0	0.9989	20	25	16	46	12	7	6	7	5	4	20	13	13	5648305.0	2589960.8	2240675.8	1229770.5	903874.2	869600.9	
sp|P07910|HNRPC_HUMAN	P07910	HNRPC_HUMAN	HNRNPC	306	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins C1/C2	1.0	0.9965	7	22	13	22	10	6	6	5	4	4	10	6	6	1693865.9	1092309.1	1007304.75	584913.4	513074.4	475788.8	
sp|P08133|ANXA6_HUMAN	P08133	ANXA6_HUMAN	ANXA6	673	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A6	1.0	0.9965	3	6	6	6	4	1	1	4	1	1	4	1	1	211276.19	78374.09	84354.07	0.0	0.0	0.0	
sp|P08174|DAF_HUMAN	P08174	DAF_HUMAN	CD55	381	Homo sapiens OX=9606	1:Experimental evidence at protein level	Complement decay-accelerating factor	1.0	0.9967	6	11	11	11	3	5	3	3	5	3	3	5	3	471426.12	558868.3	584001.7	179210.23	156067.81	176298.66	
sp|P08195|4F2_HUMAN	P08195	4F2_HUMAN	SLC3A2	630	Homo sapiens OX=9606	1:Experimental evidence at protein level	4F2 cell-surface antigen heavy chain	1.0	0.999	6	11	11	11	6	3	2	6	3	2	6	3	2	846339.44	477060.4	294702.3	269503.4	197346.56	171865.64	
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	21	54	19	54	25	15	14	10	5	4	25	15	14	1.2029511E7	6907418.5	7385661.0	3511166.0	2755406.2	2640780.8	
sp|P08621|RU17_HUMAN	P08621	RU17_HUMAN	SNRNP70	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein 70 kDa	0.7626	0.9769	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	93951.04	88639.47	0.0	0.0	0.0	
sp|P08670|VIME_HUMAN	P08670	VIME_HUMAN	VIM	466	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vimentin	1.0	0.999	34	89	73	92	38	25	26	32	20	21	39	26	27	2.3394298E7	1.7831912E7	1.845484E7	6107374.0	6297220.0	6248195.5	
sp|P08729|K2C7_HUMAN	P08729	K2C7_HUMAN	KRT7	469	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 7	1.0	0.999	24	56	48	68	21	20	15	19	17	12	26	23	19	1.1543995E7	5285732.5	4974091.0	1796004.8	1546526.9	1546997.0	
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens	1:Experimental evidence at protein level	Annexin A5	1.0	0.9965	7	17	14	17	7	5	5	6	4	4	7	5	5	2348500.2	1736521.8	1477820.2	773659.4	568517.6	486814.7	
